T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0152c26	名自相非差別。今論說言。作非有緣性。雖非	名 自 相 非 差 別 今 論 說 言 作 非 有 緣 性 雖 非 
T44n1841_001:0152c27	緣有之自體。緣餘之義心不失。此即緣有緣	緣 有 之 自 體 緣 餘 之 義 心 不 失 此 即 緣 有 緣 
T44n1841_001:0152c28	餘。是別義故。故非自相名差別。此亦不然。論	餘 是 別 義 故 故 非 自 相 名 差 別 此 亦 不 然 論 
T44n1841_001:0152c29	云。即於前宗之上。作有緣性。即是許有是緣	云 即 於 前 宗 之 上 作 有 緣 性 即 是 許 有 是 緣 
T44n1841_001:0153a01	有。心所取境性。豈成於心能緣於有名差別。	有 心 所 取 境 性 豈 成 於 心 能 緣 於 有 名 差 別 
T44n1841_001:0153a02	若云成緣有心。豈得云以有一實故等因。成	若 云 成 緣 有 心 豈 得 云 以 有 一 實 故 等 因 成 
T44n1841_001:0153a03	心為能緣有即。翻彼云。緣非有如同異性。同	心 為 能 緣 有 即 翻 彼 云 緣 非 有 如 同 異 性 同 
T44n1841_001:0153a04	異性豈是能緣。云緣餘之義心不失耶。又解	異 性 豈 是 能 緣 云 緣 餘 之 義 心 不 失 耶 又 解 
T44n1841_001:0153a05	三相違中。第三性別相違。與初自體相違何	三 相 違 中 第 三 性 別 相 違 與 初 自 體 相 違 何 
T44n1841_001:0153a06	別。又云。一遮詮如言非有非無非人非天無	別 又 云 一 遮 詮 如 言 非有非無 非 人 非 天 無 
T44n1841_001:0153a07	我無常等。但遮有等。不表非有之體。若爾。如	我 無 常 等 但 遮 有 等 不 表 非 有 之 體 若 爾 如 
T44n1841_001:0153a08	立聲無常。豈但遮常。不表無常之體耶。既許	立 聲 無 常 豈 但 遮 常 不 表 無 常 之 體 耶 既 許 
T44n1841_001:0153a09	無常亦遮亦表。何得言非但是遮。非之與無	無 常 亦 遮 亦 表 何 得 言 非 但 是 遮 非 之 與 無 
T44n1841_001:0153a10	義相似故。既許詮中亦有遮。如何得言真詮。	義 相 似 故 既 許 詮 中 亦 有 遮 如 何 得 言 真 詮 
T44n1841_001:0153a11	只應言有表必遮詮。有遮非表詮。又釋云。若	只 應 言 有 表 必 遮 詮 有 遮 非 表 詮 又 釋 云 若 
T44n1841_001:0153a12	但言非有。不言非無。即是唯遮。即自引佛地	但 言 非 有 不 言 非 無 即 是 唯 遮 即 自 引 佛 地 
T44n1841_001:0153a13	等。為難云。如來功德非有非無。自通云。般若	等 為 難 云 如 來 功 德 非有非無 自 通 云 般 若 
T44n1841_001:0153a14	雙言方有其表者。此與唯識。亦有相違。第一	雙 言 方 有 其 表 者 此 與 唯 識 亦 有 相 違 第 一 
T44n1841_001:0153a15	中云。若言是表。應不雙非。故相違也。又云。	中 云 若 言 是 表 應 不 雙 非 故 相 違 也 又 云 
T44n1841_001:0153a16	今但約自體相違。名自相相違。不據言顯。豈	今 但 約 自 體 相 違 名 自 相 相 違 不 據 言 顯 豈 
T44n1841_001:0153a17	立有時。言中不顯有耶。若云元不說大有。但	立 有 時 言 中 不 顯 有 耶 若 云 元 不 說 大 有 但 
T44n1841_001:0153a18	詮不無有。此有相符。又因同有。豈是名相違。	詮 不 無 有 此 有 相 符 又 因 同 有 豈 是 名 相 違 
T44n1841_001:0153a19	又言既不申大有。元不立大有為有法。云何	又 言 既 不 申 大 有 元 不 立 大 有 為 有 法 云 何 
T44n1841_001:0153a20	因望於彼名相違。若既言陳。如何得言不據	因 望 於 彼 名 相 違 若 既 言 陳 如 何 得 言 不 據 
T44n1841_001:0153a21	言顯。	言 顯 
T44n1841_001:0153a22	釋法差別相違中自云。同無異有。方是相違。	釋 法差別相違 中 自 云 同 無 異 有 方 是 相 違 
T44n1841_001:0153a23	此因同有龜毛遍無何名相違。答云。此中外	此 因 同 有 龜 毛 遍 無 何 名 相 違 答 云 此 中 外 
T44n1841_001:0153a24	道。雖總言他用。意成眼等為無積他用。據此	道 雖 總 言 他 用 意 成 眼 等 為 無 積 他 用 據 此 
T44n1841_001:0153a25	即無同。除宗已外。諸臥具等。皆不為無積他	即 無 同 除 宗 已 外 諸 臥 具 等 皆 不 為 無 積 他 
T44n1841_001:0153a26	用。即為異品。因彼遍轉。故是相違。此釋不	用 即 為 異 品 因 彼 遍 轉 故 是 相 違 此 釋 不 
T44n1841_001:0153a27	然。唯識論云。執我是思。受用薩埵賴闍答摩	然 唯 識 論 云 執 我 是 思 受 用 薩 埵 賴 闍 答 摩 
T44n1841_001:0153a28	所成。大等二十三法。云何但許受用五知。不	所 成 大 等 二 十 三 法 云 何 但 許 受 用 五 知 不 
T44n1841_001:0153a29	受用餘。故此釋非。又云。二細微共生一麁。所	受 用 餘 故 此 釋 非 又 云 二 細 微 共 生 一 麁 所 
T44n1841_001:0153b01	生子微。不越因量。裹前二細。而別有體。此亦	生 子 微 不 越 因 量 裹 前 二 細 而 別 有 體 此 亦 
T44n1841_001:0153b02	不然。果遍在因中。非果裹父母。如唯識論	不 然 果 遍 在 因 中 非 果 裹 父 母 如 唯 識 論 
T44n1841_001:0153b03	辨。	辨 
T44n1841_001:0153b04	解有法自相中云。有人云。既違意許。應是差	解 有 法 自 相 中 云 有 人 云 既 違 意 許 應 是 差 
T44n1841_001:0153b05	別。何名自相。答言有性者。意詮離實等有	別 何 名 自 相 答 言 有 性 者 意 詮 離 實 等 有 
T44n1841_001:0153b06	為有法自相。然以有法須極成故。不可別云	為 有 法 自 相 然 以 有 法 須 極 成 故 不 可 別 云 
T44n1841_001:0153b07	離實等有。故雖意許。而是言顯。自相宗不同	離 實 等 有 故 雖 意 許 而 是 言 顯 自 相 宗 不 同 
T44n1841_001:0153b08	作有緣性。是離實等。有差別之義。為意所許	作 有 緣 性 是 離 實 等 有 差 別 之 義 為 意 所 許 
T44n1841_001:0153b09	差別宗也。難云。此解不然。若以今言有性。意	差 別 宗 也 難 云 此 解 不 然 若 以 今 言 有 性 意 
T44n1841_001:0153b10	許離實有為有法。有法須極成。不言離實有。	許 離 實 有 為 有 法 有 法 須 極 成 不 言 離 實 有 
T44n1841_001:0153b11	雖是意許。而名為言顯者。亦應意詮真他用。	雖 是 意 許 而 名 為 言 顯 者 亦 應 意 詮 真 他 用 
T44n1841_001:0153b12	能別須極成。不言真他用。雖是意許。而名言	能 別 須 極 成 不 言 真 他 用 雖 是 意 許 而 名 言 
T44n1841_001:0153b13	顯。亦應是自相非差別。故約言顯意許。解	顯 亦 應 是 自 相 非 差 別 故 約 言 顯 意 許 解 
T44n1841_001:0153b14	自相差別者。未為當理(上他敘難)今共詳云。若	自 相 差 別 者 未 為 當 理 上 他 敘 難 今 共 詳 云 若 
T44n1841_001:0153b15	彼大有意許離實。今言有時。不即詮彼大有	彼 大 有 意 許 離 實 今 言 有 時 不 即 詮 彼 大 有 
T44n1841_001:0153b16	者。豈詮即實等有。若詮即實等有。五頂成	者 豈 詮 即 實 等 有 若 詮 即 實 等 有 五 頂 成 
T44n1841_001:0153b17	非實等。亦違自弟子成非有。亦自違。若非言	非 實 等 亦 違 自 弟 子 成 非 有 亦 自 違 若 非 言 
T44n1841_001:0153b18	所顯。何故尋言難。又五頂不許即實等有。弟	所 顯 何 故 尋 言 難 又 五 頂 不 許 即 實 等 有 弟 
T44n1841_001:0153b19	子不許離實等有。今者言中。恐有法不成。不	子 不 許 離 實 等 有 今 者 言 中 恐 有 法 不 成 不 
T44n1841_001:0153b20	言大有。但總云有。有言雖通。豈顯即實有。	言 大 有 但 總 云 有 有 言 雖 通 豈 顯 即 實 有 
T44n1841_001:0153b21	設若五頂。許即實有。今言即實有。云非實	設 若 五 頂 許 即 實 有 今 言 即 實 有 云 非 實 
T44n1841_001:0153b22	等。是自違過。況復本意。爭大有句。何須詮即	等 是 自 違 過 況 復 本 意 爭 大 有 句 何 須 詮 即 
T44n1841_001:0153b23	實。以五頂不許有即實有。故言有時。即顯大	實 以 五 頂 不 許 有 即 實 有 故 言 有 時 即 顯 大 
T44n1841_001:0153b24	有句。若直言大有。有法不成。為此但言有性。	有 句 若 直 言 大 有 有 法 不 成 為 此 但 言 有 性 
T44n1841_001:0153b25	汎爾言有。彼此俱成。以為有法。不須分別即	汎 爾 言 有 彼 此 俱 成 以 為 有 法 不 須 分 別 即 
T44n1841_001:0153b26	離。言非實等為法。以弟子有即實。今言非實。	離 言 非 實 等 為 法 以 弟 子 有 即 實 今 言 非 實 
T44n1841_001:0153b27	違他順己。故得為宗。由此故知。離實等有。雖	違 他 順 己 故 得 為 宗 由 此 故 知 離 實 等 有 雖 
T44n1841_001:0153b28	是意許。言有之時。即言所顯。離言所顯有。外	是 意 許 言 有 之 時 即 言 所 顯 離 言 所 顯 有 外 
T44n1841_001:0153b29	更無別有。不同他用離真他外。有假他用。真	更 無 別 有 不 同 他 用 離 真 他 外 有 假 他 用 真 
T44n1841_001:0153c01	他他雖不成。假他他自同許。故。成真他不用	他 他 雖 不 成 假 他 他 自 同 許 故 成 真 他 不 用 
T44n1841_001:0153c02	眼等。假他用在不違言顯。故違差別。	眼 等 假 他 用 在 不 違 言 顯 故 違 差 別 
T44n1841_001:0153c03	解有一實因廣事云。云無一可取。如破他立。	解 有 一 實 因 廣 事 云 云 無 一 可 取 如 破 他 立 
T44n1841_001:0153c04	以同異性。含於實等。名有實等。是彼性故。名	以 同 異 性 含 於 實 等 名 有 實 等 是 彼 性 故 名 
T44n1841_001:0153c05	有實等。出何典據。勝論但云同異是實等	有 實 等 出 何 典 據 勝 論 但 云 同 異 是 實 等 
T44n1841_001:0153c06	性。不云有故。又自云。戒賢師解。應云有實	性 不 云 有 故 又 自 云 戒 賢 師 解 應 云 有 實 
T44n1841_001:0153c07	故。言一者相從故來。此從何聞耶。游夏不聞	故 言 一 者 相 從 故 來 此 從 何 聞 耶 游 夏 不 聞 
T44n1841_001:0153c08	斯說。張禹何因謾談。乃至云。今更解云。由	斯 說 張 禹 何 因 謾 談 乃 至 云 今 更 解 云 由 
T44n1841_001:0153c09	虛空等不與諸法同聚。故約空等辨其有性。	虛 空 等 不 與 諸 法 同 聚 故 約 空 等 辨 其 有 性 
T44n1841_001:0153c10	未詳此釋。虛空不遍。可不同聚。既許體遍。何	未 詳 此 釋 虛 空 不 遍 可 不 同 聚 既 許 體 遍 何 
T44n1841_001:0153c11	處別居。設言非聚類。可非同法處等。又復解	處 別 居 設 言 非 聚 類 可 非 同 法 處 等 又 復 解 
T44n1841_001:0153c12	云。一切諸法。有他不自有。乃至云。空不用他	云 一切諸法 有 他 不 自 有 乃 至 云 空 不 用 他 
T44n1841_001:0153c13	所成。故名一實。自體不自有。為大有所有故。	所 成 故 名 一 實 自 體 不 自 有 為 大 有 所 有 故 
T44n1841_001:0153c14	名有一實。若依此解。大有能有五全四小	名 有 一 實 若 依 此 解 大 有 能 有 五 全 四 小 
T44n1841_001:0153c15	分。名有一實。此亦不然。自體不自有。別為大	分 名 有 一 實 此 亦 不 然 自 體 不 自 有 別 為 大 
T44n1841_001:0153c16	有有。乃師主之義。非弟子許。若弟子許別	有 有 乃 師 主 之 義 非 弟 子 許 若 弟 子 許 別 
T44n1841_001:0153c17	為有。有便立已成。何須云大有非實等。若弟	為 有 有 便 立 已 成 何 須 云 大 有 非 實 等 若 弟 
T44n1841_001:0153c18	子不許。一一實上不無之有。能有實等。名有	子 不 許 一 一 實 上 不 無 之 有 能 有 實 等 名 有 
T44n1841_001:0153c19	一實。即有一實因。犯隨一不成過。何能成比	一 實 即 有 一 實 因 犯 隨一不成過 何 能 成 比 
T44n1841_001:0153c20	量。問若取有二實等為因。有不定。許一一實	量 問 若 取 有 二 實 等 為 因 有 不 定 許 一 一 實 
T44n1841_001:0153c21	自能有體。云有一實。取此為因。亦不定過。答	自 能 有 體 云 有 一 實 取 此 為 因 亦 不 定 過 答 
T44n1841_001:0153c22	不例。子微有二實。彼此俱成。別有子體。實	不 例 子 微 有 二 實 彼 此 俱 成 別 有 子 體 實 
T44n1841_001:0153c23	上不無之有。弟子自許。故無不定。因不分別。	上 不 無 之 有 弟 子 自 許 故 無 不 定 因 不 分 別 
T44n1841_001:0153c24	但云有一實等。又問云。何故不名無實二實	但 云 有 一 實 等 又 問 云 何 故 不 名 無 實 二 實 
T44n1841_001:0153c25	多實耶。有人簡云。若言有無實及有二實	多 實 耶 有 人 簡 云 若 言 有 無 實 及 有 二 實 
T44n1841_001:0153c26	為因者。有兩俱不成過。若言有多實。有不	為 因 者 有 兩 俱 不 成 過 若 言 有 多 實 有 不 
T44n1841_001:0153c27	成過者。恐未研覈。何以知者。難若望五頂	成 過 者 恐 未 研 覈 何 以 知 者 難 若 望 五 頂 
T44n1841_001:0153c28	意許所立。可說不成。今望弟子所許。敵論何	意 許 所 立 可 說 不 成 今 望 弟 子 所 許 敵 論 何 
T44n1841_001:0153c29	得不成者。此亦未可。今言有者。實德業上。同	得 不 成 者 此 亦 未 可 今 言 有 者 實 德 業 上 同 
T44n1841_001:0154a01	許能有之有。不分即離。豈許此有能有和合	許 能 有 之 有 不 分 即 離 豈 許 此 有 能 有 和 合 
T44n1841_001:0154a02	句耶。但自有故。故是不成。何分師弟。二俱爾	句 耶 但 自 有 故 故 是 不 成 何 分 師 弟 二 俱 爾 
T44n1841_001:0154a03	故。若云以和合句。既和合實等。何故不得言。	故 若 云 以 和 合 句 既 和 合 實 等 何 故 不 得 言 
T44n1841_001:0154a04	實德業等。不無之有。有於和合。名有無實者。	實 德 業 等 不 無 之 有 有 於 和 合 名 有 無 實 者 
T44n1841_001:0154a05	此亦不然。此亦師弟同許。何得云師不成。弟	此 亦 不 然 此 亦 師 弟 同 許 何 得 云 師 不 成 弟 
T44n1841_001:0154a06	子得成。又若取此為因。即喻無能立。同異不	子 得 成 又 若 取 此 為 因 即 喻 無 能 立 同 異 不 
T44n1841_001:0154a07	能同異和合性。和合性復非同異和合性故。	能 同 異 和 合 性 和 合 性 復 非 同 異 和 合 性 故 
T44n1841_001:0154a08	故不得云若言有無實故。亦得成因。又本簡	故 不 得 云 若 言 有 無 實 故 亦 得 成 因 又 本 簡 
T44n1841_001:0154a09	云。若云有二多實為因有不定。有無實為因	云 若 云 有 二 多 實 為 因 有 不 定 有 無 實 為 因 
T44n1841_001:0154a10	有不成。不言有二實為因不成。文外加諸。	有 不 成 不 言 有 二 實 為 因 不 成 文 外 加 諸 
T44n1841_001:0154a11	故應如本簡過成因。又云。若唯望意許離實	故 應 如 本 簡 過 成 因 又 云 若 唯 望 意 許 離 實 
T44n1841_001:0154a12	有說者。以無實及有二實為因。此乃是隨一	有 說 者 以 無 實 及 有 二 實 為 因 此 乃 是 隨 一 
T44n1841_001:0154a13	所依不成。及兩俱不成過。此亦不然。隨一所	所依不成 及 兩 俱 不 成 過 此 亦 不 然 隨 一 所 
T44n1841_001:0154a14	依不成可爾。弟子不許離實等有故。何得云	依 不 成 可 爾 弟 子 不 許 離 實 等 有 故 何 得 云 
T44n1841_001:0154a15	俱不成。師主豈可不許大有。有於空等無實	俱 不 成 師 主 豈 可 不 許 大 有 有 於 空 等 無 實 
T44n1841_001:0154a16	之實。有於子微有二實之實。又云。若以多實	之 實 有 於 子 微 有 二 實 之 實 又 云 若 以 多 實 
T44n1841_001:0154a17	為因者。亦有隨一所依不成。及不定過者。亦	為 因 者 亦 有 隨 一 所依不成 及 不 定 過 者 亦 
T44n1841_001:0154a18	不必然。不成可爾。不定須思。不共不定可爾。	不 必 然 不 成 可 爾 不 定 須 思 不共不定 可 爾 
T44n1841_001:0154a19	以有多實因。於孫微上有故。為不定者。不	以 有 多 實 因 於 孫 微 上 有 故 為 不 定 者 不 
T44n1841_001:0154a20	然。若望師主。孫微雖有多實。不是大有。復非	然 若 望 師 主 孫 微 雖 有 多 實 不 是 大 有 復 非 
T44n1841_001:0154a21	彼性。不同同異故。有多實因於子微上無。談	彼 性 不 同 同 異 故 有 多 實 因 於 子 微 上 無 談 
