T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_006:0565a27	善行，非不賢善。不以呪術藥草引接女人。身	善 行 非 不 賢 善 不 以 呪 術 藥 草 引 接 女 人 身 
T08n0227_006:0565a28	不自為，亦不教他。是菩薩常修淨命，不占吉	不 自 為 亦 不 教 他 是 菩 薩 常 修 淨 命 不 占 吉 
T08n0227_006:0565a29	凶，亦不相人生男生女。如是等事，皆不為之。	凶 亦 不 相 人 生 男 生 女 如 是 等 事 皆 不 為 之 
T08n0227_006:0565b01	須菩提！以是相貌，當知是阿惟越致菩薩。「復	須 菩 提 以 是 相 貌 當 知 是 阿惟越致 菩 薩 復 
T08n0227_006:0565b02	次，須菩提！阿惟越致菩薩復有相貌，今當說	次 須 菩 提 阿惟越致 菩 薩 復 有 相 貌 今 當 說 
T08n0227_006:0565b03	之。須菩提！阿惟越致菩薩不樂說世間雜事、	之 須 菩 提 阿惟越致 菩 薩 不 樂 說 世 間 雜 事 
T08n0227_006:0565b04	官事、戰鬪事、寇賊事、城邑聚落事、象馬車乘衣	官 事 戰 鬪 事 寇 賊 事 城邑聚落 事 象 馬 車 乘 衣 
T08n0227_006:0565b05	服飲食臥具事，不樂說華香女人婬女事，不	服 飲 食 臥 具 事 不 樂 說 華 香 女 人 婬 女 事 不 
T08n0227_006:0565b06	樂說神龜事，不樂說大海事，不樂說惱他事。	樂 說 神 龜 事 不 樂 說 大 海 事 不 樂 說 惱 他 事 
T08n0227_006:0565b07	不樂說種種事，但樂說般若波羅蜜。常不離	不 樂 說 種 種 事 但 樂 說 般 若 波 羅 蜜 常 不 離 
T08n0227_006:0565b08	應薩婆若心，不樂鬪訟；心常樂於法，不樂非	應 薩 婆 若 心 不 樂 鬪 訟 心 常 樂 於 法 不 樂 非 
T08n0227_006:0565b09	法；樂善知識，不樂冤家；樂和諍訟，不樂讒謗；	法 樂 善 知 識 不 樂 冤 家 樂 和 諍 訟 不 樂 讒 謗 
T08n0227_006:0565b10	樂佛法中而得出家。常樂欲生他方清淨佛	樂 佛 法 中 而 得 出 家 常 樂 欲 生 他 方 清 淨 佛 
T08n0227_006:0565b11	國，隨意自在。其所生處，常得供養諸佛。須菩	國 隨意自在 其 所 生 處 常 得 供 養 諸 佛 須 菩 
T08n0227_006:0565b12	提！阿惟越致菩薩，多於欲界、色界命終來生	提 阿惟越致 菩 薩 多 於 欲 界 色 界 命 終 來 生 
T08n0227_006:0565b13	中國，善於伎藝，明解經書。呪術占相，悉能	中 國 善 於 伎 藝 明 解 經 書 呪 術 占 相 悉 能 
T08n0227_006:0565b14	了知。少生邊地。若生邊地，必在大國。有如是	了 知 少 生 邊 地 若 生 邊 地 必 在 大 國 有 如 是 
T08n0227_006:0565b15	功德相貌，當知是阿惟越致菩薩。「復次，須菩	功 德 相 貌 當 知 是 阿惟越致 菩 薩 復 次 須 菩 
T08n0227_006:0565b16	提！阿惟越致菩薩不作是念：『我是阿惟越致	提 阿惟越致 菩 薩 不 作 是 念 我 是 阿惟越致 
T08n0227_006:0565b17	非阿惟越致。』不生是疑。須菩提！自證阿惟越	非 阿惟越致 不 生 是 疑 須 菩 提 自 證 阿 惟 越 
T08n0227_006:0565b18	致地者，終不復疑。譬如須陀洹所證法中，心	致 地 者 終 不 復 疑 譬 如 須 陀 洹 所 證 法 中 心 
T08n0227_006:0565b19	無所疑，種種魔事，皆能覺之。覺已，不隨。菩薩	無 所 疑 種 種 魔 事 皆 能 覺 之 覺 已 不 隨 菩 薩 
T08n0227_006:0565b20	亦如是。於阿惟越致地中，心無所疑。種種魔	亦 如 是 於 阿惟越致地 中 心 無 所 疑 種 種 魔 
T08n0227_006:0565b21	事，皆能覺之。覺已，不隨。須菩提！譬如人有逆	事 皆 能 覺 之 覺 已 不 隨 須 菩 提 譬 如 人 有 逆 
T08n0227_006:0565b22	罪，心常悔懼，至死不捨。不能遠離，如是罪心，	罪 心 常 悔 懼 至 死 不 捨 不 能 遠 離 如 是 罪 心 
T08n0227_006:0565b23	常隨是心，乃至命終。須菩提！阿惟越致菩薩	常 隨 是 心 乃至命終 須 菩 提 阿惟越致 菩 薩 
T08n0227_006:0565b24	亦復如是。阿惟越致菩薩心常安住阿惟越	亦復如是 阿惟越致 菩 薩 心 常 安 住 阿 惟 越 
T08n0227_006:0565b25	致地中，不可動轉，一切世間天、人、阿修羅所	致 地 中 不 可 動 轉 一切世間 天 人 阿 修 羅 所 
T08n0227_006:0565b26	壞種種魔事，能覺之。覺已，不隨。所證法中，	壞 種 種 魔 事 能 覺 之 覺 已 不 隨 所 證 法 中 
T08n0227_006:0565b27	其心決定，無所疑惑。乃至轉身，不生聲聞、辟	其 心 決 定 無 所 疑 惑 乃 至 轉 身 不 生 聲 聞 辟 
T08n0227_006:0565b28	支佛心，轉身亦復不疑我不得阿耨多羅三	支 佛 心 轉 身 亦 復 不 疑 我 不 得 阿 耨 多 羅 三 
T08n0227_006:0565b29	藐三菩提。自證所得法中，不隨他人。自住證	藐 三 菩 提 自 證 所 得 法 中 不 隨 他 人 自 住 證 
T08n0227_006:0565c01	地，無能破壞。何以故？成就不可壞智慧故，安	地 無 能 破 壞 何 以 故 成 就 不 可 壞 智 慧 故 安 
T08n0227_006:0565c02	住阿惟越致性。須菩提！若惡魔化作佛身，至	住 阿惟越致 性 須 菩 提 若 惡 魔 化 作 佛 身 至 
T08n0227_006:0565c03	阿惟越致菩薩所，作是言：『善男子！汝於此身，	阿惟越致 菩 薩 所 作 是 言 善 男 子 汝 於 此 身 
T08n0227_006:0565c04	可證阿羅漢，何用阿耨多羅三藐三菩提	可 證 阿 羅 漢 何 用 阿耨多羅三藐三菩提 
T08n0227_006:0565c05	為？何以故？菩薩成就得阿耨多羅三藐三菩	為 何 以 故 菩 薩 成 就 得 阿 耨 多 羅 三 藐 三 菩 
T08n0227_006:0565c06	提相貌，汝無是相。』須菩提！菩薩聞是語，心不	提 相 貌 汝 無 是 相 須 菩 提 菩 薩 聞 是 語 心 不 
T08n0227_006:0565c07	動異，即作是念：『若是惡魔，若魔所使，非佛所	動 異 即 作 是 念 若 是 惡 魔 若 魔 所 使 非 佛 所 
T08n0227_006:0565c08	說。若佛所說，不應有異。』若菩薩能如是念：『是	說 若 佛 所 說 不 應 有 異 若 菩 薩 能 如 是 念 是 
T08n0227_006:0565c09	魔變身作佛，欲令我遠離般若波羅蜜。』魔若	魔 變 身 作 佛 欲 令 我 遠 離 般 若 波 羅 蜜 魔 若 
T08n0227_006:0565c10	還隱沒，當知是菩薩，已於先佛得受阿耨多	還 隱 沒 當 知 是 菩 薩 已 於 先 佛 得 受 阿 耨 多 
T08n0227_006:0565c11	羅三藐三菩提記，安住阿惟越致地中。何以	羅 三藐三菩提 記 安 住 阿惟越致地 中 何 以 
T08n0227_006:0565c12	故？是人有阿惟越致相貌。須菩提！以是相貌，	故 是 人 有 阿惟越致 相 貌 須 菩 提 以 是 相 貌 
T08n0227_006:0565c13	當知是阿惟越致菩薩。「復次，須菩提！阿惟越	當 知 是 阿惟越致 菩 薩 復 次 須 菩 提 阿 惟 越 
T08n0227_006:0565c14	致菩薩為護法，不惜身命。為正法故，行精	致 菩 薩 為 護 法 不惜身命 為 正 法 故 行 精 
T08n0227_006:0565c15	進，作是念：『我不但護過去現在諸佛正法，亦	進 作 是 念 我 不 但 護 過去現在 諸佛正法 亦 
T08n0227_006:0565c16	復當護未來世中諸佛正法。我亦當在未來	復 當 護 未 來 世 中 諸佛正法 我 亦 當 在 未 來 
T08n0227_006:0565c17	數中而得受記，我則自守護法。』是菩薩見是	數 中 而 得 受 記 我 則 自 守 護 法 是 菩 薩 見 是 
T08n0227_006:0565c18	利故，守護正法，乃至不惜身命，其心不沒不	利 故 守 護 正 法 乃 至 不惜身命 其 心 不 沒 不 
T08n0227_006:0565c19	悔。須菩提！以是相貌，當知是阿惟越致菩薩。	悔 須 菩 提 以 是 相 貌 當 知 是 阿惟越致 菩 薩 
T08n0227_006:0565c20	「復次，須菩提！阿惟越致菩薩若從如來聞說	 復 次 須 菩 提 阿惟越致 菩 薩 若 從 如 來 聞 說 
T08n0227_006:0565c21	法時，心無所疑。」須菩提白佛言：「世尊！是菩薩	法 時 心 無 所 疑 須 菩 提 白 佛 言 世 尊 是 菩 薩 
T08n0227_006:0565c22	但聞如來說法時心無所疑？聞聲聞人說法	但 聞 如 來 說 法 時 心 無 所 疑 聞 聲 聞 人 說 法 
T08n0227_006:0565c23	時亦無所疑耶？」「須菩提！是菩薩從聲聞人聞	時 亦 無 所 疑 耶 須 菩 提 是 菩 薩 從 聲 聞 人 聞 
T08n0227_006:0565c24	法時，亦無所疑。何以故？是菩薩於諸法中，得	法 時 亦 無 所 疑 何 以 故 是 菩 薩 於 諸 法 中 得 
T08n0227_006:0565c25	無生忍故。須菩提！菩薩成就如是功德相貌，	無 生 忍 故 須 菩 提 菩 薩 成 就 如 是 功 德 相 貌 
T08n0227_006:0565c26	當知是阿惟越致菩薩。」◎	當 知 是 阿惟越致 菩 薩 
T08n0227_006:0565c27	小品般若經卷第六	小 品 般 若 經 卷 第 六 
T08n0227_007:0566a03	小品般若波羅蜜經卷第七	小 品 般若波羅蜜經 卷 第 七 
T08n0227_007:0566a05	後秦龜茲國三藏鳩摩羅什譯	後 秦 龜 茲 國 三 藏 鳩 摩 羅 什 譯 
T08n0227_007:0566a06	◎深功德品第十七	 深 功 德 品 第 十 七 
T08n0227_007:0566a07	爾時須菩提白佛言：「希有，世尊！是阿毘跋致	爾 時 須 菩 提 白 佛 言 希 有 世 尊 是 阿毘跋致 
T08n0227_007:0566a08	菩薩，成就大功德。世尊能說阿毘跋致菩薩，	菩 薩 成 就 大 功 德 世 尊 能 說 阿毘跋致 菩 薩 
T08n0227_007:0566a09	恒河沙等相貌。說是相貌，則是說深般若波	恒 河 沙 等 相 貌 說 是 相 貌 則 是 說 深 般 若 波 
T08n0227_007:0566a10	羅蜜相。」佛言：「善哉，善哉！須菩提！汝能示諸菩	羅 蜜 相 佛 言 善 哉 善 哉 須 菩 提 汝 能 示 諸 菩 
T08n0227_007:0566a11	薩甚深之相。須菩提！甚深相者，即是空義，即	薩 甚 深 之 相 須 菩 提 甚 深 相 者 即 是 空 義 即 
T08n0227_007:0566a12	是無相，無作無起，無生無滅，無所有，無染寂	是 無 相 無 作 無 起 無生無滅 無 所 有 無 染 寂 
T08n0227_007:0566a13	滅，遠離涅槃義。」「世尊！但是空義，乃至涅槃義，	滅 遠 離 涅 槃 義 世 尊 但 是 空 義 乃至涅槃 義 
T08n0227_007:0566a14	非一切法義耶？」「須菩提！一切法，亦是甚深義。	非 一 切 法 義 耶 須 菩 提 一 切 法 亦 是 甚 深 義 
T08n0227_007:0566a15	何以故？須菩提！色甚深，受、想、行、識甚深。云何	何 以 故 須 菩 提 色 甚 深 受 想 行 識 甚 深 云 何 
T08n0227_007:0566a16	色甚深，如如甚深？云何受、想、行、識甚深，如如	色 甚 深 如 如 甚 深 云 何 受 想 行 識 甚 深 如 如 
T08n0227_007:0566a17	甚深？須菩提！無色，是色甚深；無受、想、行、識，是	甚 深 須 菩 提 無 色 是 色 甚 深 無 受 想 行 識 是 
T08n0227_007:0566a18	識甚深。」須菩提言：「希有，世尊！以微妙方便，障	識 甚 深 須 菩 提 言 希 有 世 尊 以 微 妙 方 便 障 
T08n0227_007:0566a19	色示涅槃，障受、想、行、識示涅槃。」佛告須菩提：	色 示 涅 槃 障 受 想 行 識 示 涅 槃 佛 告 須 菩 提 
T08n0227_007:0566a20	「菩薩若能於是深般若波羅蜜，思惟觀察：如	 菩 薩 若 能 於 是 深 般 若 波 羅 蜜 思惟觀察 如 
T08n0227_007:0566a21	般若波羅蜜教，我應如是學；如般若波羅蜜	般 若 波 羅 蜜 教 我 應 如 是 學 如 般 若 波 羅 蜜 
T08n0227_007:0566a22	說，我應如是行。是菩薩如是思惟修習，乃至	說 我 應 如 是 行 是 菩 薩 如 是 思 惟 修 習 乃 至 
T08n0227_007:0566a23	一日，所作功德，無有限量。須菩提！譬如多欲	一 日 所 作 功 德 無 有 限 量 須 菩 提 譬 如 多 欲 
T08n0227_007:0566a24	之人，欲覺亦多，與他端正女人共期。此女監	之 人 欲 覺 亦 多 與 他 端 正 女 人 共 期 此 女 監 
T08n0227_007:0566a25	礙，失期不至。須菩提！於意云何？是多欲人，欲	礙 失 期 不 至 須 菩 提 於意云何 是 多 欲 人 欲 
T08n0227_007:0566a26	覺，為與何法相應？」「世尊！是多欲人，但起欲覺	覺 為 與 何 法 相 應 世 尊 是 多 欲 人 但 起 欲 覺 
T08n0227_007:0566a27	相應念憶想此女，當至不久，我當與之坐臥	相 應 念 憶 想 此 女 當 至 不 久 我 當 與 之 坐 臥 
T08n0227_007:0566a28	戲笑。」「須菩提！於意云何？是人一日一夜起幾	戲 笑 須 菩 提 於意云何 是 人 一 日 一 夜 起 幾 
T08n0227_007:0566a29	欲念？」「世尊！是人一日一夜起念甚多。」「須菩提！	欲 念 世 尊 是 人 一 日 一 夜 起 念 甚 多 須 菩 提 
T08n0227_007:0566b01	若菩薩如深般若波羅蜜教，思惟學習，則離	若 菩 薩 如 深 般 若 波 羅 蜜 教 思 惟 學 習 則 離 
T08n0227_007:0566b02	退轉過惡，捨若干劫數生死之難。是菩薩一	退 轉 過 惡 捨 若 干 劫 數 生 死 之 難 是 菩 薩 一 
T08n0227_007:0566b03	日之中，應深般若波羅蜜所作功德，勝於菩	日 之 中 應 深 般 若 波 羅 蜜 所 作 功 德 勝 於 菩 
T08n0227_007:0566b04	薩遠離深般若波羅蜜於恒河沙劫布施功	薩 遠 離 深 般 若 波 羅 蜜 於 恒 河 沙 劫 布 施 功 
T08n0227_007:0566b05	德。復次，須菩提！若菩薩離般若波羅蜜，於恒	德 復 次 須 菩 提 若 菩 薩 離 般 若 波 羅 蜜 於 恒 
T08n0227_007:0566b06	河沙劫，供養須陀洹、斯陀含、阿那含、阿羅漢、辟	河 沙 劫 供 養 須 陀 洹 斯 陀 含 阿 那 含 阿 羅 漢 辟 
T08n0227_007:0566b07	支佛、諸佛，於意云何，其福多不？」須菩提言：「甚	支 佛 諸 佛 於意云何 其 福 多 不 須 菩 提 言 甚 
T08n0227_007:0566b08	多，世尊！無量無邊不可稱數。」佛言：「不如菩薩	多 世 尊 無量無邊 不 可 稱 數 佛 言 不 如 菩 薩 
T08n0227_007:0566b09	於深般若波羅蜜，如說修行，乃至一日，其福	於 深 般 若 波 羅 蜜 如說修行 乃 至 一 日 其 福 
T08n0227_007:0566b10	甚多。何以故？菩薩行般若波羅蜜，能過聲聞、	甚 多 何 以 故 菩 薩 行 般 若 波 羅 蜜 能 過 聲 聞 
T08n0227_007:0566b11	辟支佛地，入菩薩位，得阿耨多羅三藐三菩	辟支佛地 入 菩 薩 位 得 阿 耨 多 羅 三 藐 三 菩 
T08n0227_007:0566b12	提。復次，須菩提！若菩薩於恒河沙劫，離般若	提 復 次 須 菩 提 若 菩 薩 於 恒 河 沙 劫 離 般 若 
T08n0227_007:0566b13	波羅蜜，布施持戒忍辱精進禪定智慧，於意	波 羅 蜜 布 施 持 戒 忍 辱 精 進 禪 定 智 慧 於 意 
T08n0227_007:0566b14	云何，其福多不？」須菩提言：「甚多，世尊！」佛言：	云 何 其 福 多 不 須 菩 提 言 甚 多 世 尊 佛 言 
T08n0227_007:0566b15	「不如菩薩於深般若波羅蜜，如說修行，乃至	 不 如 菩 薩 於 深 般 若 波 羅 蜜 如說修行 乃 至 
T08n0227_007:0566b16	一日，布施、持戒、忍辱、精進、禪定、智慧，其福甚多。	一 日 布 施 持 戒 忍 辱 精 進 禪 定 智 慧 其 福 甚 多 
T08n0227_007:0566b17	復次，須菩提！若菩薩於恒河沙劫，離般若波	復 次 須 菩 提 若 菩 薩 於 恒 河 沙 劫 離 般 若 波 
T08n0227_007:0566b18	羅蜜，法施眾生，於意云何，其福多不？」須菩提	羅 蜜 法 施 眾 生 於意云何 其 福 多 不 須 菩 提 
T08n0227_007:0566b19	言：「甚多，世尊！」佛言：「不如菩薩於深般若波羅	言 甚 多 世 尊 佛 言 不 如 菩 薩 於 深 般 若 波 羅 
T08n0227_007:0566b20	蜜，如說修行，乃至一日，法施眾生，其福甚多。	蜜 如說修行 乃 至 一 日 法 施 眾 生 其 福 甚 多 
T08n0227_007:0566b21	何以故？若菩薩不離般若波羅蜜，即是不離	何 以 故 若 菩 薩 不 離 般 若 波 羅 蜜 即 是 不 離 
T08n0227_007:0566b22	薩婆若。復次，須菩提！若菩薩於恒河沙劫，離	薩 婆 若 復 次 須 菩 提 若 菩 薩 於 恒 河 沙 劫 離 
T08n0227_007:0566b23	般若波羅蜜，修行三十七品，於意云何，其福	般 若 波 羅 蜜 修 行 三十七品 於意云何 其 福 
T08n0227_007:0566b24	多不？」須菩提言：「甚多，世尊！」佛言：「不如菩薩如	多 不 須 菩 提 言 甚 多 世 尊 佛 言 不 如 菩 薩 如 
T08n0227_007:0566b25	般若波羅蜜教住，乃至一日，修行三十七品，	般 若 波 羅 蜜 教 住 乃 至 一 日 修 行 三十七品 
T08n0227_007:0566b26	其福甚多。何以故？若菩薩不離般若波羅蜜，	其 福 甚 多 何 以 故 若 菩 薩 不 離 般 若 波 羅 蜜 
T08n0227_007:0566b27	退失薩婆若，無有是處。復次，須菩提！若菩薩	退 失 薩 婆 若 無 有 是 處 復 次 須 菩 提 若 菩 薩 
T08n0227_007:0566b28	於恒河沙劫，離般若波羅蜜，以是財施法施、	於 恒 河 沙 劫 離 般 若 波 羅 蜜 以 是 財 施 法 施 
T08n0227_007:0566b29	禪定功德，迴向阿耨多羅三藐三菩提，於意	禪 定 功 德 迴 向 阿耨多羅三藐三菩提 於 意 
T08n0227_007:0566c01	云何，其福多不？」須菩提言：「甚多，世尊！」佛言：	云 何 其 福 多 不 須 菩 提 言 甚 多 世 尊 佛 言 
T08n0227_007:0566c02	「不如菩薩於深般若波羅蜜如說修行，乃至	 不 如 菩 薩 於 深 般 若 波 羅 蜜 如說修行 乃 至 
T08n0227_007:0566c03	一日，財施法施、禪定功德，迴向阿耨多羅三	一 日 財 施 法 施 禪 定 功 德 迴 向 阿 耨 多 羅 三 
T08n0227_007:0566c04	藐三菩提，其福甚多。何以故？是第一迴向，所	藐 三 菩 提 其 福 甚 多 何 以 故 是 第 一 迴 向 所 
T08n0227_007:0566c05	謂不離深般若波羅蜜。」須菩提白佛言：「世尊！	謂 不 離 深 般 若 波 羅 蜜 須 菩 提 白 佛 言 世 尊 
T08n0227_007:0566c06	如佛所說一切作起法，皆是憶想分別。云何	如 佛 所 說 一 切 作 起 法 皆 是 憶想分別 云 何 
T08n0227_007:0566c07	說菩薩得福甚多？」「須菩提！菩薩行般若波	說 菩 薩 得 福 甚 多 須 菩 提 菩 薩 行 般 若 波 
T08n0227_007:0566c08	羅蜜時，亦能觀察是作起功德，空無所有，虛	羅 蜜 時 亦 能 觀 察 是 作 起 功 德 空無所有 虛 
T08n0227_007:0566c09	誑不實，無堅牢相。若菩薩隨所能觀，則不離	誑 不 實 無 堅 牢 相 若 菩 薩 隨 所 能 觀 則 不 離 
T08n0227_007:0566c10	深般若波羅蜜。隨不離深般若波羅蜜，即得	深 般 若 波 羅 蜜 隨 不 離 深 般 若 波 羅 蜜 即 得 
T08n0227_007:0566c11	無量阿僧祇福德。」「世尊！無量阿僧祇有何差	無量阿僧祇 福 德 世 尊 無量阿僧祇 有 何 差 
