T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_002:0132b26	勿為妄境相侵擾。	勿 為 妄 境 相 侵 擾 
T47n1966_002:0132b27	食時辰，念佛先須伏我人，若將念佛恃人我，	食 時 辰 念 佛 先 須 伏 我 人 若 將 念 佛 恃 人 我 
T47n1966_002:0132b28	何始何成淨土因。	何 始 何 成 淨 土 因 
T47n1966_002:0132b29	禺中已，進修淨土須決志，如喰甘露自知甜，	禺 中 已 進 修 淨 土 須 決 志 如 喰 甘 露 自 知 甜 
T47n1966_002:0132c01	且莫謗人道不是。	且 莫 謗 人 道 不 是 
T47n1966_002:0132c02	正南午，想念吾師如目覩，無邊業障自然消，	正 南 午 想 念 吾 師 如 目 覩 無 邊 業 障 自 然 消 
T47n1966_002:0132c03	豈要云為枉辛苦。	豈 要 云 為 枉 辛 苦 
T47n1966_002:0132c04	日昳未，浩浩生死誠堪畏，不取西方速疾門，	日 昳 未 浩 浩 生 死 誠 堪 畏 不 取 西 方 速 疾 門 
T47n1966_002:0132c05	塵沙劫海須沈墜。	塵 沙 劫 海 須 沈 墜 
T47n1966_002:0132c06	晡時申，急急須持淨土因，闐健不能懃念佛，	晡 時 申 急 急 須 持 淨 土 因 闐 健 不 能 懃 念 佛 
T47n1966_002:0132c07	一朝虛作世間塵。	一 朝 虛 作 世 間 塵 
T47n1966_002:0132c08	日沒酉，想知光景何能久，看看無常即到來，	日 沒 酉 想 知 光 景 何 能 久 看 看 無 常 即 到 來 
T47n1966_002:0132c09	莫教佛字離心口。	莫 教 佛 字 離 心 口 
T47n1966_002:0132c10	黃昏戌，勿使身心多過失，十惡雖然亦往生，	黃 昏 戌 勿 使 身 心 多 過 失 十 惡 雖 然 亦 往 生 
T47n1966_002:0132c11	何如上品蓮開疾。	何 如 上 品 蓮 開 疾 
T47n1966_002:0132c12	人定亥，深心念佛真三昧，十地高人尚爾修，	人 定 亥 深 心 念 佛 真 三 昧 十 地 高 人 尚 爾 修 
T47n1966_002:0132c13	將知不信寧非罪。	將 知 不 信 寧 非 罪 
T47n1966_002:0132c14	夜半子，朝朝念佛常如此，皆乘蓮華一往生，	夜 半 子 朝 朝 念 佛 常 如 此 皆 乘 蓮 華 一 往 生 
T47n1966_002:0132c15	從茲決定無生死。	從 茲 決 定 無 生 死 
T47n1966_002:0132c16	雞鳴丑，壯盛俄然即衰朽，忙忙剎海更無親，	雞 鳴 丑 壯 盛 俄 然 即 衰 朽 忙 忙 剎 海 更 無 親 
T47n1966_002:0132c17	唯有彌陀獨招乎。	唯 有 彌 陀 獨 招 乎 
T47n1966_002:0132c18	修西方十勸	修 西 方 十 勸 
T47n1966_002:0132c19	勸君一，長時念佛須真實，歸依佛語莫生疑，	勸 君 一 長 時 念 佛 須 真 實 歸 依 佛 語 莫 生 疑 
T47n1966_002:0132c20	制護心猿無放逸。	制 護 心 猿 無 放 逸 
T47n1966_002:0132c21	勸君二，唯思念佛無餘事，澄心決定願西方，	勸 君 二 唯 思 念 佛 無 餘 事 澄 心 決 定 願 西 方 
T47n1966_002:0132c22	臨終自見如來至。	臨 終 自 見 如 來 至 
T47n1966_002:0132c23	勸君三，念佛先須斷愛貪，臨終心淨見如來，	勸 君 三 念 佛 先 須 斷 愛 貪 臨 終 心 淨 見 如 來 
T47n1966_002:0132c24	似月清光照碧潭。	似 月 清 光 照 碧 潭 
T47n1966_002:0132c25	勸君四，莫令念佛心移忘，臨終極樂寶華迎，	勸 君 四 莫 令 念 佛 心 移 忘 臨 終 極 樂 寶 華 迎 
T47n1966_002:0132c26	觀音勢至俱來至。	觀 音 勢 至 俱 來 至 
T47n1966_002:0132c27	勸君五，莫辭念佛多辛苦，思惟長劫生死輪，	勸 君 五 莫 辭 念 佛 多 辛 苦 思 惟 長 劫 生 死 輪 
T47n1966_002:0132c28	更向何人求出路。	更 向 何 人 求 出 路 
T47n1966_002:0132c29	勸君六，念佛時中恒相續，假使不念順凡情，	勸 君 六 念 佛 時 中 恒 相 續 假 使 不 念 順 凡 情 
T47n1966_002:0133a01	何日得離生死獄。	何 日 得 離 生 死 獄 
T47n1966_002:0133a02	勸君七，念佛莫令三業失，專專敬禮願西方，	勸 君 七 念 佛 莫 令 三 業 失 專 專 敬 禮 願 西 方 
T47n1966_002:0133a03	去見彌陀無上日。	去 見 彌 陀 無 上 日 
T47n1966_002:0133a04	勸君八，教修念佛牟尼法，應須遵奉本師言，	勸 君 八 教 修 念 佛 牟 尼 法 應 須 遵 奉 本 師 言 
T47n1966_002:0133a05	命盡得往彌陀剎。	命 盡 得 往 彌 陀 剎 
T47n1966_002:0133a06	勸君九，念佛真心為上首，臨終化佛共來迎，	勸 君 九 念 佛 真 心 為 上 首 臨 終 化 佛 共 來 迎 
T47n1966_002:0133a07	七寶蓮華隨願誘。	七 寶 蓮 華 隨 願 誘 
T47n1966_002:0133a08	勸君十，念佛常須心口急，思量業海苦輪深，	勸 君 十 念 佛 常 須 心 口 急 思 量 業 海 苦 輪 深 
T47n1966_002:0133a09	生死忙忙悔難及。	生 死 忙 忙 悔 難 及 
T47n1966_002:0133a10	求生西方淨土念佛鏡(終)	求 生 西方淨土 念 佛 鏡 終 
