T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_004:0116b01	上涅槃。尊者阿難語言世尊以法付囑於我	上 涅 槃 尊 者 阿 難 語 言 世 尊 以 法 付 囑 於 我 
T50n2042_004:0116b02	而入涅槃。我今亦付囑汝之佛法而入涅槃。	而 入 涅 槃 我 今 亦 付 囑 汝 之 佛 法 而 入 涅 槃 
T50n2042_004:0116b03	汝等當於罽賓國中竪立佛法。佛記我涅槃	汝 等 當 於 罽 賓 國 中 竪 立 佛 法 佛 記 我 涅 槃 
T50n2042_004:0116b04	後當有摩田提比丘當持佛法在罽賓國。尊	後 當 有 摩 田 提 比 丘 當 持 佛 法 在 罽 賓 國 尊 
T50n2042_004:0116b05	者阿難以法付囑摩田提比丘已。踊身虛空	者 阿 難 以 法 付 囑 摩 田 提 比 丘 已 踊 身 虛 空 
T50n2042_004:0116b06	作十八變令諸檀越作喜樂心已。入風奮迅	作 十 八 變 令 諸 檀 越 作 喜 樂 心 已 入 風 奮 迅 
T50n2042_004:0116b07	三昧分身為四分。一分向忉利天與釋提桓	三 昧 分 身 為 四 分 一 分 向 忉 利 天 與 釋 提 桓 
T50n2042_004:0116b08	因。一分至大海中與莎竭羅龍王。一分與阿	因 一 分 至 大 海 中 與 莎 竭 羅 龍 王 一 分 與 阿 
T50n2042_004:0116b09	闍世王。一分與毘舍離諸梨車等。如是四處	闍 世 王 一 分 與 毘 舍 離 諸 梨 車 等 如 是 四 處 
T50n2042_004:0116b10	各皆起塔供養舍利。	各 皆 起 塔 供 養 舍 利 
T50n2042_004:0116b11	摩田提因緣	摩 田 提 因 緣 
T50n2042_004:0116b12	摩田提作是念言。和上阿難付囑我佛法。使	摩 田 提 作是念言 和 上 阿 難 付 囑 我 佛 法 使 
T50n2042_004:0116b13	我以法安置罽賓國。時罽賓國有一大龍先	我 以 法 安 置 罽 賓 國 時 罽 賓 國 有 一 大 龍 先 
T50n2042_004:0116b14	在彼住。摩田提即向罽賓國結跏趺坐作是	在 彼 住 摩 田 提 即 向 罽 賓 國 結跏趺坐 作 是 
T50n2042_004:0116b15	念。若不惱觸龍此龍終不可降。即時入定令	念 若 不 惱 觸 龍 此 龍 終 不 可 降 即 時 入 定 令 
T50n2042_004:0116b16	罽賓國六種震動。龍瞋恚而起放雷電霹靂	罽 賓 國 六種震動 龍 瞋 恚 而 起 放 雷電霹靂 
T50n2042_004:0116b17	雨大雹雨。尊者摩田提入慈心三昧。乃至不	雨 大 雹 雨 尊 者 摩 田 提 入 慈 心 三 昧 乃 至 不 
T50n2042_004:0116b18	能動衣一角況能動身。化彼雷雹霹靂及以	能 動 衣 一 角 況 能 動 身 化 彼 雷 雹 霹 靂 及 以 
T50n2042_004:0116b19	大雨。作鉢頭摩花拘物頭花分陀利華優鉢	大 雨 作 鉢 頭 摩 花 拘 物 頭 花 分 陀 利 華 優 鉢 
T50n2042_004:0116b20	羅花。龍復雨劍輪刀矟種種器仗。摩田提	羅 花 龍 復 雨 劍 輪 刀 矟 種 種 器 仗 摩 田 提 
T50n2042_004:0116b21	復化作七寶。復雨大樹復雨大石山。摩田	復 化 作 七 寶 復 雨 大 樹 復 雨 大 石 山 摩 田 
T50n2042_004:0116b22	提化彼樹山為飲食衣被。復注大雨七日七	提 化 彼 樹 山 為 飲 食 衣 被 復 注 大 雨 七 日 七 
T50n2042_004:0116b23	夜。尊者接雨著大海中。又口中出火欲燒	夜 尊 者 接 雨 著 大 海 中 又 口 中 出 火 欲 燒 
T50n2042_004:0116b24	尊者。尊者變火為真珠。彼復化作數千龍	尊 者 尊 者 變 火 為 真 珠 彼 復 化 作 數 千 龍 
T50n2042_004:0116b25	身。尊者化作數千金翅鳥。龍見金翅鳥恐	身 尊 者 化 作 數 千 金 翅 鳥 龍 見 金 翅 鳥 恐 
T50n2042_004:0116b26	怖走來至尊者所問言。尊者欲何所為。答言	怖 走 來 至 尊 者 所 問 言 尊 者 欲 何 所 為 答 言 
T50n2042_004:0116b27	可受三自歸。龍復問言欲作何事。尊者答言	可 受 三 自 歸 龍 復 問 言 欲 作 何 事 尊 者 答 言 
T50n2042_004:0116b28	與我此處。龍言不與。尊者復語龍言佛臨涅	與 我 此 處 龍 言 不 與 尊 者 復 語 龍 言 佛 臨 涅 
T50n2042_004:0116b29	槃時記此國當作安隱坐禪之處。龍問言是	槃 時 記 此 國 當 作 安 隱 坐 禪 之 處 龍 問 言 是 
T50n2042_004:0116c01	佛所記耶。答言是佛所記。龍問言欲得幾許	佛 所 記 耶 答 言 是 佛 所 記 龍 問 言 欲 得 幾 許 
T50n2042_004:0116c02	地。答言欲得一坐處。摩田提即時現身滿罽	地 答 言 欲 得 一 坐 處 摩 田 提 即 時 現 身 滿 罽 
T50n2042_004:0116c03	賓國跏趺而坐。龍問言用爾許地為。答言	賓 國 跏 趺 而 坐 龍 問 言 用 爾 許 地 為 答 言 
T50n2042_004:0116c04	我今有諸伴黨。即復問言有幾伴黨。答言有	我 今 有 諸 伴 黨 即 復 問 言 有 幾 伴 黨 答 言 有 
T50n2042_004:0116c05	五百羅漢。龍言若減一人還歸我土。尊者入	五 百 羅 漢 龍 言 若 減 一 人 還 歸 我 土 尊 者 入 
T50n2042_004:0116c06	定觀於佛法隨幾時住世。此阿羅漢常能滿	定 觀 於 佛 法 隨 幾 時 住 世 此 阿 羅 漢 常 能 滿 
T50n2042_004:0116c07	足五百不耶。觀必常有五百不減。答言爾。	足 五 百 不 耶 觀 必 常 有 五 百 不 減 答 言 爾 
T50n2042_004:0116c08	龍言與之。尊者將無量人來入此國。自安村	龍 言 與 之 尊 者 將 無 量 人 來 入 此 國 自 安 村 
T50n2042_004:0116c09	落城邑。摩田提將人飛向香山中欲取欝金	落 城 邑 摩 田 提 將 人 飛 向 香 山 中 欲 取 欝 金 
T50n2042_004:0116c10	種來至罽賓住之。時香山龍瞋恚護之。龍	種 來 至 罽 賓 住 之 時 香 山 龍 瞋 恚 護 之 龍 
T50n2042_004:0116c11	復問言須幾時種耶。答言隨有佛法時。問	復 問 言 須 幾 時 種 耶 答 言 隨 有 佛 法 時 問 
T50n2042_004:0116c12	曰佛法幾時。答言佛法千歲。龍言隨有佛法	曰 佛 法 幾 時 答 言 佛 法 千 歲 龍 言 隨 有 佛 法 
T50n2042_004:0116c13	時與汝欝金。摩田提作是念。我和上約勅	時 與 汝 欝 金 摩 田 提 作 是 念 我 和 上 約 勅 
T50n2042_004:0116c14	我以佛法著罽賓國廣作佛事。我已作竟今	我 以 佛 法 著 罽 賓 國 廣 作 佛 事 我 已 作 竟 今 
T50n2042_004:0116c15	涅槃時到。即踊身虛空作十八變。使諸檀越	涅 槃 時 到 即 踊 身 虛 空 作 十 八 變 使 諸 檀 越 
T50n2042_004:0116c16	得歡喜心而大饒益同梵行者。譬如以水滅	得 歡 喜 心 而 大 饒 益 同 梵 行 者 譬 如 以 水 滅 
T50n2042_004:0116c17	火入於涅槃。以栴檀薪燒訖收骨起塔。◎	火 入 於 涅 槃 以 栴 檀 薪 燒 訖 收 骨 起 塔 
T50n2042_004:0116c18	阿育王傳卷第四	阿育王傳 卷 第 四 
T50n2042_005:0116c21	阿育王傳卷第五	阿育王傳 卷 第 五 
T50n2042_005:0116c23	西晉安息三藏安法欽譯	西 晉 安 息 三 藏 安 法 欽 譯 
T50n2042_005:0116c24	◎商那和修因緣	 商 那 和 修 因 緣 
T50n2042_005:0116c25	尊者阿難將入涅槃。商那和修向摩突羅國。	尊 者 阿 難 將 入 涅 槃 商 那 和 修 向 摩 突 羅 國 
T50n2042_005:0116c26	於其道中到一寺邊名為毘多。會值日沒即	於 其 道 中 到 一 寺 邊 名 為 毘 多 會 值 日 沒 即 
T50n2042_005:0116c27	宿彼寺。時此寺中有二摩訶羅比丘。共論議	宿 彼 寺 時 此 寺 中 有 二 摩 訶 羅 比 丘 共 論 議 
T50n2042_005:0116c28	言。我昔聞商那和修作是言。若有比丘小戒	言 我 昔 聞 商 那 和 修 作 是 言 若 有 比 丘 小 戒 
T50n2042_005:0116c29	不犯是名勝戒。聞事都盡更無異聞名為多	不 犯 是 名 勝 戒 聞 事 都 盡 更 無 異 聞 名 為 多 
T50n2042_005:0117a01	聞。商那和修聞此言已語摩訶羅言。商那和	聞 商 那 和 修 聞 此 言 已 語 摩 訶 羅 言 商 那 和 
T50n2042_005:0117a02	修不作是語。其所說者作如是言。見清淨者	修 不 作 是 語 其 所 說 者 作如是言 見 清 淨 者 
T50n2042_005:0117a03	名淨持戒。淨持戒者名第一戒。如聞而行	名 淨 持 戒 淨 持 戒 者 名 第 一 戒 如 聞 而 行 
T50n2042_005:0117a04	名為多聞。不如汝言。摩訶羅言汝是商那和	名 為 多 聞 不 如 汝 言 摩 訶 羅 言 汝 是 商 那 和 
T50n2042_005:0117a05	修耶。答言我是。摩訶羅問言汝以何緣名商	修 耶 答 言 我 是 摩 訶 羅 問 言 汝 以 何 緣 名 商 
T50n2042_005:0117a06	那和修。汝為受持商那衣故名商那和修。為	那 和 修 汝 為 受 持 商 那 衣 故 名 商 那 和 修 為 
T50n2042_005:0117a07	以過去善業緣故名商那和修。尊者答言以	以 過 去 善 業 緣 故 名 商 那 和 修 尊 者 答 言 以 
T50n2042_005:0117a08	二因緣名商那和修。一以受持商那衣故	二 因 緣 名 商 那 和 修 一 以 受 持 商 那 衣 故 
T50n2042_005:0117a09	二以過去善因緣故名商那和修。又問言過	二 以 過 去 善 因 緣 故 名 商 那 和 修 又 問 言 過 
T50n2042_005:0117a10	去因緣其事云何。尊者答言過去之時波羅	去 因 緣 其 事 云 何 尊 者 答 言 過 去 之 時 波 羅 
T50n2042_005:0117a11	捺城有一商主。與五百商人共入於海道中。	捺 城 有 一 商 主 與 五 百 商 人 共 入 於 海 道 中 
T50n2042_005:0117a12	見有一辟支佛身有病患。時此商主共諸商	見 有 一 辟支佛身 有 病 患 時 此 商 主 共 諸 商 
T50n2042_005:0117a13	人即便停住。隨醫所教飲食湯藥而治辟支	人 即 便 停 住 隨 醫 所 教 飲 食 湯 藥 而 治 辟 支 
T50n2042_005:0117a14	佛。辟支佛以漸得差。時辟支佛著商那衣。	佛 辟 支 佛 以 漸 得 差 時 辟 支 佛 著 商 那 衣 
T50n2042_005:0117a15	商主即便諮辟支佛欲與[疊*毛]衣語辟支佛言。	商 主 即 便 諮 辟 支 佛 欲 與 [疊毛] 衣 語 辟 支 佛 言 
T50n2042_005:0117a16	今可捨是商那之衣著此[疊*毛]衣辟支佛答言。	今 可 捨 是 商 那 之 衣 著 此 [疊毛] 衣 辟 支 佛 答 言 
T50n2042_005:0117a17	我以此衣出家亦以此衣得道。今當以此商	我 以 此 衣 出 家 亦 以 此 衣 得 道 今 當 以 此 商 
T50n2042_005:0117a18	那之衣而入涅槃。商主語言唯願尊者莫般	那 之 衣 而 入 涅 槃 商 主 語 言 唯 願 尊 者 莫 般 
T50n2042_005:0117a19	涅槃共我入海。入海還來我當終身供給尊	涅 槃 共 我 入 海 入 海 還 來 我 當 終 身 供 給 尊 
T50n2042_005:0117a20	者飲食臥具病瘦湯藥。辟支佛言我今不能	者 飲 食 臥 具 病 瘦 湯 藥 辟 支 佛 言 我 今 不 能 
T50n2042_005:0117a21	入於大海。子好發歡喜當大得功德。於商	入 於 大 海 子 好 發 歡 喜 當 大 得 功 德 於 商 
T50n2042_005:0117a22	主前即飛虛空作種種變而入般涅槃。爾時	主 前 即 飛 虛 空 作 種 種 變 而 入般涅槃 爾 時 
T50n2042_005:0117a23	商主即我身是。我以供養彼舍利訖即發心。	商 主 即 我 身 是 我 以 供 養 彼 舍 利 訖 即 發 心 
T50n2042_005:0117a24	願使我未來遭值聖師。復過於是百千萬億	願 使 我 未 來 遭 值 聖 師 復 過 於 是 百 千 萬 億 
T50n2042_005:0117a25	如今聖師所得功德我悉得之。使我將來所	如 今 聖 師 所得功德 我 悉 得 之 使 我 將 來 所 
T50n2042_005:0117a26	生之處威儀法則及以衣服如辟支佛。以是	生 之 處 威 儀 法 則 及 以 衣 服 如 辟 支 佛 以 是 
T50n2042_005:0117a27	願故生便常著商那衣服。乃至出家亦常著	願 故 生 便 常 著 商 那 衣 服 乃 至 出 家 亦 常 著 
T50n2042_005:0117a28	之。壇上盡形受持是衣。即便問言云何受	之 壇 上 盡 形 受 持 是 衣 即 便 問 言 云 何 受 
T50n2042_005:0117a29	持是衣。答言我受具戒時求盡形受持是衣。	持 是 衣 答 言 我 受 具 戒 時 求 盡 形 受 持 是 衣 
T50n2042_005:0117b01	以是義故名之為受。摩訶羅言汝名真好。	以是義故 名 之 為 受 摩 訶 羅 言 汝 名 真 好 
T50n2042_005:0117b02	尊者商那和修漸漸到摩突羅國。於優留曼	尊 者 商 那 和 修 漸 漸 到 摩 突 羅 國 於 優 留 曼 
T50n2042_005:0117b03	荼山加趺坐。時此山有二龍子兄弟相將與	荼 山 加 趺 坐 時 此 山 有 二 龍 子 兄 弟 相 將 與 
T50n2042_005:0117b04	五百眷屬俱。尊者商那和修作是念言。若不	五 百 眷 屬 俱 尊 者 商 那 和 修 作是念言 若 不 
T50n2042_005:0117b05	惱觸此龍龍終不起。即作神變動優留曼荼	惱 觸 此 龍 龍 終 不 起 即 作 神 變 動 優 留 曼 荼 
T50n2042_005:0117b06	山龍瞋即放大惡風雨趣尊者所。爾時尊者	山 龍 瞋 即 放 大 惡 風 雨 趣 尊 者 所 爾 時 尊 者 
T50n2042_005:0117b07	入慈心三昧。慈心三昧法蟲毒水火不	入 慈 心 三 昧 慈 心 三 昧 法 蟲 毒 水 火 不 
T50n2042_005:0117b08	能傷害。亦如尊者摩田提降龍之法。龍子	能 傷 害 亦 如 尊 者 摩 田 提 降 龍 之 法 龍 子 
T50n2042_005:0117b09	生於未曾有想即發信心白尊者言。欲何約	生 於 未 曾 有 想 即 發 信 心 白 尊 者 言 欲 何 約 
T50n2042_005:0117b10	勅。尊者答言聽我於此作眾僧住處。龍言	勅 尊 者 答 言 聽 我 於 此 作 眾 僧 住 處 龍 言 
T50n2042_005:0117b11	不聽。尊者商那和修言。佛記涅槃後優留	不 聽 尊 者 商 那 和 修 言 佛 記 涅 槃 後 優 留 
T50n2042_005:0117b12	曼荼山當有阿練若住處。名那羅跋利吒坐	曼 荼 山 當 有 阿 練 若 住 處 名 那 羅 跋 利 吒 坐 
T50n2042_005:0117b13	禪第一。龍子言是佛所記耶。答言實是。龍	禪 第 一 龍 子 言 是 佛 所 記 耶 答 言 實 是 龍 
T50n2042_005:0117b14	言若是佛所記者隨意聽作。尊者入定觀察	言 若 是 佛 所 記 者 隨 意 聽 作 尊 者 入 定 觀 察 
T50n2042_005:0117b15	檀越為出未也。知已出世便於晨朝著衣	檀 越 為 出 未 也 知 已 出 世 便 於 晨 朝 著 衣 
T50n2042_005:0117b16	持鉢入摩突羅城。次第乞食至長者那羅拔	持 鉢 入 摩 突 羅 城 次第乞食 至 長 者 那 羅 拔 
T50n2042_005:0117b17	利門中。語長者言。汝與我錢我今欲於優留	利 門 中 語 長 者 言 汝 與 我 錢 我 今 欲 於 優 留 
T50n2042_005:0117b18	曼荼山作阿練若住處。長者言我何故與汝	曼 荼 山 作 阿 練 若 住 處 長 者 言 我 何 故 與 汝 
T50n2042_005:0117b19	錢耶。答言佛本記言我涅槃後摩突羅國中	錢 耶 答 言 佛 本 記 言 我涅槃後 摩 突 羅 國 中 
T50n2042_005:0117b20	有一長者。兄弟二人一名那羅二名拔利。	有 一 長 者 兄 弟 二 人 一 名 那 羅 二 名 拔 利 
T50n2042_005:0117b21	於優留曼荼山作阿練若住處。住處即名為	於 優 留 曼 荼 山 作 阿 練 若 住 處 住 處 即 名 為 
T50n2042_005:0117b22	那羅拔利。長者言佛所記耶。答言是佛所	那 羅 拔 利 長 者 言 佛 所 記 耶 答 言 是 佛 所 
T50n2042_005:0117b23	記。於是長者即出其錢於彼山中作僧住處。	記 於 是 長 者 即 出 其 錢 於 彼 山 中 作 僧 住 處 
T50n2042_005:0117b24	遂名為那羅拔利精舍。商那和修入定觀	遂 名 為 那 羅 拔 利 精 舍 商 那 和 修 入 定 觀 
T50n2042_005:0117b25	察毱提長者為出生未也。觀其已生復觀毱	察 毱 提 長 者 為 出 生 未 也 觀 其 已 生 復 觀 毱 
T50n2042_005:0117b26	提彼子生未。猶未生子。以漸教化毱提使向	提 彼 子 生 未 猶 未 生 子 以 漸 教 化 毱 提 使 向 
T50n2042_005:0117b27	佛法。尊者商那和修化彼之時。將多比丘往	佛 法 尊 者 商 那 和 修 化 彼 之 時 將 多 比 丘 往 
T50n2042_005:0117b28	入其家。以漸將少乃至獨己一身往至其家。	入 其 家 以 漸 將 少 乃 至 獨 己 一 身 往 至 其 家 
T50n2042_005:0117b29	長者言尊者無有一比丘將至我家耶。答言	長 者 言 尊 者 無 有 一 比 丘 將 至 我 家 耶 答 言 
T50n2042_005:0117c01	我等無有奉侍供給之人。若信樂出家者隨	我 等 無 有 奉 侍 供 給 之 人 若 信 樂 出 家 者 隨 
T50n2042_005:0117c02	逐我後。毱提言我身樂世俗未能出家逐尊	逐 我 後 毱 提 言 我 身 樂 世 俗 未 能 出 家 逐 尊 
T50n2042_005:0117c03	者後。若生子者當使出家共相供給。尊者言	者 後 若 生 子 者 當 使 出 家 共 相 供 給 尊 者 言 
T50n2042_005:0117c04	汝好憶是語慎莫忘之。毱提後便生一子	汝 好 憶 是 語 慎 莫 忘 之 毱 提 後 便 生 一 子 
T50n2042_005:0117c05	字阿失波毱多。以漸長大。尊者言汝先言要	字 阿 失 波 毱 多 以 漸 長 大 尊 者 言 汝 先 言 要 
T50n2042_005:0117c06	有子與我。今已有子可以與我聽使出家。答	有 子 與 我 今 已 有 子 可 以 與 我 聽 使 出 家 答 
T50n2042_005:0117c07	言我唯有一子不得相與。若更有子當與。尊	言 我 唯 有 一 子 不 得 相 與 若 更 有 子 當 與 尊 
T50n2042_005:0117c08	者言爾後生一子字檀泥毱多。以漸長大。尊	者 言 爾 後 生 一 子 字 檀 泥 毱 多 以 漸 長 大 尊 
T50n2042_005:0117c09	者言汝先有言要若更有子許當與我。今已	者 言 汝 先 有 言 要 若 更 有 子 許 當 與 我 今 已 
T50n2042_005:0117c10	有子應當與我聽使出家。毱提答言。我一子	有 子 應 當 與 我 聽 使 出 家 毱 提 答 言 我 一 子 
T50n2042_005:0117c11	當守護錢財一子在外聚斂錢財。更有第三	當 守 護 錢 財 一 子 在 外 聚 斂 錢 財 更 有 第 三 
T50n2042_005:0117c12	子當與阿闍梨。尊者言爾。如是不久生第三	子 當 與 阿 闍 梨 尊 者 言 爾 如 是 不 久 生 第 三 
T50n2042_005:0117c13	子端正殊特出過於人貌如諸天。即立名字	子 端 正 殊 特 出 過 於 人 貌 如 諸 天 即 立 名 字 
T50n2042_005:0117c14	為優波毱多。以漸長大安著賣香肆上案	為 優 波 毱 多 以 漸 長 大 安 著 賣 香 肆 上 案 
T50n2042_005:0117c15	理市買大得宜利。尊者觀毱提為生子未。見	理 市 買 大 得 宜 利 尊 者 觀 毱 提 為 生 子 未 見 
T50n2042_005:0117c16	已生子便往到毱提所。語汝先言要若有第	已 生 子 便 往 到 毱 提 所 語 汝 先 言 要 若 有 第 
T50n2042_005:0117c17	三子許當與我。今已有子應當與我聽其出	三 子 許 當 與 我 今 已 有 子 應 當 與 我 聽 其 出 
T50n2042_005:0117c18	家。毱提言若不斷我利便與尊者度令出家。	家 毱 提 言 若 不 斷 我 利 便 與 尊 者 度 令 出 家 
T50n2042_005:0117c19	當爾之時魔王遍告摩突羅國。可詣毱多市	當 爾 之 時 魔 王 遍 告 摩 突 羅 國 可 詣 毱 多 市 
T50n2042_005:0117c20	買。因魔告故遂多人市極大得利。尊者和修	買 因 魔 告 故 遂 多 人 市 極 大 得 利 尊 者 和 修 
T50n2042_005:0117c21	往優波毱多所。優波毱多於市賣香。尊者見	往 優 波 毱 多 所 優 波 毱 多 於 市 賣 香 尊 者 見 
T50n2042_005:0117c22	已而語之言。子汝於市買中為淨心為不淨	已 而 語 之 言 子 汝 於 市 買 中 為 淨 心 為 不 淨 
T50n2042_005:0117c23	心。優波毱多答言我不知。云何名為淨心。云	心 優 波 毱 多 答 言 我 不 知 云 何 名 為 淨 心 云 
