T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_003:1040b02	一庾之粟。共九族分之。衣食躬自菲薄。人不	一 庾 之 粟 共 九 族 分 之 衣 食 躬 自 菲 薄 人 不 
T51n2095_003:1040b03	堪其憂。不改其樂。凡所著述傳於世萬餘言。	堪 其 憂 不 改 其 樂 凡 所 著 述 傳 於 世 萬 餘 言 
T51n2095_003:1040b04	師敬遠公。與劉雷同轍。遠公卒葬西嶺。謝靈	師 敬 遠 公 與 劉 雷 同 轍 遠 公 卒 葬 西 嶺 謝 靈 
T51n2095_003:1040b05	運為銘。野序之。稱門人焉。義熙十四年戊午	運 為 銘 野 序 之 稱 門 人 焉 義 熙 十 四 年 戊 午 
T51n2095_003:1040b06	終。春秋六十九。	終 春 秋 六 十 九 
T51n2095_003:1040b07	南陽張詮	南 陽 張 詮 
T51n2095_003:1040b08	張詮字秀碩。萊民之族人也。情性高逸。酷嗜	張 詮 字 秀 碩 萊 民 之 族 人 也 情 性 高 逸 酷 嗜 
T51n2095_003:1040b09	墳籍。雖耕鋤猶帶經自樂。朝廷以散騎常侍	墳 籍 雖 耕 鋤 猶 帶 經 自 樂 朝 廷 以 散 騎 常 侍 
T51n2095_003:1040b10	徵。不赴。庾悅以其家貧。以尋陽令祿之。笑	徵 不 赴 庾 悅 以 其 家 貧 以 尋 陽 令 祿 之 笑 
T51n2095_003:1040b11	曰。古人正以容膝為安。屈吾志亦何榮乎。竟	曰 古 人 正 以 容 膝 為 安 屈 吾 志 亦 何 榮 乎 竟 
T51n2095_003:1040b12	不就。入廬山。依遠公淨社。宋景平元年癸亥	不 就 入 廬 山 依 遠 公 淨 社 宋 景 平 元 年 癸 亥 
T51n2095_003:1040b13	終。春秋六十五。	終 春 秋 六 十 五 
T51n2095_003:1040b14	西林覺寂大師	西 林 覺 寂 大 師 
T51n2095_003:1040b15	大師諱慧永。姓繁。河內人也。年十二。事沙門	大 師 諱 慧 永 姓 繁 河 內 人 也 年 十 二 事 沙 門 
T51n2095_003:1040b16	竺曇現。慧悟宿習內外典籍。無不洞達。於	竺 曇 現 慧 悟 宿 習 內 外 典 籍 無 不 洞 達 於 
T51n2095_003:1040b17	佛事中。習禪為樂。先與遠師同依道安於恒	佛 事 中 習 禪 為 樂 先 與 遠 師 同 依 道 安 於 恒 
T51n2095_003:1040b18	山。亦約結宇羅浮。永師先止尋陽。即晉太元	山 亦 約 結 宇 羅 浮 永 師 先 止 尋 陽 即 晉 太 元 
T51n2095_003:1040b19	之初也。刺史陶範挹其道風。宛如夙契。於是	之 初 也 刺 史 陶 範 挹 其 道 風 宛 如 夙 契 於 是 
T51n2095_003:1040b20	留憩廬山。捨宅棲止。師貞素自然。清心剋己。	留 憩 廬 山 捨 宅 棲 止 師 貞 素 自 然 清 心 剋 己 
T51n2095_003:1040b21	言常含笑。語不傷物。又別立一苑室於嶺上。	言 常 含 笑 語 不 傷 物 又 別 立 一 苑 室 於 嶺 上 
T51n2095_003:1040b22	每欲禪思。輒往居焉。所居甞有香馥之氣。因	每 欲 禪 思 輒 往 居 焉 所 居 甞 有 香 馥 之 氣 因 
T51n2095_003:1040b23	號香谷。屋中甞有一虎。人或畏者驅之上山。	號 香 谷 屋 中 甞 有 一 虎 人 或 畏 者 驅 之 上 山 
T51n2095_003:1040b24	人去還復馴伏。後遠師龍泉學徒漸眾。師要	人 去 還 復 馴 伏 後 遠 師 龍 泉 學 徒 漸 眾 師 要 
T51n2095_003:1040b25	同憩香谷。又感神夢之異。桓伊立寺東林。乃	同 憩 香 谷 又 感 神 夢 之 異 桓 伊 立 寺 東 林 乃 
T51n2095_003:1040b26	號西林焉。鎮國將軍何無忌作鎮尋陽。每至	號 西 林 焉 鎮 國 將 軍 何 無 忌 作 鎮 尋 陽 每 至 
T51n2095_003:1040b27	瞻禮盡其誠敬。師專意淨土之行。以晉義熙	瞻 禮 盡 其 誠 敬 師 專 意 淨 土 之 行 以 晉 義 熙 
T51n2095_003:1040b28	十年甲寅。遇疾綿篤。一日忽起。斂衣合掌。求	十 年 甲 寅 遇 疾 綿 篤 一 日 忽 起 斂 衣 合 掌 求 
T51n2095_003:1040b29	屣欲起。如有所見。眾咸驚問答云。佛來。言	屣 欲 起 如 有 所 見 眾 咸 驚 問 答 云 佛 來 言 
T51n2095_003:1040c01	終而逝。春秋八十三。山中聞其香不絕者七	終 而 逝 春 秋 八 十 三 山 中 聞 其 香 不 絕 者 七 
T51n2095_003:1040c02	日。奉全身葬於本寺西二百步。南唐元宗重	日 奉 全 身 葬 於 本 寺 西 二 百 步 南 唐 元 宗 重 
T51n2095_003:1040c03	建塔亭。尋降焚黃。追諡覺寂大師實智之塔。	建 塔 亭 尋 降 焚 黃 追 諡 覺 寂 大 師 實 智 之 塔 
T51n2095_003:1040c04	東林普濟大師	東 林 普 濟 大 師 
T51n2095_003:1040c05	竺道生本姓魏。鉅鹿人也。寓居彭城。家世士	竺 道 生 本 姓 魏 鉅 鹿 人 也 寓 居 彭 城 家 世 士 
T51n2095_003:1040c06	族父廣。道生生而頴悟。聰哲若神。其父知非	族 父 廣 道 生 生 而 頴 悟 聰 哲 若 神 其 父 知 非 
T51n2095_003:1040c07	凡器。愛而異之。後從沙門竺法汰出家。遂用	凡 器 愛 而 異 之 後 從 沙 門 竺 法 汰 出 家 遂 用 
T51n2095_003:1040c08	竺為氏。既踐法門。俊思奇拔。研味句義。觸類	竺 為 氏 既 踐 法 門 俊 思 奇 拔 研 味 句 義 觸 類 
T51n2095_003:1040c09	開解。年十五。便登講坐。吐納問答。如貫珠	開 解 年 十 五 便 登 講 坐 吐 納 問 答 如 貫 珠 
T51n2095_003:1040c10	玉年二十。器鑒日深。義熙七年辛亥。初入廬	玉 年 二 十 器 鑒 日 深 義 熙 七 年 辛 亥 初 入 廬 
T51n2095_003:1040c11	山。幽棲七年。以求其志。常以入道之要。慧解	山 幽 棲 七 年 以 求 其 志 常 以 入 道 之 要 慧 解 
T51n2095_003:1040c12	為本。故鑽仰群經。斟酌雜義。萬里隨法。不憚	為 本 故 鑽 仰 群 經 斟 酌 雜 義 萬 里 隨 法 不 憚 
T51n2095_003:1040c13	疲苦。乃經長安。羅什受業。關中僧眾咸謂神	疲 苦 乃 經 長 安 羅 什 受 業 關 中 僧 眾 咸 謂 神 
T51n2095_003:1040c14	悟。後還都止青霞寺。校閱真俗。研思因果。乃	悟 後 還 都 止 青 霞 寺 校 閱 真 俗 研 思 因 果 乃 
T51n2095_003:1040c15	云。善不受報頓悟成佛。性常有論。法身無色	云 善 不 受 報 頓 悟 成 佛 性 常 有 論 法 身 無 色 
T51n2095_003:1040c16	論。有無淨土緣論等。籠罩舊說。妙有淵旨。而	論 有 無 淨 土 緣 論 等 籠 罩 舊 說 妙 有 淵 旨 而 
T51n2095_003:1040c17	守文之徒嫌嫉紛起。又六卷泥洹經。先至京	守 文 之 徒 嫌 嫉 紛 起 又 六 卷 泥 洹 經 先 至 京 
T51n2095_003:1040c18	都。說阿闡提人皆得成佛。于時大本未傳。孤	都 說 阿 闡 提 人 皆 得 成 佛 于 時 大 本 未 傳 孤 
T51n2095_003:1040c19	明先發獨見忤眾。於是舊學以為邪說。擯	明 先 發 獨 見 忤 眾 於 是 舊 學 以 為 邪 說 擯 
T51n2095_003:1040c20	而遣之。師乃正容誓曰。若我所說反於經義	而 遣 之 師 乃 正 容 誓 曰 若 我 所 說 反 於 經 義 
T51n2095_003:1040c21	者。請於見身示以厲疾。若與實相不相違背。	者 請 於 見 身 示 以 厲 疾 若 與 實 相 不 相 違 背 
T51n2095_003:1040c22	願捨識之時。踞師子座。言竟拂衣而去。入吳	願 捨 識 之 時 踞 師 子 座 言 竟 拂 衣 而 去 入 吳 
T51n2095_003:1040c23	郡虎丘山。旬日之中。學徒數百人。其年夏。雷	郡 虎 丘 山 旬 日 之 中 學 徒 數 百 人 其 年 夏 雷 
T51n2095_003:1040c24	震于青園佛殿。龍昇于天。識者默歎曰。龍既	震 于 青 園 佛 殿 龍 昇 于 天 識 者 默 歎 曰 龍 既 
T51n2095_003:1040c25	去。生必行矣。師果辭眾。復還廬山。銷影巖	去 生 必 行 矣 師 果 辭 眾 復 還 廬 山 銷 影 巖 
T51n2095_003:1040c26	岫。後涅槃大本至于南京。果稱闡提悉有佛	岫 後 涅 槃 大 本 至 于 南 京 果 稱 闡 提 悉 有 佛 
T51n2095_003:1040c27	性。與前所說若合符契。師既獲斯經。尋復講	性 與 前 所 說 若 合 符 契 師 既 獲 斯 經 尋 復 講 
T51n2095_003:1040c28	說。以宋元嘉十一年甲戌冬十月。於廬山精	說 以 宋 元 嘉 十 一 年 甲 戌 冬 十 月 於 廬 山 精 
T51n2095_003:1040c29	舍法座講說。大眾悚聽。法席將畢。忽見麈尾	舍 法 座 講 說 大 眾 悚 聽 法 席 將 畢 忽 見 麈 尾 
T51n2095_003:1041a01	紛然而墜。端坐正容。隱几而逝。顏色不異。宛	紛 然 而 墜 端 坐 正 容 隱 几 而 逝 顏 色 不 異 宛 
T51n2095_003:1041a02	若入定。道俗嗟駭。京師諸師聞者悉皆懺悔	若 入 定 道 俗 嗟 駭 京 師 諸 師 聞 者 悉 皆 懺 悔 
T51n2095_003:1041a03	信伏。葬于廬山之阜。王微以生比郭林宗。乃	信 伏 葬 于 廬 山 之 阜 王 微 以 生 比 郭 林 宗 乃 
T51n2095_003:1041a04	為立傳。述其遺德。元宗詔建堂造塔。追諡普	為 立 傳 述 其 遺 德 元 宗 詔 建 堂 造 塔 追 諡 普 
T51n2095_003:1041a05	濟大師法施之塔。	濟 大 師 法 施 之 塔 
T51n2095_003:1041a06	釋慧持法師	釋 慧 持 法 師 
T51n2095_003:1041a07	慧持者。遠師之弟也。冲然有遠量。年十四學	慧 持 者 遠 師 之 弟 也 冲 然 有 遠 量 年 十 四 學 
T51n2095_003:1041a08	讀書。一日所記。常敵人之十日。善文史。巧才	讀 書 一 日 所 記 常 敵 人 之 十 日 善 文 史 巧 才 
T51n2095_003:1041a09	製。年十八出家。與兄同事道安法師。遍學眾	製 年 十 八 出 家 與 兄 同 事 道 安 法 師 遍 學 眾 
T51n2095_003:1041a10	經。遊丑三藏。形長八尺。風神俊爽。常躡革	經 遊 丑 三 藏 形 長 八 尺 風 神 俊 爽 常 躡 革 
T51n2095_003:1041a11	屣。衲衣半脛。始同居東林之淨社。廬山徒屬	屣 衲 衣 半 脛 始 同 居 東 林 之 淨 社 廬 山 徒 屬 
T51n2095_003:1041a12	往來三千。持為上首。羅什在關中。遙相欽敬。	往 來 三 千 持 為 上 首 羅 什 在 關 中 遙 相 欽 敬 
T51n2095_003:1041a13	至隆安三年。持欲觀矚峨嵋。振錫岷岫。乃辭	至 隆 安 三 年 持 欲 觀 矚 峨 嵋 振 錫 岷 岫 乃 辭 
T51n2095_003:1041a14	遠師。入蜀。遠師苦留。不可。嘆曰。人生愛聚。	遠 師 入 蜀 遠 師 苦 留 不 可 嘆 曰 人 生 愛 聚 
T51n2095_003:1041a15	汝獨樂離。持曰。若滯情愛聚者。本不應出家。	汝 獨 樂 離 持 曰 若 滯 情 愛 聚 者 本 不 應 出 家 
T51n2095_003:1041a16	今既割愛求道。正以西方為期耳。於是悵然	今 既 割 愛 求 道 正 以 西 方 為 期 耳 於 是 悵 然 
T51n2095_003:1041a17	而別。過荊州。殷仲堪桓玄皆加禮遇欲留。不	而 別 過 荊 州 殷 仲 堪 桓 玄 皆 加 禮 遇 欲 留 不 
T51n2095_003:1041a18	可。至蜀成都郫縣龍淵寺。昇持堂者。皆號登	可 至 蜀 成 都 郫 縣 龍 淵 寺 昇 持 堂 者 皆 號 登 
T51n2095_003:1041a19	龍門。譙縱之亂從子道福凶悖尤甚。入寺人	龍 門 譙 縱 之 亂 從 子 道 福 凶 悖 尤 甚 入 寺 人 
T51n2095_003:1041a20	馬浴血。眾僧怖走。持神色盥洗無忤。道福見	馬 浴 血 眾 僧 怖 走 持 神 色 盥 洗 無 忤 道 福 見 
T51n2095_003:1041a21	之。愧悔汗流。謂左右曰。大人故與眾異。以義	之 愧 悔 汗 流 謂 左 右 曰 大 人 故 與 眾 異 以 義 
T51n2095_003:1041a22	熙八年壬子順寂。春秋七十二。	熙 八 年 壬 子 順 寂 春 秋 七 十 二 
T51n2095_003:1041a23	罽賓佛馱耶舍尊者	罽 賓 佛 馱 耶 舍 尊 者 
T51n2095_003:1041a24	佛馱耶舍此云覺明。罽賓國大婆羅門種也。	佛 馱 耶 舍 此 云 覺 明 罽 賓 國 大 婆 羅 門 種 也 
T51n2095_003:1041a25	年十三。隨師游於曠野。與虎相遇。師欲避之。	年 十 三 隨 師 游 於 曠 野 與 虎 相 遇 師 欲 避 之 
T51n2095_003:1041a26	耶舍曰。此虎已飽。必不食人。俄而虎去。中道	耶 舍 曰 此 虎 已 飽 必 不 食 人 俄 而 虎 去 中 道 
T51n2095_003:1041a27	果見餘食。師密異之。年十五。誦大乘經百萬	果 見 餘 食 師 密 異 之 年 十 五 誦 大 乘 經 百 萬 
T51n2095_003:1041a28	言。猶為沙彌。乃學五明論。世間法術多所練	言 猶 為 沙 彌 乃 學 五 明 論 世 間 法 術 多 所 練 
T51n2095_003:1041a29	習。然性簡傲。謂少堪己師。年二十七。方受具	習 然 性 簡 傲 謂 少 堪 己 師 年 二 十 七 方 受 具 
T51n2095_003:1041b01	戒。讀誦手常不釋卷。每端坐思義。猶以虛度	戒 讀 誦 手 常 不 釋 卷 每 端 坐 思 義 猶 以 虛 度 
T51n2095_003:1041b02	日景為歎。其專精如此。在沙勒與羅什甚相	日 景 為 歎 其 專 精 如 此 在 沙 勒 與 羅 什 甚 相 
T51n2095_003:1041b03	尊敬。後入龜茲。法化甚盛。時羅什已為呂光	尊 敬 後 入 龜 茲 法 化 甚 盛 時 羅 什 已 為 呂 光 
T51n2095_003:1041b04	所執。什在姑臧。遣信要之。耶舍欲從之。恐為	所 執 什 在 姑 臧 遣 信 要 之 耶 舍 欲 從 之 恐 為 
T51n2095_003:1041b05	國人所留。乃取清水一鉢。以藥投中。呪數十	國 人 所 留 乃 取 清 水 一 鉢 以 藥 投 中 呪 數 十 
T51n2095_003:1041b06	言。與弟子洗足。即便夜發。比旦行數百里。國	言 與 弟 子 洗 足 即 便 夜 發 比 旦 行 數 百 里 國 
T51n2095_003:1041b07	人追之不及。問弟子曰。何所覺耶。曰唯聞疾	人 追 之 不 及 問 弟 子 曰 何 所 覺 耶 曰 唯 聞 疾 
T51n2095_003:1041b08	風之響。而眼有淚耳。耶舍又為呪水洗足乃	風 之 響 而 眼 有 淚 耳 耶 舍 又 為 呪 水 洗 足 乃 
T51n2095_003:1041b09	止。達姑臧。什公已入長安。乃請姚興迎之。別	止 達 姑 臧 什 公 已 入 長 安 乃 請 姚 興 迎 之 別 
T51n2095_003:1041b10	立新省於逍遙園。與什對譯十住婆娑等論。	立 新 省 於 逍 遙 園 與 什 對 譯 十 住 婆 娑 等 論 
T51n2095_003:1041b11	耶舍髭赤。時人號為赤髭論主。前後贈遺四	耶 舍 髭 赤 時 人 號 為 赤 髭 論 主 前 後 贈 遺 四 
T51n2095_003:1041b12	事供養並不受。時至分衛。一食而已。衣鉢臥	事 供 養 並 不 受 時 至 分 衛 一 食 而 已 衣 鉢 臥 
T51n2095_003:1041b13	具滿屋三間。不以關心。姚興為貨之。城南	具 滿 屋 三 間 不 以 關 心 姚 興 為 貨 之 城 南 
T51n2095_003:1041b14	造寺。耶舍先誦曇無德律。興疑其謬。乃試	造 寺 耶 舍 先 誦 曇 無 德 律 興 疑 其 謬 乃 試 
T51n2095_003:1041b15	令誦羌籍藥方。可五萬言。經二日。執文覆	令 誦 羌 籍 藥 方 可 五 萬 言 經 二 日 執 文 覆 
T51n2095_003:1041b16	之。不誤一字。眾伏其強記。弘始中譯出四分	之 不 誤 一 字 眾 伏 其 強 記 弘 始 中 譯 出 四 分 
T51n2095_003:1041b17	律為秦言。晉義熙八年壬子。入廬山。為遠公	律 為 秦 言 晉 義 熙 八 年 壬 子 入 廬 山 為 遠 公 
T51n2095_003:1041b18	預社之客。後辭還本國。自罽賓以虛空藏經	預 社 之 客 後 辭 還 本 國 自 罽 賓 以 虛 空 藏 經 
T51n2095_003:1041b19	一卷附賈客。至于涼州。莫知所終。	一 卷 附 賈 客 至 于 涼 州 莫 知 所 終 
T51n2095_003:1041b20	罽賓佛馱跋陀羅尊者	罽 賓 佛 馱 跋 陀 羅 尊 者 
T51n2095_003:1041b21	佛馱跋陀羅。漢云覺賢。本姓釋氏。迦維羅衛	佛 馱 跋 陀 羅 漢 云 覺 賢 本 姓 釋 氏 迦 維 羅 衛 
T51n2095_003:1041b22	國人。甘露梵王之苗裔。覺賢三歲而喪母。五	國 人 甘 露 梵 王 之 苗 裔 覺 賢 三 歲 而 喪 母 五 
T51n2095_003:1041b23	歲而喪父。為外氏所養。從祖鳩摩婆利聞其	歲 而 喪 父 為 外 氏 所 養 從 祖 鳩 摩 婆 利 聞 其 
T51n2095_003:1041b24	聰悟。乃迎還度為沙彌。年十七。與同學數人	聰 悟 乃 迎 還 度 為 沙 彌 年 十 七 與 同 學 數 人 
T51n2095_003:1041b25	俱以習誦為業。人一月所誦。賢一日誦之。師	俱 以 習 誦 為 業 人 一 月 所 誦 賢 一 日 誦 之 師 
T51n2095_003:1041b26	歎曰。賢一日敵三十夫也。及具戒。博學群	歎 曰 賢 一 日 敵 三 十 夫 也 及 具 戒 博 學 群 
T51n2095_003:1041b27	經。多所通達。少以禪律馳名。與同社學僧伽	經 多 所 通 達 少 以 禪 律 馳 名 與 同 社 學 僧 伽 
T51n2095_003:1041b28	達多。共遊罽賓國。達多雖伏其才明。而未測	達 多 共 遊 罽 賓 國 達 多 雖 伏 其 才 明 而 未 測 
T51n2095_003:1041b29	其人也。後於密室禪坐。忽見賢來。達多驚	其 人 也 後 於 密 室 禪 坐 忽 見 賢 來 達 多 驚 
T51n2095_003:1041c01	問其意。答曰。暫至兜率。致敬彌勒。言訖便	問 其 意 答 曰 暫 至 兜 率 致 敬 彌 勒 言 訖 便 
T51n2095_003:1041c02	隱。達多乃知其神。其後益見神變。乃敬心祈	隱 達 多 乃 知 其 神 其 後 益 見 神 變 乃 敬 心 祈 
T51n2095_003:1041c03	問。方知其得不還果也。賢喜遊方弘化。乃度	問 方 知 其 得 不 還 果 也 賢 喜 遊 方 弘 化 乃 度 
T51n2095_003:1041c04	葱嶺。歷六國。自交趾附舶。循海至青州東萊	葱 嶺 歷 六 國 自 交 趾 附 舶 循 海 至 青 州 東 萊 
T51n2095_003:1041c05	郡。聞鳩摩羅什在長安。即往從之。什大喜。相	郡 聞 鳩 摩 羅 什 在 長 安 即 往 從 之 什 大 喜 相 
T51n2095_003:1041c06	與共發玄旨。多所推伏。後至廬山。遠師久服	與 共 發 玄 旨 多 所 推 伏 後 至 廬 山 遠 師 久 服 
T51n2095_003:1041c07	風聞。傾蓋如舊。於香谷後山。茇舍而居。自是	風 聞 傾 蓋 如 舊 於 香 谷 後 山 茇 舍 而 居 自 是 
T51n2095_003:1041c08	江東始耽禪悅。安帝義熙十四年。先有沙門。	江 東 始 耽 禪 悅 安 帝 義 熙 十 四 年 先 有 沙 門 
T51n2095_003:1041c09	於于闐國。得華嚴經前分三萬六千偈。未有	於 于 闐 國 得 華 嚴 經 前 分 三 萬 六 千 偈 未 有 
T51n2095_003:1041c10	宣譯。乃迎師。赴道場寺為譯主。與吳郡內史	宣 譯 乃 迎 師 赴 道 場 寺 為 譯 主 與 吳 郡 內 史 
T51n2095_003:1041c11	孟顗右衛將軍褚叔度沙門法業等。詮定文	孟 顗 右 衛 將 軍 褚 叔 度 沙 門 法 業 等 詮 定 文 
T51n2095_003:1041c12	旨。會通華梵。妙得經意。及先後譯出觀佛三	旨 會 通 華 梵 妙 得 經 意 及 先 後 譯 出 觀 佛 三 
T51n2095_003:1041c13	昧海等經論。九十五部一百十有七卷。並行	昧 海 等 經 論 九 十 五 部 一 百 十 有 七 卷 並 行 
T51n2095_003:1041c14	於世。以元嘉六年歸寂于建鄴。春秋七十一。	於 世 以 元 嘉 六 年 歸 寂 于 建 鄴 春 秋 七 十 一 
T51n2095_003:1041c15	賢有釋迦舍利三粒。自隨因葬北嶺。仍建塔	賢 有 釋 迦 舍 利 三 粒 自 隨 因 葬 北 嶺 仍 建 塔 
T51n2095_003:1041c16	焉。	焉 
T51n2095_003:1041c17	釋慧叡法師	釋 慧 叡 法 師 
T51n2095_003:1041c18	慧叡冀州人也。少出家。執節清峻。博學遊	慧 叡 冀 州 人 也 少 出 家 執 節 清 峻 博 學 遊 
T51n2095_003:1041c19	方。遊歷諸國。至南天竺界。音譯詁訓。殊方異	方 遊 歷 諸 國 至 南 天 竺 界 音 譯 詁 訓 殊 方 異 
T51n2095_003:1041c20	義。無不洞曉。還憩廬山。入遠師淨社。常適京	義 無 不 洞 曉 還 憩 廬 山 入 遠 師 淨 社 常 適 京 
T51n2095_003:1041c21	師。止烏衣寺。講說皆思徹言表。宋彭城王義	師 止 烏 衣 寺 講 說 皆 思 徹 言 表 宋 彭 城 王 義 
