X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_005:0330a14	而有顛倒之法。當知不從緣有不從倒生者。竟不	而 有 顛 倒 之 法 當 知 不 從 緣 有 不 從 倒 生 者 竟 不 
X30n0602_005:0330a15	可說也。常如是觀。乃能融前事行。以成妙行。△三	可 說 也 常 如 是 觀 乃 能 融 前 事 行 以 成 妙 行 三 
X30n0602_005:0330a16	以偈重宣四。初通頌二處事行。	以 偈 重 宣 四 初 通 頌 二 處 事 行 
X30n0602_005:0330a17	爾時世尊欲重此義。而說偈言。	爾 時 世 尊 欲 重 此 義 而 說 偈 言 
X30n0602_005:0330a18	若有菩薩(至)及親近處。	若 有 菩 薩 至 及 親 近 處 
X30n0602_005:0330a19	初標次釋。	初 標 次 釋 
X30n0602_005:0330a20	常離國王(至)皆勿親近。	常 離 國 王 至 皆 勿 親 近 
X30n0602_005:0330a21	此戒離權勢外道兇戲等。三藏學即愚法小教。破	此 戒 離 權 勢 外 道 兇 戲 等 三 藏 學 即 愚 法 小 教 破 
X30n0602_005:0330a22	戒言無行。名字言無實。戲笑言多僻。著欲言多染。	戒 言 無 行 名 字 言 無 實 戲 笑 言 多 僻 著 欲 言 多 染 
X30n0602_005:0330a23	求現滅度。謂不修梵行妄希道果。皆非正人。故勿	求 現 滅 度 謂 不 修 梵 行 妄 希 道 果 皆 非 正 人 故 勿 
X30n0602_005:0330a24	親近。	親 近 
X30n0602_005:0330b01	若是人等(至)而為說法。	若 是 人 等 至 而 為 說 法 
X30n0602_005:0330b02	頌清淨說法也。能無所著。故無所畏。	頌 清 淨 說 法 也 能 無 所 著 故 無 所 畏 
X30n0602_005:0330b03	寡女處女(至)皆勿親近。	寡 女 處 女 至 皆 勿 親 近 
X30n0602_005:0330b04	戒離婦女不男惡律也。	戒 離 婦 女 不 男 惡 律 也 
X30n0602_005:0330b05	兇險相撲。種種嬉戲。諸婬女等。盡勿親近。	兇 險 相 撲 種 種 嬉 戲 諸 婬 女 等 盡 勿 親 近 
X30n0602_005:0330b06	牒結前文也。	牒 結 前 文 也 
X30n0602_005:0330b07	莫獨屏處(至)一心念佛。	莫 獨 屏 處 至 一 心 念 佛 
X30n0602_005:0330b08	正身之至也。屏僻處里廛中也。乞食之法。自伏貢	正 身 之 至 也 屏 僻 處 里 廛 中 也 乞 食 之 法 自 伏 貢 
X30n0602_005:0330b09	高發他仁善。	高 發 他 仁 善 
X30n0602_005:0330b10	是則名為。行處近處。以此二處。能安樂說。	是 則 名 為 行 處 近 處 以 此 二 處 能 安 樂 說 
X30n0602_005:0330b11	雙結也。△二別頌二處理行二。初頌行處。	雙 結 也 二 別 頌 二 處 理 行 二 初 頌 行 處 
X30n0602_005:0330b12	二處理行。長行各連事行而舉。偈文各離事行而	二 處 理 行 長 行 各 連 事 行 而 舉 偈 文 各 離 事 行 而 
X30n0602_005:0330b13	頌。文義可辨。	頌 文 義 可 辨 
X30n0602_005:0330b14	又復不行(至)菩薩行處。	又 復 不 行 至 菩 薩 行 處 
X30n0602_005:0330b15	頌又復於法無所行至不分別等。不行上中下法。	頌 又 復 於 法 無 所 行 至 不 分 別 等 不 行 上 中 下 法 
X30n0602_005:0330b16	謂於三乘法無所行也。△二頌近處二。初頌正	謂 於 三 乘 法 無 所 行 也 二 頌 近 處 二 初 頌 正 
X30n0602_005:0330b17	觀。	觀 
X30n0602_005:0330b18	一切諸法(至)如須彌山。	一切諸法 至 如須彌山 
X30n0602_005:0330b19	頌觀一切法空如實相不顛倒不動轉等也。真空	頌 觀 一切法空 如 實 相 不 顛 倒 不 動 轉 等 也 真 空 
X30n0602_005:0330b20	實相擬心即妄。若復分別有無是非皆顛倒也。△	實 相 擬 心 即 妄 若 復 分 別 有 無 是 非 皆 顛 倒 也 
X30n0602_005:0330b21	二頌喻明。	二 頌 喻 明 
X30n0602_005:0330b22	觀一切法(至)是名近處。	觀 一 切 法 至 是 名 近 處 
X30n0602_005:0330b23	頌如虗空無所有性至無礙無障等。常住一相。謂	頌 如 虗 空無所有 性 至 無 礙 無 障 等 常 住 一 相 謂 
X30n0602_005:0330b24	無生出動退等異也。△三結頌二處。	無 生 出 動 退 等 異 也 三 結 頌 二 處 
X30n0602_005:0330c01	若有比丘(至)無有怯弱。	若 有 比 丘 至 無有怯弱 
X30n0602_005:0330c02	深造於理故無怯弱。謂無怖畏心能安樂說也。	深 造 於 理 故 無 怯 弱 謂 無 怖 畏 心 能 安 樂 說 也 
X30n0602_005:0330c03	菩薩有時(至)無有怯弱。	菩 薩 有 時 至 無有怯弱 
X30n0602_005:0330c04	頌常樂觀如是法相。而釋無怯弱之所以。△四結	頌 常 樂 觀 如 是 法 相 而 釋 無 怯 弱 之 所 以 四 結 
X30n0602_005:0330c05	頌正身行。	頌 正 身 行 
X30n0602_005:0330c06	文殊師利(至)說法華經。	文 殊 師 利 至 說 法 華 經 
X30n0602_005:0330c07	初法即正身行也。△二正語行二。初正說長行。	初 法 即 正 身 行 也 二 正 語 行 二 初 正 說 長 行 
X30n0602_005:0330c08	又文殊師利(至)若口宣說。	又 文 殊 師 利 至 若 口 宣 說 
X30n0602_005:0330c09	應住等者。要心住口說也。心口相應則語行正矣。	應 住 等 者 要 心 住 口 說 也 心 口 相 應 則 語 行 正 矣 
X30n0602_005:0330c10	若讀經時(至)不說他人好惡長短。	若 讀 經 時 至 不 說 他 人 好 惡 長 短 
X30n0602_005:0330c11	經有大小乘。人有大小機。以乘對機隨宜難解。故	經 有 大 小 乘 人 有 大 小 機 以 乘 對 機 隨 宜 難 解 故 
X30n0602_005:0330c12	讀經之時易求其過。是以戒之。不慢餘師者。不依	讀 經 之 時 易 求 其 過 是 以 戒 之 不 慢 餘 師 者 不 依 
X30n0602_005:0330c13	大輕小不以圓慢偏也。不說長短者。內以息業外	大 輕 小 不 以 圓 慢 偏 也 不 說 長 短 者 內 以 息 業 外 
X30n0602_005:0330c14	以息諍。此語行之要也。	以 息 諍 此 語 行 之 要 也 
X30n0602_005:0330c15	於聲聞人亦不稱名說其過惡(至)令得一切種智。	於 聲 聞 人 亦 不 稱 名 說 其 過 惡 至 令 得 一切種智 
X30n0602_005:0330c16	說其過則令失小讚其美則令退大。亦不怨其妨	說 其 過 則 令 失 小 讚 其 美 則 令 退 大 亦 不 怨 其 妨 
X30n0602_005:0330c17	道嫌其鄙劣非唯不出諸口。又亦不生於心。可謂	道 嫌 其 鄙 劣 非 唯 不 出 諸 口 又 亦 不 生 於 心 可 謂 
X30n0602_005:0330c18	善修安樂心也。由其善修安樂之心無所讚毀怨	善 修 安 樂 心 也 由 其 善 修 安 樂 之 心 無 所 讚 毀 怨 
X30n0602_005:0330c19	嫌。故能順其機而導達之。△二重以偈說二。初	嫌 故 能 順 其 機 而 導 達 之 二 重 以 偈 說 二 初 
X30n0602_005:0330c20	頌語行相。	頌 語 行 相 
X30n0602_005:0330c21	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X30n0602_005:0330c22	菩薩常樂(至)隨問為說。	菩 薩 常 樂 至 隨 問 為 說 
X30n0602_005:0330c23	常樂說法無復俗論。則語行自正。淨身淨衣非好	常 樂 說 法 無 復 俗 論 則 語 行 自 正 淨 身 淨 衣 非 好 
X30n0602_005:0330c24	為雅潔。欲稱其心淨與說法淨耳。故曰內外俱淨。	為 雅 潔 欲 稱 其 心 淨 與 說 法 淨 耳 故 曰 內 外 俱 淨 
X30n0602_005:0331a01	安處隨問者。虗己應物如鐘待扣也。西方以香油	安 處 隨 問 者 虗 己 應 物 如 鐘 待 扣 也 西 方 以 香 油 
X30n0602_005:0331a02	為淨飾。	為 淨 飾 
X30n0602_005:0331a03	若有比丘(至)咸令歡喜。	若 有 比 丘 至 咸 令 歡 喜 
X30n0602_005:0331a04	此依正語順機導達也。懶墮妨於勇猛。懈怠妨於	此 依 正 語 順 機 導 達 也 懶 墮 妨 於 勇 猛 懈 怠 妨 於 
X30n0602_005:0331a05	精進。憂惱妨於安樂。菩薩欲依語行說法利物。故	精 進 憂 惱 妨 於 安 樂 菩 薩 欲 依 語 行 說 法 利 物 故 
X30n0602_005:0331a06	除懶墮意離諸憂惱。晝夜常說者。弘法之心無間	除 懶 墮 意 離 諸 憂 惱 晝 夜 常 說 者 弘 法 之 心 無 間 
X30n0602_005:0331a07	斷也。	斷 也 
X30n0602_005:0331a08	衣服臥具(至)安樂供養。	衣 服 臥 具 至 安 樂 供 養 
X30n0602_005:0331a09	所志在法不在物故。不希衣服四事供養。但念說	所 志 在 法 不 在 物 故 不 希 衣 服 四 事 供 養 但 念 說 
X30n0602_005:0331a10	法安樂供養。葢四事供養特為小利。說法供養乃	法 安 樂 供 養 葢 四 事 供 養 特 為 小 利 說 法 供 養 乃 
X30n0602_005:0331a11	為大利。	為 大 利 
X30n0602_005:0331a12	我滅度後(至)安住忍故。	我 滅 度 後 至 安 住 忍 故 
X30n0602_005:0331a13	明語行當宗於忍也。說斯經者。內之恚惱憂愁。外	明 語 行 當 宗 於 忍 也 說 斯 經 者 內 之 恚 惱 憂 愁 外 
X30n0602_005:0331a14	之罵怖杖擯諸難自無。為能安住忍故。則忍不可	之 罵 怖 杖 擯 諸 難 自 無 為 能 安 住 忍 故 則 忍 不 可 
X30n0602_005:0331a15	不宗也。諸難自無。所謂必使之無難。△二頌結顯	不 宗 也 諸 難 自 無 所 謂 必 使 之 無 難 二 頌 結 顯 
X30n0602_005:0331a16	益。	益 
X30n0602_005:0331a17	智者如是(至)說不能盡。	智 者 如 是 至 說 不 能 盡 
X30n0602_005:0331a18	如是善修者。如上正語之行以修里。善修其心所	如 是 善 修 者 如 上 正 語 之 行 以 修 里 善 修 其 心 所 
X30n0602_005:0331a19	謂修己。能住安樂所謂安安。修己安安聖人之徒	謂 修 己 能 住 安 樂 所 謂 安 安 修 己 安 安 聖 人 之 徒 
X30n0602_005:0331a20	也。為聖人之徒行聖人之道。則功與道洪。德隨物	也 為 聖 人 之 徒 行 聖 人 之 道 則 功 與 道 洪 德 隨 物 
X30n0602_005:0331a21	廣。何可勝窮哉。△三正意行四。一息業。	廣 何 可 勝 窮 哉 三 正 意 行 四 一 息 業 
X30n0602_005:0331a22	又文殊師利(至)亦勿輕罵學佛道者求其長短。	又 文 殊 師 利 至 亦 勿 輕 罵 學 佛 道 者 求 其 長 短 
X30n0602_005:0331a23	嫉妬諂誑下至戲論諸法。皆意地微細邪行。故須	嫉 妬 諂 誑 下 至 戲 論 諸 法 皆 意 地 微 細 邪 行 故 須 
X30n0602_005:0331a24	正之也。法欲滅時世道交喪邪暴交作。人多嫉諂。	正 之 也 法 欲 滅 時 世 道 交 喪 邪 暴 交 作 人 多 嫉 諂 
X30n0602_005:0331b01	則學佛者易見輕罵而求其長短。故戒持經者無	則 學 佛 者 易 見 輕 罵 而 求 其 長 短 故 戒 持 經 者 無 
X30n0602_005:0331b02	懷嫉諂等事。乃因時制行。所以息業也。	懷 嫉 諂 等 事 乃 因 時 制 行 所 以 息 業 也 
X30n0602_005:0331b03	若比丘比丘尼(至)又亦不應戲論諸法有所諍競。	若 比 丘 比 丘 尼 至 又 亦 不 應 戲 論 諸 法 有 所 諍 競 
X30n0602_005:0331b04	四眾有求三乘者。當隨機與進。輙勿惱之令失善	四 眾 有 求 三 乘 者 當 隨 機 與 進 輙 勿 惱 之 令 失 善 
X30n0602_005:0331b05	利。從語其人言下皆惱之之事。顛倒分別諸法有	利 從 語 其 人 言 下 皆 惱 之 之 事 顛 倒 分別諸法 有 
X30n0602_005:0331b06	無。名戲論諍競。皆為意業。故應息之。△二起行。	無 名 戲 論 諍 競 皆 為 意 業 故 應 息 之 二 起 行 
X30n0602_005:0331b07	當於一切眾生起大悲想(至)於諸菩薩起大師想。	當 於 一 切 眾 生 起 大 悲 想 至 於 諸 菩 薩 起 大 師 想 
X30n0602_005:0331b08	悲想則愍其迷淪而思濟也。父想則依其法化而	悲 想 則 愍 其 迷 淪 而 思 濟 也 父 想 則 依 其 法 化 而 
X30n0602_005:0331b09	求怙也。師想則景其道行而思齊也。	求 怙 也 師 想 則 景 其 道 行 而 思 齊 也 
X30n0602_005:0331b10	於十方諸大菩薩。常應深心恭敬禮拜。	於 十 方 諸 大 菩 薩 常 應 深 心 恭敬禮拜 
X30n0602_005:0331b11	為其愍眾行道深心利物故。應深心敬之。	為 其 愍 眾 行 道 深 心 利 物 故 應 深 心 敬 之 
X30n0602_005:0331b12	於一切眾生平等說法(至)亦不為多說。	於 一 切 眾 生 平 等 說 法 至 亦 不 為 多 說 
X30n0602_005:0331b13	平等言不黨。順法言稱理。雖彼深愛當量所堪。貴	平 等 言 不 黨 順 法 言 稱 理 雖 彼 深 愛 當 量 所 堪 貴 
X30n0602_005:0331b14	不失人亦不失言。△三顯益。	不 失 人 亦 不 失 言 三 顯 益 
X30n0602_005:0331b15	文殊師利(至)說是法時無能惱亂。	文 殊 師 利 至 說 是 法 時 無 能 惱 亂 
X30n0602_005:0331b16	此必使無難之効也。	此 必 使 無 難 之 効 也 
X30n0602_005:0331b17	得好同學共讀誦是經。亦得大眾而來聽受。	得 好 同 學 共 讀 誦 是 經 亦 得 大 眾 而 來 聽 受 
X30n0602_005:0331b18	行是行故。樂而得朋寬而得眾。	行 是 行 故 樂 而 得 朋 寬 而 得 眾 
X30n0602_005:0331b19	聽已能持持已能誦(至)恭敬尊重讚歎。	聽 已 能 持 持 已 能 誦 至 恭 敬 尊 重 讚 歎 
X30n0602_005:0331b20	因使法利展轉浸廣。則法雖欲滅而未滅。故應成	因 使 法 利 展 轉 浸 廣 則 法 雖 欲 滅 而 未 滅 故 應 成 
X30n0602_005:0331b21	就。是第三行。△四重頌三。初頌息業。	就 是 第 三 行 四 重 頌 三 初 頌 息 業 
X30n0602_005:0331b22	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X30n0602_005:0331b23	若欲說是經。當捨嫉恚慢。諂誑邪偽心。常修質直行。	若 欲 說 是 經 當 捨 嫉 恚 慢 諂 誑 邪 偽 心 常 修 質 直 行 
X30n0602_005:0331b24	此意行之要也。	此 意 行 之 要 也 
X30n0602_005:0331c01	不輕蔑於人。亦不戲論法。不令他疑悔。云汝不得佛。	不 輕 蔑 於 人 亦 不 戲 論 法 不 令 他 疑 悔 云 汝 不 得 佛 
X30n0602_005:0331c02	頌不惱四眾等。蔑忽也。△二頌起行。	頌 不 惱 四 眾 等 蔑 忽 也 二 頌 起 行 
X30n0602_005:0331c03	是佛子說法(至)說法無障礙。	是 佛 子 說 法 至 說 法 無 障 礙 
X30n0602_005:0331c04	忍為四行之宗。故每言之。自慈悲於一切已下。頌	忍 為 四 行 之 宗 故 每 言 之 自 慈 悲 於 一 切 已 下 頌 
X30n0602_005:0331c05	當於一切起大悲想等。△三頌顯益。	當 於 一 切 起 大 悲 想 等 三 頌 顯 益 
X30n0602_005:0331c06	第三法如是。智者應守護。一心安樂行。無量眾所敬。	第 三 法 如 是 智 者 應 守 護 一 心 安 樂 行 無 量 眾 所 敬 
X30n0602_005:0331c07	質直柔忍慈下恭上。安行是道孰不愛敬。△四大	質 直 柔 忍 慈 下 恭 上 安 行 是 道 孰 不 愛 敬 四 大 
X30n0602_005:0331c08	悲行六。初起行。	悲 行 六 初 起 行 
X30n0602_005:0331c09	又文殊師利(至)於非菩薩人中生大悲心。	又 文 殊 師 利 至 於 非 菩 薩 人 中 生大悲心 
X30n0602_005:0331c10	大乘修行。初皆以智正行。終皆以悲成智。故四安	大 乘 修 行 初 皆 以 智 正 行 終 皆 以 悲 成 智 故 四 安 
X30n0602_005:0331c11	樂行先依正智正業。而後起大悲利生也。然或生	樂 行 先 依 正 智 正 業 而 後 起 大 悲 利 生 也 然 或 生 
X30n0602_005:0331c12	大慈或生大悲者。慈能與樂悲能愍濟。四眾信解	大 慈 或 生 大 悲 者 慈 能 與 樂 悲 能 愍 濟 四 眾 信 解 
X30n0602_005:0331c13	佛法名在家菩薩出家菩薩。闡提不信名非菩薩	佛 法 名 在 家 菩 薩 出 家 菩 薩 闡 提 不 信 名 非 菩 薩 
X30n0602_005:0331c14	以能信解故生大慈而與之法樂。以闡提故生大	以 能 信 解 故 生 大 慈 而 與 之 法 樂 以 闡 提 故 生 大 
X30n0602_005:0331c15	悲而愍其迷失也。△二愍濟。	悲 而 愍 其 迷 失 也 二 愍 濟 
X30n0602_005:0331c16	應作是念(至)令得住是法中。	應 作 是 念 至 令 得 住 是 法 中 
X30n0602_005:0331c17	此皆愍其迷失也。隨宜說法即開三顯一之法也。	此 皆 愍 其 迷 失 也 隨宜說法 即 開 三 顯 一 之 法 也 
X30n0602_005:0331c18	不聞不知不覺言昏迷自障也。不問不信不解言	不 聞 不 知 不 覺 言 昏 迷 自 障 也 不 問 不 信 不 解 言 
X30n0602_005:0331c19	顓蒙自墮也。然彼雖不問不解。而菩薩大悲誓終	顓 蒙 自 墮 也 然 彼 雖 不 問 不 解 而 菩薩大悲 誓 終 
X30n0602_005:0331c20	濟度。△三離過。	濟 度 三 離 過 
X30n0602_005:0331c21	文殊師利(至)說是法時無有過失。	文 殊 師 利 至 說 是 法 時 無有過失 
X30n0602_005:0331c22	第四行法回智運悲。總備前行故無過失。△四獲	第 四 行 法 回 智 運 悲 總 備 前 行 故 無 過 失 四 獲 
X30n0602_005:0331c23	益。	益 
X30n0602_005:0331c24	常為比丘比丘尼(至)諸佛神力所護故。	常 為 比 丘 比 丘 尼 至 諸 佛 神 力 所 護 故 
X30n0602_005:0332a01	慈與悲大故七眾悅服。行與法勝故諸天歸向。難	慈 與 悲 大 故 七 眾 悅 服 行 與 法 勝 故 諸 天 歸 向 難 
X30n0602_005:0332a02	問必有折挫。得其衛護則正念不失。以諸佛所護	問 必 有 折 挫 得 其 衛 護 則 正 念 不 失 以 諸 佛 所 護 
X30n0602_005:0332a03	故諸天不得不護。△五歎法四。初歎難遇。	故 諸 天 不 得 不 護 五 歎 法 四 初 歎 難 遇 
X30n0602_005:0332a04	文殊師利(至)何況得見受持讀誦。	文 殊 師 利 至 何 況 得 見 受持讀誦 
X30n0602_005:0332a05	難遇如此。所以愍其不信不解為大失。△二喻難	難 遇 如 此 所 以 愍 其 不 信 不 解 為 大 失 二 喻 難 
X30n0602_005:0332a06	得二。初喻。	得 二 初 喻 
X30n0602_005:0332a07	文殊師利(至)起種種兵而往討伐。	文 殊 師 利 至 起 種 種 兵 而 往 討 伐 
X30n0602_005:0332a08	此喻意明是經所以難聞難見者。為陰魔熾盛多	此 喻 意 明 是 經 所 以 難 聞 難 見 者 為 陰 魔 熾 盛 多 
X30n0602_005:0332a09	怨難信不妄說故。輪王譬化身佛。諸國譬五陰境。	怨 難 信 不 妄 說 故 輪 王 譬 化 身 佛 諸 國 譬 五 陰 境 
X30n0602_005:0332a10	小王譬五陰等魔。不順其命譬無明煩惱未調伏	小 王 譬 五 陰 等 魔 不 順 其 命 譬 無 明 煩 惱 未 調 伏 
X30n0602_005:0332a11	也。以威不行而起兵討伐。譬但以如來知見力無	也 以 威 不 行 而 起 兵 討 伐 譬 但 以 如 來 知 見 力 無 
X30n0602_005:0332a12	畏法。不能攝伏諸微細惑。故設三乘斷治之法。是	畏 法 不 能 攝 伏 諸 微 細 惑 故 設 三 乘 斷 治 之 法 是 
