T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_002:0374b02	悉檀機也。	悉 檀 機 也 
T39n1789_002:0374b03	世尊。外道亦說有無有生。世尊亦說無有生	世 尊 外 道 亦 說 有 無 有 生 世 尊 亦 說 無 有 生 
T39n1789_002:0374b04	生已滅。如世尊所說。無明緣行乃至老死。此	生 已 滅 如 世 尊 所 說 無明緣行 乃 至 老 死 此 
T39n1789_002:0374b05	是世尊無因說。非有因說。世尊建立作如是	是 世 尊 無 因 說 非 有 因 說 世 尊 建 立 作 如 是 
T39n1789_002:0374b06	說。此有故彼有。非建立漸生。觀外道說勝。非	說 此 有 故 彼 有 非 建 立 漸 生 觀 外 道 說 勝 非 
T39n1789_002:0374b07	如來也。所以者何。世尊。外道說因。不從緣生	如 來 也 所以者何 世 尊 外 道 說 因 不 從 緣 生 
T39n1789_002:0374b08	而有所生。世尊說觀因有事觀事有因。如是	而 有 所 生 世 尊 說 觀 因 有 事 觀 事 有 因 如 是 
T39n1789_002:0374b09	因緣雜亂。如是展轉無窮　亦說有無有生	因 緣 雜 亂 如 是 展 轉 無 窮 亦 說 有 無 有 生 
T39n1789_002:0374b10	者。外道言有從無有生。則無因而已。亦說無	者 外 道 言 有 從 無 有 生 則 無 因 而 已 亦 說 無 
T39n1789_002:0374b11	有生等。佛言無有生生已滅。如無明緣行等。	有 生 等 佛 言 無 有 生 生 已 滅 如 無明緣行 等 
T39n1789_002:0374b12	豈非佛說亦無因耶。世尊建立下。以雜亂難	豈 非 佛 說 亦 無 因 耶 世 尊 建 立 下 以 雜 亂 難 
T39n1789_002:0374b13	言。佛常說此有故彼有。則在一時非漸次而	言 佛 常 說 此 有 故 彼 有 則 在 一 時 非 漸 次 而 
T39n1789_002:0374b14	生。是非但並齊而已。亦且見外道之說勝也。	生 是 非 但 並 齊 而 已 亦 且 見 外 道 之 說 勝 也 
T39n1789_002:0374b15	外道之說因乃異因耳。佛說不同如觀因有	外 道 之 說 因 乃 異 因 耳 佛 說 不 同 如 觀 因 有 
T39n1789_002:0374b16	事等。既互相有則成雜亂。遂有展轉無窮之	事 等 既 互 相 有 則 成 雜 亂 遂 有 展 轉 無 窮 之 
T39n1789_002:0374b17	過。此皆大慧所難。	過 此 皆 大 慧 所 難 
T39n1789_002:0374b18	佛告大慧。我非無因說及因緣雜亂。說此有	佛 告 大 慧 我 非 無 因 說 及 因 緣 雜 亂 說 此 有 
T39n1789_002:0374b19	故彼有者。攝所攝非性。覺自心現量。大慧。	故 彼 有 者 攝 所 攝 非 性 覺 自心現量 大 慧 
T39n1789_002:0374b20	若攝所攝計著。不覺自心現量外境界性非	若 攝 所 攝 計 著 不 覺 自心現量 外 境 界 性 非 
T39n1789_002:0374b21	性。彼有如是過。非我說緣起。我常說言。因緣	性 彼 有 如 是 過 非 我 說 緣 起 我 常 說 言 因 緣 
T39n1789_002:0374b22	和合而生諸法。非無因生　答中先總破彼	和 合 而 生 諸 法 非 無 因 生 答 中 先 總 破 彼 
T39n1789_002:0374b23	難。次釋正意。言此有故彼有者。此即六根彼	難 次 釋 正 意 言 此 有 故 彼 有 者 此 即 六 根 彼 
T39n1789_002:0374b24	即六塵。謂根塵相由而起。攝所攝非性等者。	即 六 塵 謂 根 塵 相 由 而 起 攝 所 攝 非 性 等 者 
T39n1789_002:0374b25	謂了因緣生法唯心所現。無能取所取。非性	謂 了 因緣生法 唯 心 所 現 無 能取所取 非 性 
T39n1789_002:0374b26	謂離性執也。若攝所攝計著等者。入楞伽	謂 離 性 執 也 若 攝 所 攝 計 著 等 者 入 楞 伽 
T39n1789_002:0374b27	云。若不了諸法唯心所現。計有能取所取。	云 若 不 了 諸 法 唯 心 所 現 計 有 能取所取 
T39n1789_002:0374b28	執著外境。若有若無彼有是過。非我所說過	執 著 外 境 若有若無 彼 有 是 過 非 我 所 說 過 
T39n1789_002:0374b29	即雜亂也。彼即外道也。性非性即有無也。因	即 雜 亂 也 彼 即 外 道 也 性 非 性 即 有 無 也 因 
T39n1789_002:0374c01	緣和合而生者。正酬無因之問。豈同外道邪	緣 和 合 而 生 者 正 酬 無 因 之 問 豈 同 外 道 邪 
T39n1789_002:0374c02	無因也。	無 因 也 
T39n1789_002:0374c03	大慧復白佛言。世尊。非言說有性。有一切性	大 慧 復 白 佛 言 世 尊 非 言 說 有 性 有 一 切 性 
T39n1789_002:0374c04	耶。世尊。若無性者言說不生。是故言說有性。	耶 世 尊 若 無 性 者 言 說 不 生 是 故 言 說 有 性 
T39n1789_002:0374c05	有一切性　因上說因緣生法。遂疑言說有	有 一 切 性 因 上 說 因緣生法 遂 疑 言 說 有 
T39n1789_002:0374c06	性一切諸法亦有性耶。若諸法無性。則言從	性 一切諸法 亦 有 性 耶 若 諸 法 無 性 則 言 從 
T39n1789_002:0374c07	何起。遂結情云。言說有性有一切性。	何 起 遂 結 情 云 言 說 有 性 有 一 切 性 
T39n1789_002:0374c08	佛告大慧。無性而作言說謂兔角龜毛等。世	佛 告 大 慧 無 性 而 作 言 說 謂 兔 角 龜 毛 等 世 
T39n1789_002:0374c09	間現言說。大慧非性非非性。但言說耳。如汝	間 現 言 說 大 慧 非 性 非 非 性 但 言 說 耳 如 汝 
T39n1789_002:0374c10	所說。言說有性有一切性者。汝論則壞　佛	所 說 言 說 有 性 有 一 切 性 者 汝 論 則 壞 佛 
T39n1789_002:0374c11	答。以無性而有言說。謂因緣本無性。不妨以	答 以 無 性 而 有 言 說 謂 因 緣 本 無 性 不 妨 以 
T39n1789_002:0374c12	言說示之。豈必言說之為性耶。如世間現說	言 說 示 之 豈 必 言 說 之 為 性 耶 如 世 間 現 說 
T39n1789_002:0374c13	龜毛兔角石女兒。亦本無性而有言說。則非	龜 毛 兔 角 石 女 兒 亦 本 無 性 而 有 言 說 則 非 
T39n1789_002:0374c14	性非非性。言非性則非實。非非性則不妨有	性 非 非 性 言 非 性 則 非 實 非 非 性 則 不 妨 有 
T39n1789_002:0374c15	言說。故曰但言說耳。結斥云。汝論則壞者。謂	言 說 故 曰 但 言 說 耳 結 斥 云 汝 論 則 壞 者 謂 
T39n1789_002:0374c16	俱有性之說壞也。	俱 有 性 之 說 壞 也 
T39n1789_002:0374c17	大慧。非一切剎土有言說。言說者是作耳。或	大 慧 非 一 切 剎 土 有 言 說 言 說 者 是 作 耳 或 
T39n1789_002:0374c18	有佛剎瞻視顯法。或有作相或有揚眉或有	有 佛 剎 瞻 視 顯 法 或 有 作 相 或 有 揚 眉 或 有 
T39n1789_002:0374c19	動睛或笑或欠或謦欬或念剎土或動搖。大	動 睛 或 笑 或 欠 或 謦 欬 或 念 剎 土 或 動 搖 大 
T39n1789_002:0374c20	慧。如瞻視及香積世界普賢如來國土。但以	慧 如 瞻 視 及 香 積 世 界 普 賢 如 來 國 土 但 以 
T39n1789_002:0374c21	瞻視。令諸菩薩得無生法忍及諸勝三昧。是	瞻 視 令 諸 菩 薩 得無生法忍 及 諸 勝 三 昧 是 
T39n1789_002:0374c22	故非言說有性有一切性。大慧。見此世界蚊	故 非 言 說 有 性 有 一 切 性 大 慧 見 此 世 界 蚊 
T39n1789_002:0374c23	蚋蟲蟻。是等眾生無有言說。而各辦事　非	蚋 蟲 蟻 是 等 眾 生 無 有 言 說 而 各 辦 事 非 
T39n1789_002:0374c24	一切剎土等。正言未必皆言說也。而言說但	一 切 剎 土 等 正 言 未 必 皆 言 說 也 而 言 說 但 
T39n1789_002:0374c25	是隨緣施作。作而無作豈有性耶。或有佛土	是 隨 緣 施 作 作 而 無 作 豈 有 性 耶 或 有 佛 土 
T39n1789_002:0374c26	瞻視顯法等。此皆隨機化事不同。良以諸佛	瞻 視 顯 法 等 此 皆 隨 機 化 事 不 同 良 以 諸 佛 
T39n1789_002:0374c27	設化不專聲教。香味觸法無非經教。皆可顯	設 化 不 專 聲 教 香 味 觸 法 無 非 經 教 皆 可 顯 
T39n1789_002:0374c28	法入道。如禪家有拈槌竪拂揚眉瞬目以接	法 入 道 如 禪 家 有 拈 槌 竪 拂 揚 眉 瞬 目 以 接 
T39n1789_002:0374c29	人者。蓋亦出此。世但以言說為教者。一何局	人 者 蓋 亦 出 此 世 但 以 言 說 為 教 者 一 何 局 
T39n1789_002:0375a01	哉。如瞻視者即不瞬世界。前但通標此乃別	哉 如 瞻 視 者 即 不 瞬 世 界 前 但 通 標 此 乃 別 
T39n1789_002:0375a02	出。如香積世界以香為佛事。例餘塵設化可	出 如 香 積 世 界 以 香 為 佛 事 例 餘 塵 設 化 可 
T39n1789_002:0375a03	知。豈特聖人設化如此。至於有情微細物類。	知 豈 特 聖 人 設 化 如 此 至 於 有 情 微 細 物 類 
T39n1789_002:0375a04	亦有不假言說而能辦事者。故曰見此世界	亦 有 不 假 言 說 而 能 辦 事 者 故 曰 見 此 世 界 
T39n1789_002:0375a05	蚊蚋蟲蟻等也。	蚊 蚋 蟲 蟻 等 也 
T39n1789_002:0375a06	爾時世尊欲重宣此義而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_002:0375a07	　如虛空兔角　　及與槃大子	 如 虛 空 兔 角 及 與 槃 大 子 
T39n1789_002:0375a08	　無而有言說　　如是性妄想	 無 而 有 言 說 如 是 性 妄 想 
T39n1789_002:0375a09	　因緣和合法　　凡愚起妄想	 因緣和合 法 凡 愚 起 妄 想 
T39n1789_002:0375a10	　不能如實知　　輪迴三有宅	 不 能如實知 輪 迴 三 有 宅 
T39n1789_002:0375a11	言槃大子者。即石女兒也。與兔角等。皆	言 槃 大 子 者 即 石 女 兒 也 與 兔 角 等 皆 
T39n1789_002:0375a12	喻本無而有言說。亦猶法本無性而妄想云	喻 本 無 而 有 言 說 亦 猶 法 本 無 性 而 妄 想 云 
T39n1789_002:0375a13	性。故云如是性妄想。以例因緣和合法。凡愚	性 故 云 如 是 性 妄 想 以 例 因緣和合 法 凡 愚 
T39n1789_002:0375a14	妄想不能如實而知。故有輪迴三有之事也。	妄 想 不 能 如 實 而 知 故 有 輪 迴 三 有 之 事 也 
T39n1789_002:0375a15	爾時大慧菩薩摩訶薩。復白佛言。世尊。常聲	爾 時 大 慧 菩薩摩訶薩 復 白 佛 言 世 尊 常 聲 
T39n1789_002:0375a16	者何事說。佛告大慧。為惑亂。以彼惑亂諸聖	者 何 事 說 佛 告 大 慧 為 惑 亂 以 彼 惑 亂 諸 聖 
T39n1789_002:0375a17	亦現而非顛倒。大慧。如春時焰火輪垂髮揵	亦 現 而 非 顛 倒 大 慧 如 春 時 焰 火 輪 垂 髮 揵 
T39n1789_002:0375a18	闥婆城幻夢鏡像。世間顛倒非明智也。然非	闥 婆 城 幻 夢 鏡 像 世 間 顛 倒 非 明 智 也 然 非 
T39n1789_002:0375a19	不現。大慧。彼惑亂者有種種現。非惑亂作無	不 現 大 慧 彼 惑 亂 者 有 種 種 現 非 惑 亂 作 無 
T39n1789_002:0375a20	常。所以者何。謂離性非性故　常聲者。說常	常 所以者何 謂 離 性 非 性 故 常 聲 者 說 常 
T39n1789_002:0375a21	法也。問意謂如來說常。法依何事而說也。	法 也 問 意 謂 如 來 說 常 法 依 何 事 而 說 也 
T39n1789_002:0375a22	惑亂者無常也。佛意正謂無常說常。要達無	惑 亂 者 無 常 也 佛 意 正 謂 無 常 說 常 要 達 無 
T39n1789_002:0375a23	常即常。故言諸聖亦現者。謂惑亂無常生死	常 即 常 故 言 諸 聖 亦 現 者 謂 惑 亂 無 常 生 死 
T39n1789_002:0375a24	之法。非唯眾生實造。而諸佛果後權現示同	之 法 非 唯 眾 生 實 造 而 諸 佛 果 後 權 現 示 同 
T39n1789_002:0375a25	眾生。以了無常即常。不同凡夫。故曰非顛倒	眾 生 以 了 無 常 即 常 不 同 凡 夫 故 曰 非 顛 倒 
T39n1789_002:0375a26	也。如春時焰等七喻。正喻顛倒惑亂。凡夫在	也 如 春 時 焰 等 七 喻 正 喻 顛 倒 惑 亂 凡 夫 在 
T39n1789_002:0375a27	迷執無為有非常計常。是為顛倒。雖非明智	迷 執 無 為 有 非 常 計 常 是 為 顛 倒 雖 非 明 智 
T39n1789_002:0375a28	者之事。然亦非不現也。復告大慧云。彼惑亂	者 之 事 然 亦 非 不 現 也 復 告 大 慧 云 彼 惑 亂 
T39n1789_002:0375a29	等者。言彼妄法現時。雖有種種差別不同。然	等 者 言 彼 妄 法 現 時 雖 有 種種差別 不 同 然 
T39n1789_002:0375b01	非無常。良以諸法本離有無。一一即性。即性	非 無 常 良 以 諸 法 本 離 有 無 一 一 即 性 即 性 
T39n1789_002:0375b02	故常。離性非性。即離有無也。	故 常 離 性 非 性 即 離 有 無 也 
T39n1789_002:0375b03	大慧。云何離性非性。惑亂謂一切愚夫種種	大 慧 云 何 離 性 非 性 惑 亂 謂 一 切 愚 夫 種 種 
T39n1789_002:0375b04	境界故。如彼恒河餓鬼見不見故。無惑亂性。	境 界 故 如 彼 恒 河 餓 鬼 見 不 見 故 無 惑 亂 性 
T39n1789_002:0375b05	於餘現故非無性。如是惑亂。諸聖離顛倒不	於 餘 現 故 非 無 性 如 是 惑 亂 諸 聖 離 顛 倒 不 
T39n1789_002:0375b06	顛倒。是故惑亂常。謂相相不壞故。大慧。非惑	顛 倒 是 故 惑 亂 常 謂 相 相 不 壞 故 大 慧 非 惑 
T39n1789_002:0375b07	亂種種相妄想相壞。是故惑亂常　云何下。	亂 種 種 相 妄 想 相 壞 是 故 惑 亂 常 云 何 下 
T39n1789_002:0375b08	謂惑亂之法。聖人見之其性本常。而必曰離	謂 惑 亂 之 法 聖 人 見 之 其 性 本 常 而 必 曰 離 
T39n1789_002:0375b09	性非性者。何以未能了達即是愚夫境界故	性 非 性 者 何 以 未 能 了 達 即 是 愚 夫 境 界 故 
T39n1789_002:0375b10	也。如彼恒河等者。承上愚夫所見。舉以為喻。	也 如 彼 恒 河 等 者 承 上 愚 夫 所 見 舉 以 為 喻 
T39n1789_002:0375b11	餓鬼雖近恒河。而不見水。以其見水是火。故	餓 鬼 雖 近 恒 河 而 不 見 水 以 其 見 水 是 火 故 
T39n1789_002:0375b12	云見不見也。見雖有異。而彼恒河體常自若。	云 見 不 見 也 見 雖 有 異 而 彼 恒 河 體 常 自 若 
T39n1789_002:0375b13	無惑亂性者。謂不以見故為有。不以不見故	無 惑 亂 性 者 謂 不 以 見 故 為 有 不 以 不 見 故 
T39n1789_002:0375b14	為無。自其見者言之。非無恒河。故曰於餘現	為 無 自 其 見 者 言 之 非 無 恒 河 故 曰 於 餘 現 
T39n1789_002:0375b15	故非無性也。如是惑亂等。正釋惑亂常義。謂	故 非 無 性 也 如 是 惑 亂 等 正 釋 惑 亂 常 義 謂 
T39n1789_002:0375b16	諸聖以離倒不倒見故。即彼惑亂體是常住。	諸 聖 以 離 倒 不 倒 見 故 即 彼 惑 亂 體 是 常 住 
T39n1789_002:0375b17	以其法法不壞故也。又言非惑亂者。謂非諸	以 其 法 法 不 壞 故 也 又 言 非 惑 亂 者 謂 非 諸 
T39n1789_002:0375b18	妄法自有種種差別之相。以愚夫妄想分別。	妄 法 自 有 種種差別 之 相 以 愚 夫 妄想分別 
T39n1789_002:0375b19	見有異相。若離分別妄法即常。故曰惑亂常	見 有 異 相 若 離 分 別 妄 法 即 常 故 曰 惑 亂 常 
T39n1789_002:0375b20	也。	也 
T39n1789_002:0375b21	大慧。云何惑亂真實。若復因緣諸聖於此惑	大 慧 云 何 惑 亂 真 實 若 復 因 緣 諸 聖 於 此 惑 
T39n1789_002:0375b22	亂不起顛倒覺。非不顛倒覺。大慧。除諸聖於	亂 不 起 顛 倒 覺 非 不 顛 倒 覺 大 慧 除 諸 聖 於 
T39n1789_002:0375b23	此惑亂有少分想。非聖智事相。大慧。凡有者。	此 惑 亂 有 少 分 想 非 聖 智 事 相 大 慧 凡 有 者 
T39n1789_002:0375b24	愚夫妄說非聖言說　入楞伽云。云何而得	愚 夫 妄 說 非 聖 言 說 入 楞 伽 云 云 何 而 得 
T39n1789_002:0375b25	妄法真實謂諸聖者。於妄法中不起顛倒非	妄 法 真 實 謂 諸 聖 者 於 妄 法 中 不 起 顛 倒 非 
T39n1789_002:0375b26	顛倒覺。若於妄法有少分想。則非聖智。有少	顛 倒 覺 若 於 妄 法 有 少 分 想 則 非 聖 智 有 少 
T39n1789_002:0375b27	想者。當知則是愚夫戲論非聖言說。	想 者 當 知 則 是 愚 夫 戲 論 非 聖 言 說 
T39n1789_002:0375b28	彼惑亂者。倒不倒妄想。起二種種性。謂聖種	彼 惑 亂 者 倒 不 倒 妄 想 起 二 種 種 性 謂 聖 種 
T39n1789_002:0375b29	性及愚夫種性。聖種性者三種分別。謂聲聞	性 及 愚 夫 種 性 聖 種 性 者 三 種 分 別 謂 聲 聞 
T39n1789_002:0375c01	乘緣覺乘佛乘。云何愚夫妄想。起聲聞乘種	乘 緣 覺 乘 佛 乘 云 何 愚 夫 妄 想 起 聲 聞 乘 種 
T39n1789_002:0375c02	性。謂自共相計著。起聲聞乘種性。是名妄想	性 謂 自 共 相 計 著 起 聲聞乘種性 是 名 妄 想 
T39n1789_002:0375c03	起聲聞乘種性。大慧。即彼惑亂妄想。起緣覺	起 聲聞乘種性 大 慧 即 彼 惑 亂 妄 想 起 緣 覺 
T39n1789_002:0375c04	乘種性。謂即彼惑亂自共相。不親計著。起緣	乘 種 性 謂 即 彼 惑 亂 自 共 相 不 親 計 著 起 緣 
T39n1789_002:0375c05	覺乘種性。云何智者。即彼惑亂起佛乘種性。	覺 乘 種 性 云 何 智 者 即 彼 惑 亂 起 佛 乘 種 性 
T39n1789_002:0375c06	謂覺自心現量外性非性不妄想相。起佛乘	謂 覺 自心現量 外 性 非 性 不 妄 想 相 起 佛 乘 
T39n1789_002:0375c07	種性。是名即彼惑亂起佛乘種性　言彼惑	種 性 是 名 即 彼 惑 亂 起 佛 乘 種 性 言 彼 惑 
T39n1789_002:0375c08	亂者。謂分別妄法是倒非倒。則成二種種性。	亂 者 謂 分 別 妄 法 是 倒 非 倒 則 成 二 種 種 性 
T39n1789_002:0375c09	非倒是聖倒即愚夫。先出聖種性復有三種。	非 倒 是 聖 倒 即 愚 夫 先 出 聖 種 性 復 有 三 種 
T39n1789_002:0375c10	謂聲聞緣覺佛乘。初聲聞乘中。言愚夫妄想	謂 聲 聞 緣 覺 佛 乘 初 聲 聞 乘 中 言 愚 夫 妄 想 
T39n1789_002:0375c11	起者。謂愚夫於五陰自相共相。照了空寂而	起 者 謂 愚 夫 於 五 陰 自相共相 照 了 空 寂 而 
T39n1789_002:0375c12	生厭離。乃成聲聞種性。緣覺亦云自共相者。	生 厭 離 乃 成 聲聞種性 緣 覺 亦 云 自 共 相 者 
T39n1789_002:0375c13	離執義同。但樂修遠離故云不親。是為緣覺	離 執 義 同 但 樂 修 遠 離 故 云 不 親 是 為 緣 覺 
T39n1789_002:0375c14	種性。佛種性中。特言智者異二乘。故覺自心	種 性 佛 種 性 中 特 言 智 者 異 二 乘 故 覺 自 心 
T39n1789_002:0375c15	現量。等義見前釋。是為佛乘種性。	現 量 等 義 見 前 釋 是 為 佛 乘 種 性 
