X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_001:0740a20	密。千了百當。自然禪宗獨勝。淨土則拖泥帶水。似乎	密 千 了 百 當 自 然 禪 宗 獨 勝 淨 土 則 拖 泥 帶 水 似 乎 
X62n1205_001:0740a21	專接鈍根。不知此拖泥帶水。(近來禪客堅執門戶。見從上祖師語錄中拖泥	專 接 鈍 根 不 知 此 拖 泥 帶 水 近 來 禪 客 堅 執 門 戶 見 從 上 祖 師 語 錄 中 拖 泥 
X62n1205_001:0740a22	帶水處。偏能穿鑿解會。不知我釋迦一生所說種種法門。無非拖泥帶水。而淨土為尤甚。若能從淨土中薦取	帶 水 處 偏 能 穿 鑿 解 會 不 知 我 釋 迦 一 生 所 說 種種法門 無 非 拖 泥 帶 水 而 淨 土 為 尤 甚 若 能 從 淨 土 中 薦 取 
X62n1205_001:0740a23	得。管教掀翻禪榻矣)正是將彼所謂兩面回途。三關進步。一齊	得 管 教 掀 翻 禪 榻 矣 正 是 將 彼 所 謂 兩 面 回 途 三 關 進 步 一 齊 
X62n1205_001:0740a24	越過。(設有禪客不肯云。敢問如何是初關。答曰。南無阿彌陀佛。如何是重關。答曰。南無阿彌陀佛。如	越 過 設 有 禪 客 不 肯 云 敢 問 如 何 是 初 關 答 曰 南 無 阿 彌 陀 佛 如 何 是 重 關 答 曰 南 無 阿 彌 陀 佛 如 
X62n1205_001:0740b01	何是透三關句。答曰。南無阿彌陀佛。還有末後牢關聻。答曰。逢人但與麼舉)惟上根方能	何 是 透 三 關 句 答 曰 南 無 阿 彌 陀 佛 還 有 末 後 牢 關 聻 答 曰 逢 人 但 與 麼 舉 惟 上 根 方 能 
X62n1205_001:0740b02	信入。(從上禪門宗匠。永明而下諸大老。最後皆歸心淨土。從可知矣)即中下亦自入	信 入 從 上 禪 門 宗 匠 永 明 而 下 諸 大 老 最 後 皆 歸 心 淨 土 從 可 知 矣 即 中 下 亦 自 入 
X62n1205_001:0740b03	[囗@玄]中(不知信受此說除是木人名腸)。是以不立悟門。更無悟門也。不尚參究。無可再	[囗玄] 中 不 知 信 受 此 說 除 是 木 人 名 腸 是 以 不 立 悟 門 更 無 悟 門 也 不 尚 參 究 無 可 再 
X62n1205_001:0740b04	參也。三性中不落無記。(近人不識無記性徃往誤當心空故辨之)有念攝	參 也 三 性 中 不 落 無 記 近 人 不 識 無 記 性 徃 往 誤 當 心 空 故 辨 之 有 念 攝 
X62n1205_001:0740b05	持也。得手後不墮死水。當念活潑也。惟然故聞名皆	持 也 得 手 後 不 墮 死 水 當 念 活 潑 也 惟 然 故 聞 名 皆 
X62n1205_001:0740b06	得不退。凡夫例登補處。蕅益所謂上善一處。是生同	得 不 退 凡 夫 例 登 補 處 蕅 益 所 謂 上 善 一 處 是 生 同 
X62n1205_001:0740b07	居。即已橫生上三土。一生補佛。是位不退。即已圓證	居 即 已 橫 生 上 三 土 一 生 補 佛 是 位 不 退 即 已 圓 證 
X62n1205_001:0740b08	三不退。較彼頓悟正因。僅為出塵階漸。生生不退。始	三 不 退 較 彼 頓 悟 正 因 僅 為 出 塵 階 漸 生 生 不 退 始 
X62n1205_001:0740b09	可期於佛階者。不可同日語矣。故知此法門包盡宗	可 期 於 佛 階 者 不 可 同 日 語 矣 故 知 此 法 門 包 盡 宗 
X62n1205_001:0740b10	教。為教內別傳。大集經云。若人但念阿彌陀。是為無	教 為 教 內 別 傳 大 集 經 云 若 人 但 念 阿 彌 陀 是 為 無 
X62n1205_001:0740b11	上深妙禪。(近人但著眼此禪字。便謂禪即淨。淨即禪。不知上句特下但念二字。下句特下是為	上 深 妙 禪 近 人 但 著 眼 此 禪 字 便 謂 禪 即 淨 淨 即 禪 不 知 上 句 特 下 但 念 二 字 下 句 特 下 是 為 
X62n1205_001:0740b12	無上深妙六字。經意分明以淨攝禪。可見不念阿彌陀。不妨是禪。而不為無上深妙禪。曷審思之)至	無 上 深 妙 六 字 經 意 分 明 以 淨 攝 禪 可 見 不 念 阿 彌 陀 不 妨 是 禪 而 不 為 無 上 深 妙 禪 曷 審 思 之 至 
X62n1205_001:0740b13	心想像見佛時。即是不生不滅法。正謂此也。其證六。	心 想 像 見 佛 時 即 是 不生不滅 法 正 謂 此 也 其 證 六 
X62n1205_001:0740b14	(此條宗家閱之。不妨不肯。姑舉一重公案。與諸方商量。香〔巖〕頌云。去年貧未是貧。今年貧始是貧。去年貧無立	 此 條 宗 家 閱 之 不 妨 不 肯 姑 舉 一 重 公 案 與 諸 方 商 量 香 巖 頌 云 去 年 貧 未 是 貧 今 年 貧 始 是 貧 去 年 貧 無 立 
X62n1205_001:0740b15	錐之地。今年貧錐也無。仰山道。如來禪許汝會。祖師禪未夢見在。香〔巖〕復云。我有一機。瞬目視伊。若還不會。別	錐 之 地 今 年 貧 錐 也 無 仰 山 道 如 來 禪 許 汝 會 祖 師 禪 未 夢 見 在 香 巖 復 云 我 有 一 機 瞬 目 視 伊 若 還 不 會 別 
X62n1205_001:0740b16	喚沙彌。仰山大喜云。且喜汝會得祖師禪。遂報溈山證明之。近人多謂香〔巖〕前說。正是祖師禪。後說正是如來	喚 沙 彌 仰 山 大 喜 云 且 喜 汝 會 得 祖 師 禪 遂 報 溈 山 證 明 之 近 人 多 謂 香 巖 前 說 正 是 祖 師 禪 後 說 正 是 如 來 
X62n1205_001:0740b17	禪。而仰山偏顛倒說。溈仰家風。大都如此。余謂如此判煞。正好被兩公將黑豆換卻眼睛。且道應如何判。若道	禪 而 仰 山 偏 顛 倒 說 溈 仰 家 風 大 都 如 此 余 謂 如 此 判 煞 正 好 被 兩 公 將 黑 豆 換 卻 眼 睛 且 道 應 如 何 判 若 道 
X62n1205_001:0740b18	作家居士。宛爾不同。又正好被我俗漢將黑豆換卻眼睛。畢竟應如何判。莫是道合取狗口。莫是默然良久。莫	作 家 居 士 宛 爾 不 同 又 正 好 被 我 俗 漢 將 黑 豆 換 卻 眼 睛 畢 竟 應 如 何 判 莫 是 道 合 取 狗 口 莫 是 默 然 良 久 莫 
X62n1205_001:0740b19	是打一圓相。喝一喝掩耳便走。拂袖便行。攔腮與掌。擘胸進拳。饒你將從上老古錐所有一絡索。傾情搬盡。又	是 打 一 圓 相 喝 一 喝 掩 耳 便 走 拂 袖 便 行 攔 腮 與 掌 擘 胸 進 拳 饒 你 將 從 上 老 古 錐 所 有 一 絡 索 傾 情 搬 盡 又 
X62n1205_001:0740b20	正好自家將黑豆換卻眼睛。畢竟應如何判)有此六證。行者自可深入法	正 好 自 家 將 黑 豆 換 卻 眼 睛 畢 竟 應 如 何 判 有 此 六 證 行 者 自 可 深 入 法 
X62n1205_001:0740b21	門。不為他歧所惑矣。然其中猶有千古淆譌公案。不	門 不 為 他 歧 所 惑 矣 然 其 中 猶 有 千 古 淆 譌 公 案 不 
X62n1205_001:0740b22	得不明辨者。唯心淨土。自性彌陀二語。古人原恐學	得 不 明 辨 者 唯 心 淨 土 自 性 彌 陀 二 語 古 人 原 恐 學 
X62n1205_001:0740b23	者高推聖境。不敢承當。特為親切言之。以見人人有	者 高 推 聖 境 不 敢 承 當 特 為 親 切 言 之 以 見 人 人 有 
X62n1205_001:0740b24	分。乃後人又因此誤解。以為但淨其心。極樂不離當	分 乃 後 人 又 因 此 誤 解 以 為 但 淨 其 心 極 樂 不 離 當 
X62n1205_001:0740c01	下。但了此性。彌陀原非別人。說土說佛。純是寓言。則	下 但 了 此 性 彌 陀 原 非 別 人 說 土 說 佛 純 是 寓 言 則 
X62n1205_001:0740c02	毫釐之差。天地懸隔。於是蓮池蕅益諸大老。又痛辨	毫 釐 之 差 天 地 懸 隔 於 是 蓮 池 蕅 益 諸 大 老 又 痛 辨 
X62n1205_001:0740c03	之。謂淨土乃唯心之淨土。實有可到之地。彌陀乃自	之 謂 淨 土 乃 唯 心 之 淨 土 實 有 可 到 之 地 彌 陀 乃 自 
X62n1205_001:0740c04	性之彌陀。實有可見之人。斯亦苦心分明之極矣。而	性 之 彌 陀 實 有 可 見 之 人 斯 亦 苦 心 分 明 之 極 矣 而 
X62n1205_001:0740c05	至今學者。猶儱侗顢頇。齩嚼不爛。推原其故。總由離	至 今 學 者 猶 儱 侗 顢 頇 齩 嚼 不 爛 推 原 其 故 總 由 離 
X62n1205_001:0740c06	句絕非。種種元妙理解。結習難忘。不覺微涉恒真淨	句 絕 非 種 種 元 妙 理 解 結 習 難 忘 不 覺 微 涉 恒 真 淨 
X62n1205_001:0740c07	土化現淨土兩門。時露楮墨。致令讀者借此躲跟。不	土 化 現 淨 土 兩 門 時 露 楮 墨 致 令 讀 者 借 此 躲 跟 不 
X62n1205_001:0740c08	知實際理地。圓融行布。原不相妨。而法門則判然不	知 實 際 理 地 圓 融 行 布 原 不 相 妨 而 法 門 則 判 然 不 
X62n1205_001:0740c09	容混濫也。今不得已甘招口業。將此二語。破句讀作	容 混 濫 也 今 不 得 已 甘 招 口 業 將 此 二 語 破 句 讀 作 
X62n1205_001:0740c10	何為唯心。則淨土是。何為自性。則彌陀是。所以然者。	何 為 唯 心 則 淨 土 是 何 為 自 性 則 彌 陀 是 所 以 然 者 
X62n1205_001:0740c11	不到淨土。焉證唯心。現在妄想。不名心也。不見彌陀。	不 到 淨 土 焉 證 唯 心 現 在 妄 想 不 名 心 也 不 見 彌 陀 
X62n1205_001:0740c12	安了自性。現在業識。不名性也。夫所以反覆詳辨唯	安 了 自 性 現 在 業 識 不 名 性 也 夫 所 以 反 覆 詳 辨 唯 
X62n1205_001:0740c13	心自性者。為欲使人依經所說。深知彼土之他佛。即	心 自 性 者 為 欲 使 人 依 經 所 說 深 知 彼 土 之 他 佛 即 
X62n1205_001:0740c14	是自佛。彼土有相之他佛。即是自性無相之實相佛。	是 自 佛 彼 土 有 相 之 他 佛 即 是 自 性 無 相 之 實 相 佛 
X62n1205_001:0740c15	而不礙有他也。今又以為既是自佛實相佛。便念自	而 不 礙 有 他 也 今 又 以 為 既 是 自 佛 實 相 佛 便 念 自 
X62n1205_001:0740c16	佛實相佛。則始終是他見未忘。他見未忘。則始終是	佛 實 相 佛 則 始 終 是 他 見 未 忘 他 見 未 忘 則 始 終 是 
X62n1205_001:0740c17	我執不化。念念之間。盡成大小鐵圍山。重重障礙。西	我 執 不 化 念 念 之 間 盡 成 大 小 鐵 圍 山 重 重 障 礙 西 
X62n1205_001:0740c18	方極樂。去此十萬億剎之程途未為遠在。且必回他	方 極 樂 去 此 十 萬 億 剎 之 程 途 未 為 遠 在 且 必 回 他 
X62n1205_001:0740c19	作自。而後可以證心了性。則能念所念之阿彌陀佛	作 自 而 後 可 以 證 心 了 性 則 能 念 所 念 之 阿 彌 陀 佛 
X62n1205_001:0740c20	四字。畢竟與唯心自性四字。名相不同。何不直念唯	四 字 畢 竟 與 唯 心 自 性 四 字 名 相 不 同 何 不 直 念 唯 
X62n1205_001:0740c21	心自性四字之為徑捷。而復多此之遶耶。是故此宗	心 自 性 四 字 之 為 徑 捷 而 復 多 此 之 遶 耶 是 故 此 宗 
X62n1205_001:0740c22	專念他佛。稍涉意見。便成大法魔殃。戒之戒之。	專 念 他 佛 稍 涉 意 見 便 成 大 法 魔 殃 戒 之 戒 之 
X62n1205_001:0740c23	無量壽經綱宗	無 量 壽 經 綱 宗 
X62n1205_001:0740c24	出世無法。即世法中。修證圓滿。不見有法。名曰出世。	出 世 無 法 即 世 法 中 修 證 圓 滿 不 見 有 法 名 曰 出 世 
X62n1205_001:0741a01	以自心性本無出入。稱出入者。分別凡聖。但換其名。	以 自 心 性 本 無 出 入 稱 出 入 者 分 別 凡 聖 但 換 其 名 
X62n1205_001:0741a02	不換其體。此乃佛說一切經中第一真實圓頓了義。	不 換 其 體 此 乃 佛 說 一 切 經 中 第 一 真 實 圓 頓 了 義 
X62n1205_001:0741a03	不如是說。即皆魔說。諸經法門。廣談性相。不壞世諦。	不 如 是 說 即 皆 魔 說 諸 經 法 門 廣 談 性 相 不 壞 世 諦 
X62n1205_001:0741a04	密說此也。淨土法門。無量壽經。專談世諦。包羅性相。	密 說 此 也 淨 土 法 門 無 量 壽 經 專 談 世 諦 包 羅 性 相 
X62n1205_001:0741a05	顯說此也。約而舉之。有六要門。其第一者。世間人民。	顯 說 此 也 約 而 舉 之 有 六 要 門 其 第 一 者 世 間 人 民 
X62n1205_001:0741a06	(四字本經節節特提)五倫為本。因欲所蔽。都無義理。不成法度。	 四 字 本 經 節 節 特 提 五 倫 為 本 因 欲 所 蔽 都 無 義 理 不 成 法 度 
X62n1205_001:0741a07	臣欺其君。子欺其父。兄弟夫婦。中外知識。更相欺誑。	臣 欺 其 君 子 欺 其 父 兄 弟 夫 婦 中 外 知 識 更 相 欺 誑 
X62n1205_001:0741a08	(七句經文)是故當經。苦心誨喻。教令修善。(二句經文)反覆開示。	 七 句 經 文 是 故 當 經 苦 心 誨 喻 教 令 修 善 二 句 經 文 反 覆 開 示 
X62n1205_001:0741a09	二千餘言。歸重人倫。處處特提。再三不倦。且復懸記	二 千 餘 言 歸 重 人 倫 處 處 特 提 再 三 不 倦 且 復 懸 記 
X62n1205_001:0741a10	當來經滅。惟此獨留。化度無盡。是則人道一日不壞。	當 來 經 滅 惟 此 獨 留 化 度 無 盡 是 則 人 道 一 日 不 壞 
X62n1205_001:0741a11	此經典亦一日不壞。我佛如來出世因緣。設教本末。	此 經 典 亦 一 日 不 壞 我 佛 如 來 出 世 因 緣 設 教 本 末 
X62n1205_001:0741a12	昭若日星。苟有心胸。應同信受。其第二者。世間人民。	昭 若 日 星 苟 有 心 胸 應 同 信 受 其 第 二 者 世 間 人 民 
X62n1205_001:0741a13	幽明共理。明有國法。幽有天神。因欲所蔽。無禮無義。	幽 明 共 理 明 有 國 法 幽 有 天 神 因 欲 所 蔽 無 禮 無 義 
X62n1205_001:0741a14	無所顧難。王法牢獄。不肯畏慎。不畏天地。神明日月。	無 所 顧 難 王 法 牢 獄 不 肯 畏 慎 不 畏 天 地 神 明 日 月 
X62n1205_001:0741a15	自用偃蹇。謂可常爾。(八句經文)是故當經。開陳報應。神道	自 用 偃 蹇 謂 可 常 爾 八 句 經 文 是 故 當 經 開 陳 報 應 神 道 
X62n1205_001:0741a16	設教。摹寫情狀。前後重疊。累數百言。令知儆戒。其第	設 教 摹 寫 情 狀 前 後 重 疊 累 數 百 言 令 知 儆 戒 其 第 
X62n1205_001:0741a17	三者。世間之民。治生為急。因欲所蔽。徙倚懈惰。不肯	三 者 世 間 之 民 治 生 為 急 因 欲 所 蔽 徙 倚 懈 惰 不 肯 
X62n1205_001:0741a18	作善。治身修業。家室眷屬。飢寒困苦。躭酒嗜美。飲食	作 善 治 身 修 業 家 室 眷 屬 飢 寒 困 苦 躭 酒 嗜 美 飲 食 
X62n1205_001:0741a19	無度。肆心蕩逸。魯扈抵突。無尊無卑。無貧無富。少長	無 度 肆 心 蕩 逸 魯 扈 抵 突 無 尊 無 卑 無 貧 無 富 少 長 
X62n1205_001:0741a20	男女。共憂錢財。(十三句經文)是故當經。殷重特提。父子兄	男 女 共 憂 錢 財 十 三 句 經 文 是 故 當 經 殷 重 特 提 父 子 兄 
X62n1205_001:0741a21	弟。夫婦家室。中外親屬。當相敬愛。無相憎嫉。有無相	弟 夫 婦 家 室 中 外 親 屬 當 相 敬 愛 無 相 憎 嫉 有 無 相 
X62n1205_001:0741a22	通。無得貪惜。(六句經文)為說報應。警其游惰。化其吝私。令	通 無 得 貪 惜 六 句 經 文 為 說 報 應 警 其 游 惰 化 其 吝 私 令 
X62n1205_001:0741a23	安生理。其第四者。世間人民。生死死生。本是常理。因	安 生 理 其 第 四 者 世 間 人 民 生 死 死 生 本 是 常 理 因 
X62n1205_001:0741a24	欲所蔽。戀著形壽。昧自心性。本無生死。蒙冥抵突。不	欲 所 蔽 戀 著 形 壽 昧 自 心 性 本 無 生 死 蒙 冥 抵 突 不 
X62n1205_001:0741b01	信經法。(二句經文)生大邪見。作諸魔業。或撥因果。棄有覓	信 經 法 二 句 經 文 生 大 邪 見 作 諸 魔 業 或 撥 因 果 棄 有 覓 
X62n1205_001:0741b02	空。或弄識神。認賊為子。或修仙業。長生久視。或習邪	空 或 弄 識 神 認 賊 為 子 或 修 仙 業 長 生 久 視 或 習 邪 
X62n1205_001:0741b03	定。空散消沈。是故當經。開示五趣。決正生死。泥洹之	定 空 散 消 沈 是 故 當 經 開 示 五 趣 決 正 生 死 泥 洹 之 
X62n1205_001:0741b04	道。(三句經文)節節唱言。自然三塗。無量苦惱。展轉其中。世	道 三 句 經 文 節 節 唱 言 自 然 三 塗 無 量 苦 惱 展 轉 其 中 世 
X62n1205_001:0741b05	世累劫。無有出期。難得解脫。痛不可言。令捨五惡。令	世 累 劫 無 有 出 期 難 得 解 脫 痛 不 可 言 令 捨 五 惡 令 
X62n1205_001:0741b06	持五善。(九句經文)專談世諦。具如上陳。重重誨勉。三輩往	持 五 善 九 句 經 文 專 談 世 諦 具 如 上 陳 重 重 誨 勉 三 輩 往 
X62n1205_001:0741b07	生。皆言臨終。佛來接引。觀經小本。亦同此說。不許現	生 皆 言 臨 終 佛 來 接 引 觀 經 小 本 亦 同 此 說 不 許 現 
X62n1205_001:0741b08	生。空談妙悟。又復唱言。善人行善。從樂入樂。從明入	生 空 談 妙 悟 又 復 唱 言 善 人 行 善 從 樂 入 樂 從 明 入 
X62n1205_001:0741b09	明。惡人行惡。從苦入苦。從冥入冥。(六句經文)不諱生死。斷	明 惡 人 行 惡 從 苦 入 苦 從冥入冥 六 句 經 文 不 諱 生 死 斷 
X62n1205_001:0741b10	諸疑網。其第五者。世間人民。如上種種。既因欲故。作	諸 疑 網 其 第 五 者 世 間 人 民 如 上 種 種 既 因 欲 故 作 
X62n1205_001:0741b11	諸罪本。窮欲之原。即是佛性。全真起妄。不可斷除。攝	諸 罪 本 窮 欲 之 原 即 是 佛 性 全 真 起 妄 不 可 斷 除 攝 
X62n1205_001:0741b12	妄歸真。還從欲入。是故當經。阿彌陀佛。開大願門。隨	妄 歸 真 還 從 欲 入 是 故 當 經 阿 彌 陀 佛 開 大 願 門 隨 
