X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_002:0925c17	遷則常也。涅槃云。若筭數法。初一不滅乃有百千。以	遷 則 常 也 涅 槃 云 若 筭 數 法 初 一 不 滅 乃 有 百 千 以 
X54n0879_002:0925c18	是義故。諸法是常。此外道常見也。肇公亦立初簣不	是 義 故 諸 法 是 常 此 外 道 常 見 也 肇 公 亦 立 初 簣 不 
X54n0879_002:0925c19	滅乃有高山。初步不滅乃有千里。與外道所計會不	滅 乃 有 高 山 初 步 不 滅 乃 有 千 里 與 外 道 所 計 會 不 
X54n0879_002:0925c20	少異。雲棲既主張性住。胡不為其出理。如何得內不	少 異 雲 棲 既 主 張 性 住 胡 不 為 其 出 理 如 何 得 內 不 
X54n0879_002:0925c21	違于聖教。外不濫于邪宗乎。且性住之談既合佛意。	違 于 聖 教 外 不 濫 于 邪 宗 乎 且 性 住 之 談 既 合 佛 意 
X54n0879_002:0925c22	則三藏聖教豈無片言隻語為之證乎。既無聖言可	則 三 藏 聖 教 豈 無 片 言 隻 語 為 之 證 乎 既 無 聖 言 可 
X54n0879_002:0925c23	證。而徒以宗本之是而是不遷之非。謂之本末一貫	證 而 徒 以 宗 本 之 是 而 是 不 遷 之 非 謂 之 本 末 一 貫 
X54n0879_002:0925c24	者。若然。則亦可以堯之聖而聖丹朱。太玄之善而善	者 若 然 則 亦 可 以 堯 之 聖 而 聖 丹 朱 太 玄 之 善 而 善 
X54n0879_002:0926a01	美新乎。若可以彼是而是此非。則亦可以此非而非	美 新 乎 若 可 以 彼 是 而 是 此 非 則 亦 可 以 此 非 而 非 
X54n0879_002:0926a02	彼是也。余固謂以三論之通而通不遷者不可也。以	彼 是 也 余 固 謂 以 三 論 之 通 而 通 不 遷 者 不 可 也 以 
X54n0879_002:0926a03	不遷之塞而塞三論者亦不可也。其曰就路還家巧	不 遷 之 塞 而 塞 三 論 者 亦 不 可 也 其 曰 就 路 還 家 巧 
X54n0879_002:0926a04	心妙手等語。徒誇其妙。未見其所以妙也。若世人執	心 妙 手 等 語 徒 誇 其 妙 未 見 其 所 以 妙 也 若 世 人 執 
X54n0879_002:0926a05	今昔之物遷變無常。無常故無性。無性故空。而觀之	今 昔 之 物 遷 變 無 常 無 常 故 無 性 無 性 故 空 而 觀 之 
X54n0879_002:0926a06	者可以厭生死趣涅槃。故經云。諸行無常。是生滅法。	者 可 以 厭 生 死 趣 涅 槃 故 經 云 諸行無常 是 生 滅 法 
X54n0879_002:0926a07	生滅滅已。寂滅為樂。雪山大士歎前二句曰。此是大	生 滅 滅 已 寂 滅 為 樂 雪 山 大 士 歎 前 二 句 曰 此 是 大 
X54n0879_002:0926a08	乘空義。半如意珠也。是則世人之今昔無常遷變之	乘 空 義 半 如 意 珠 也 是 則 世 人 之 今 昔 無 常 遷 變 之 
X54n0879_002:0926a09	說。於教有證。於理有通。於人有益。而肇公反之曰。昔	說 於 教 有 證 於 理 有 通 於 人 有 益 而 肇 公 反 之 曰 昔 
X54n0879_002:0926a10	物不滅。今物不動。各住一世。未委此說。於教何據。於	物 不 滅 今 物 不 動 各 住 一 世 未 委 此 說 於 教 何 據 於 
X54n0879_002:0926a11	理何優。於人何益。三者既無。而欲反彼成此。豈非以	理 何 優 於 人 何 益 三 者 既 無 而 欲 反 彼 成 此 豈 非 以 
X54n0879_002:0926a12	似亂真。抱鍮而棄金乎。巧心妙手固如是耶。或曰大	似 亂 真 抱 鍮 而 棄 金 乎 巧 心 妙 手 固 如 是 耶 或 曰 大 
X54n0879_002:0926a13	凡看先哲語言。當於有過中求無過。不可於無過中	凡 看 先 哲 語 言 當 於 有 過 中 求 無 過 不 可 於 無 過 中 
X54n0879_002:0926a14	求有過。不遷雖有少差。當求通可也。安得以異見而	求 有 過 不 遷 雖 有 少 差 當 求 通 可 也 安 得 以 異 見 而 
X54n0879_002:0926a15	破之耶。曰。余於是論。欲求其通也久矣。而卒不能得。	破 之 耶 曰 余 於 是 論 欲 求 其 通 也 久 矣 而 卒 不 能 得 
X54n0879_002:0926a16	遂為之駁。所以駁者。憂夫後之學者執似而迷真也。	遂 為 之 駁 所 以 駁 者 憂 夫 後 之 學 者 執 似 而 迷 真 也 
X54n0879_002:0926a17	彼高明之士尚惑其言以為必當。況其他哉。使一代	彼 高 明 之 士 尚 惑 其 言 以 為 必 當 況 其 他 哉 使 一 代 
X54n0879_002:0926a18	聖教實相常住不遷之旨淪于不化因論。以肇師之	聖 教 實 相 常 住 不 遷 之 旨 淪 于 不 化 因 論 以 肇 師 之 
X54n0879_002:0926a19	明。於此甘自肯乎。又安知今為此駁者。非肇公之所	明 於 此 甘 自 肯 乎 又 安 知 今 為 此 駁 者 非 肇 公 之 所 
X54n0879_002:0926a20	使耶。	使 耶 
X54n0879_002:0926a22	物不遷正量論卷下	物 不 遷 正 量 論 卷 下 
