X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0331a41	二群山高低喻(又如)	二 群 山 高 低 喻 又 如 
X32n0618_001:0331a42	三星月交光喻(又如)	三 星 月 交 光 喻 又 如 
X32n0618_001:0331a43	四日光破暗喻(又如)	四 日 光 破 暗 喻 又 如 
X32n0618_001:0331a44	五王位尊卑喻(又如)	五 王 位 尊 卑 喻 又 如 
X32n0618_001:0331a45	六天王優劣喻(又如)	六 天 王 優 劣 喻 又 如 
X32n0618_001:0331a46	七凡聖為父喻(又如)	七 凡 聖 為 父 喻 又 如 
X32n0618_001:0331a47	八約聖顯說喻(又如)	八 約 聖 顯 說 喻 又 如 
X32n0618_001:0331a48	九法妙人尊喻(有能)	九 法 妙 人 尊 喻 有 能 
X32n0618_001:0332a01	十乘分大小喻(一切)	十 乘 分 大 小 喻 一 切 
X32n0618_001:0332a02	十一唯佛獨尊喻(如佛)	十 一 唯 佛 獨 尊 喻 如 佛 
X32n0618_001:0332a03	二歎法用(三)	二 歎 法 用 三 
X32n0618_001:0332a04	初歎拔苦用(宿王)	初 歎 拔 苦 用 宿 王 
X32n0618_001:0332a05	二歎與樂用(此經)	二 歎 與 樂 用 此 經 
X32n0618_001:0332a06	三總結二用(此法)	三 總 結 二 用 此 法 
X32n0618_001:0332a07	三明持經福德(二)	三 明 持 經 福 德 二 
X32n0618_001:0332a08	初舉聞全經福(若人)	初 舉 聞 全 經 福 若 人 
X32n0618_001:0332a09	二舉聞今品福(二)	二 舉 聞 今 品 福 二 
X32n0618_001:0332a10	初格量(四)	初 格 量 四 
X32n0618_001:0332a11	初明聞品益(宿王)	初 明 聞 品 益 宿 王 
X32n0618_001:0332a12	二明勸修益(若如)	二 明 勸 修 益 若 如 
X32n0618_001:0332a13	三諸佛遙讚(是時)	三 諸 佛 遙 讚 是 時 
X32n0618_001:0332a14	四結聞品益(宿王)	四 結 聞 品 益 宿 王 
X32n0618_001:0332a15	二囑累(是故)	二 囑 累 是 故 
X32n0618_001:0332a16	三聞品利益(說文)	三 聞 品 利 益 說 文 
X32n0618_001:0332a17	四多寶稱歎(多寶)	四 多 寶 稱 歎 多 寶 
X32n0618_001:0332a18	三藥王苦行已竟。	三 藥 王 苦 行 已 竟 
X32n0618_001:0332a20	法華大成卷九科文	法 華 大 成 卷 九 科 文 
X32n0618_001:0332a22	妙音菩薩品	妙 音 菩 薩 品 
X32n0618_001:0332a24	○四妙音說法(六)	 四 妙 音 說 法 六 
X32n0618_001:0332a25	初放光東照(爾時)	初 放 光 東 照 爾 時 
X32n0618_001:0332a26	二奉命西來(二)	二 奉 命 西 來 二 
X32n0618_001:0332a27	初明發來之緣(六)	初 明 發 來 之 緣 六 
X32n0618_001:0332a28	初經家敘德(爾時)	初 經 家 敘 德 爾 時 
X32n0618_001:0332a29	二光照其身(釋迦)	二 光 照 其 身 釋 迦 
X32n0618_001:0332a30	三辭師願往(即白)	三 辭 師 願 往 即 白 
X32n0618_001:0332a31	四彼佛垂誡(爾時)	四 彼 佛 垂 誡 爾 時 
X32n0618_001:0332a32	五妙音受旨(妙音)	五 妙 音 受 旨 妙 音 
X32n0618_001:0332a33	六先現來相(六)	六 先 現 來 相 六 
X32n0618_001:0332a34	初妙音先現華瑞(於是)	初 妙 音 先 現 華 瑞 於 是 
X32n0618_001:0332a35	二文殊發問何緣(爾時)	二 文 殊 發 問 何 緣 爾 時 
X32n0618_001:0332a36	三如來答以欲來(爾時)	三 如 來 答 以 欲 來 爾 時 
X32n0618_001:0332a37	四文殊請現其相(文殊)	四 文 殊 請 現 其 相 文 殊 
X32n0618_001:0332a38	五釋迦推功多寶(爾時)	五 釋 迦 推 功 多 寶 爾 時 
X32n0618_001:0332a39	六多寶命彼來會(時多)	六 多 寶 命 彼 來 會 時 多 
X32n0618_001:0332a40	二明正共發來(六)	二 明 正 共 發 來 六 
X32n0618_001:0332a41	初眷屬經歷(於時)	初 眷 屬 經 歷 於 時 
X32n0618_001:0332a42	二敘相登臺(是菩)	二 敘 相 登 臺 是 菩 
X32n0618_001:0332a43	三問訊傳旨(到已)	三 問 訊 傳 旨 到 已 
X32n0618_001:0332a44	四請見多寶(世尊)	四 請 見 多 寶 世 尊 
X32n0618_001:0332a45	五世尊為通(爾時)	五 世 尊 為 通 爾 時 
X32n0618_001:0332a46	六塔中稱善(時多)	六 塔 中 稱 善 時 多 
X32n0618_001:0332a47	三十方弘經(二)	三 十 方 弘 經 二 
X32n0618_001:0332a48	初問答善根神力(二)	初 問 答 善 根 神 力 二 
X32n0618_001:0332a49	初華德疑問(爾時)	初 華 德 疑 問 爾 時 
X32n0618_001:0332a50	二如來垂答(二)	二 如 來 垂 答 二 
X32n0618_001:0332a51	初正答善根功德(佛告)	初 正 答 善 根 功 德 佛 告 
X32n0618_001:0332a52	二廣明神力應化(三)	二 廣 明 神 力 應 化 三 
X32n0618_001:0332a53	初總舉(華德)	初 總 舉 華 德 
X32n0618_001:0332a54	二別明(二)	二 別 明 二 
X32n0618_001:0332a55	初應六凡(六)	初 應 六 凡 六 
X32n0618_001:0332a56	初應天眾(或現)	初 應 天 眾 或 現 
X32n0618_001:0332a57	二應人眾(或現)	二 應 人 眾 或 現 
X32n0618_001:0332a58	三應八部(或現)	三 應 八 部 或 現 
X32n0618_001:0332a59	四應惡趣(諸有)	四 應 惡 趣 諸 有 
X32n0618_001:0332a60	五應宮禁(乃至)	五 應 宮 禁 乃 至 
X32n0618_001:0332a61	六結前廣顯(華德)	六 結 前 廣 顯 華 德 
X32n0618_001:0332a62	二應四聖(若應)	二 應 四 聖 若 應 
X32n0618_001:0332a63	三總結(華德)	三 總 結 華 德 
X32n0618_001:0332a64	二問答住何三昧(二)	二 問 答 住 何 三 昧 二 
X32n0618_001:0332a65	初問(爾時)	初 問 爾 時 
X32n0618_001:0332a66	二答(佛告)	二 答 佛 告 
X32n0618_001:0332a67	四兩土得益(說是)	四 兩 土 得 益 說 是 
X32n0618_001:0332a68	五還歸本土(爾時)	五 還 歸 本 土 爾 時 
X32n0618_001:0332a69	六問品進道(說是)	六 問 品 進 道 說 是 
X32n0618_001:0332a70	四妙音說法已竟。	四 妙 音 說 法 已 竟 
X32n0618_001:0333a01	普門品	普 門 品 
X32n0618_001:0333a03	○五普門圓應(二)	 五 普 門 圓 應 二 
X32n0618_001:0333a04	初問答顯德(二)	初 問 答 顯 德 二 
X32n0618_001:0333a05	初長行(二)	初 長 行 二 
X32n0618_001:0333a06	初初番問答觀音人(二)	初 初 番 問 答 觀 音 人 二 
X32n0618_001:0333a07	初無盡興問(爾時)	初 無 盡 興 問 爾 時 
X32n0618_001:0333a08	二如來垂答(三)	二 如 來 垂 答 三 
X32n0618_001:0333a09	初總答(四)	初 總 答 四 
X32n0618_001:0333a10	初標舉人數(佛告)	初 標 舉 人 數 佛 告 
X32n0618_001:0333a11	二總明遭苦(受諸)	二 總 明 遭 苦 受 諸 
X32n0618_001:0333a12	三聞名稱號(聞是)	三 聞 名 稱 號 聞 是 
X32n0618_001:0333a13	四即得解脫(觀世)	四 即 得 解 脫 觀 世 
X32n0618_001:0333a14	二別答(三)	二 別 答 三 
X32n0618_001:0333a15	初免七難(二)	初 免 七 難 二 
X32n0618_001:0333a16	初正明七難(七)	初 正 明 七 難 七 
X32n0618_001:0333a17	初免火難(若有)	初 免 火 難 若 有 
X32n0618_001:0333a18	二免水難(若為)	二 免 水 難 若 為 
X32n0618_001:0333a19	三免羅剎難(若有)	三 免 羅 剎 難 若 有 
X32n0618_001:0333a20	四免王難(若復)	四 免 王 難 若 復 
X32n0618_001:0333a21	五免鬼難(若三)	五 免 鬼 難 若 三 
X32n0618_001:0333a22	六免枷鎖難(設復)	六 免 枷 鎖 難 設 復 
X32n0618_001:0333a23	七免冤賊難(若三)	七 免 冤 賊 難 若 三 
X32n0618_001:0333a24	二結其神力(無盡)	二 結 其 神 力 無 盡 
X32n0618_001:0333a25	二離三毒(若有)	二 離 三 毒 若 有 
X32n0618_001:0333a26	三應二求(若有)	三 應 二 求 若 有 
X32n0618_001:0333a27	三勸持名答(三)	三 勸 持 名 答 三 
X32n0618_001:0333a28	初勸持(若有)	初 勸 持 若 有 
X32n0618_001:0333a29	二格量(無盡)	二 格 量 無 盡 
X32n0618_001:0333a30	三結歎(無盡)	三 結 歎 無 盡 
X32n0618_001:0333a31	二二番問答普門法(二)	二 二 番 問 答 普 門 法 二 
X32n0618_001:0333a32	初無盡興問(無盡)	初 無 盡 興 問 無 盡 
X32n0618_001:0333a33	二如來垂答(三)	二 如 來 垂 答 三 
X32n0618_001:0333a34	初正答普門法(二)	初 正 答 普 門 法 二 
X32n0618_001:0333a35	初普門圓應(八)	初 普 門 圓 應 八 
X32n0618_001:0333a36	初聖人身(佛告)	初 聖 人 身 佛 告 
X32n0618_001:0333a37	二天王身(應以)	二 天 王 身 應 以 
X32n0618_001:0333a38	三王民身(應以)	三 王 民 身 應 以 
X32n0618_001:0333a39	四四眾身(應以)	四 四 眾 身 應 以 
X32n0618_001:0333a40	五婦女身(應以)	五 婦 女 身 應 以 
X32n0618_001:0333a41	六童男女身(應以)	六 童 男 女 身 應 以 
X32n0618_001:0333a42	七八部身(應以)	七 八 部 身 應 以 
X32n0618_001:0333a43	八金剛身(應以)	八 金 剛 身 應 以 
X32n0618_001:0333a44	二結略指廣(無盡)	二 結 略 指 廣 無 盡 
X32n0618_001:0333a45	二勸興供養(二)	二 勸 興 供 養 二 
X32n0618_001:0333a46	初勸供(是故)	初 勸 供 是 故 
X32n0618_001:0333a47	二受旨(五)	二 受 旨 五 
X32n0618_001:0333a48	初奉命興供(無盡)	初 奉 命 興 供 無 盡 
X32n0618_001:0333a49	二觀音不受(時觀)	二 觀 音 不 受 時 觀 
X32n0618_001:0333a50	三無盡重舉(無盡)	三 無 盡 重 舉 無 盡 
X32n0618_001:0333a51	四佛勸當愍(爾時)	四 佛 勸 當 愍 爾 時 
X32n0618_001:0333a52	五受已奉佛(即時)	五 受 已 奉 佛 即 時 
X32n0618_001:0333a53	三總結神力(無盡)	三 總 結 神 力 無 盡 
X32n0618_001:0333a54	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0333a55	初一行雙頌二問(爾時)	初 一 行 雙 頌 二 問 爾 時 
X32n0618_001:0333a56	二二十二行雙頌二答(二)	二 二 十 二 行 雙 頌 二 答 二 
X32n0618_001:0333a57	初二行總歎行願(具足)	初 二 行 總 歎 行 願 具 足 
X32n0618_001:0333a58	二二十行別頌二答(二)	二 二 十 行 別 頌 二 答 二 
X32n0618_001:0334a01	初十四行頌初答觀音得名(二)	初 十 四 行 頌 初 答 觀 音 得 名 二 
X32n0618_001:0334a02	初一行頌總答(我為)	初 一 行 頌 總 答 我 為 
X32n0618_001:0334a03	二十三行頌別答(二)	二 十 三 行 頌 別 答 二 
X32n0618_001:0334a04	初十二行頌七難(十二)	初 十 二 行 頌 七 難 十 二 
X32n0618_001:0334a05	初一行頌免火難(假使)	初 一 行 頌 免 火 難 假 使 
X32n0618_001:0334a06	二一行頌免水難(或漂)	二 一 行 頌 免 水 難 或 漂 
X32n0618_001:0334a07	三一行加頌墮須彌難(或在)	三 一 行 加 頌 墮 須 彌 難 或 在 
X32n0618_001:0334a08	四一行加頌墮金剛山難(或被)	四 一 行 加 頌 墮 金 剛 山 難 或 被 
X32n0618_001:0334a09	五一行頌免冤賊難(或值)	五 一 行 頌 免 冤 賊 難 或 值 
X32n0618_001:0334a10	六一行頌免刀杖難(或遭)	六 一 行 頌 免 刀 杖 難 或 遭 
X32n0618_001:0334a11	七一行頌免加鎻難(或囚)	七 一 行 頌 免 加 鎻 難 或 囚 
X32n0618_001:0334a12	八一行加頌呪詛毒藥難(呪詛)	八 一 行 加 頌 呪 詛 毒 藥 難 呪 詛 
X32n0618_001:0334a13	九一行頌免羅剎難(或遇)	九 一 行 頌 免 羅 剎 難 或 遇 
X32n0618_001:0334a14	十一行加頌惡獸難(若惡)	十 一 行 加 頌 惡 獸 難 若 惡 
X32n0618_001:0334a15	十一一行加頌蛇蝎難(蚖蛇)	十 一 一 行 加 頌 蛇 蝎 難 蚖 蛇 
X32n0618_001:0334a16	十二一行加頌雲雨難(雲雷)	十 二 一 行 加 頌 雲 雨 難 雲 雷 
X32n0618_001:0334a17	二一行頌三毒二求(眾生)	二 一 行 頌 三 毒 二 求 眾 生 
X32n0618_001:0334a18	二六行頌次答普門示現(四)	二 六 行 頌 次 答 普 門 示 現 四 
X32n0618_001:0334a19	初二行明身業普應(具足)	初 二 行 明 身 業 普 應 具 足 
X32n0618_001:0334a20	二二行明意業普觀(真觀)	二 二 行 明 意 業 普 觀 真 觀 
X32n0618_001:0334a21	三一行明口業說法(悲觀)	三 一 行 明 口 業 說 法 悲 觀 
X32n0618_001:0334a22	四一行加頌官障(諍訟)	四 一 行 加 頌 官 障 諍 訟 
X32n0618_001:0334a23	三三行雙頌二勸(二)	三 三 行 雙 頌 二 勸 二 
X32n0618_001:0334a24	初一行一句頌勸持名(妙音)	初 一 行 一 句 頌 勸 持 名 妙 音 
X32n0618_001:0334a25	二一行三句頌勸供養(觀世)	二 一 行 三 句 頌 勸 供 養 觀 世 
X32n0618_001:0334a26	二聞品得益(二)	二 聞 品 得 益 二 
X32n0618_001:0334a27	初持地稱歎(爾時)	初 持 地 稱 歎 爾 時 
X32n0618_001:0334a28	二聞品獲益(佛說)	二 聞 品 獲 益 佛 說 
X32n0618_001:0334a29	五普門圓應已竟。	五 普 門 圓 應 已 竟 
X32n0618_001:0334a31	陀羅尼品	陀 羅 尼 品 
X32n0618_001:0334a33	○六神呪護持(三)	 六 神 呪 護 持 三 
X32n0618_001:0334a34	初問答持經功德(爾時)	初 問 答 持 經 功 德 爾 時 
X32n0618_001:0334a35	二請以神呪護持(五)	二 請 以 神 呪 護 持 五 
X32n0618_001:0334a36	初藥王呪護(四)	初 藥 王 呪 護 四 
X32n0618_001:0334a37	初請護(爾時)	初 請 護 爾 時 
X32n0618_001:0334a38	二說呪(即說)	二 說 呪 即 說 
X32n0618_001:0334a39	三稱歎(世尊)	三 稱 歎 世 尊 
X32n0618_001:0334a40	四印善(時釋)	四 印 善 時 釋 
X32n0618_001:0334a41	二勇施呪護(三)	二 勇 施 呪 護 三 
X32n0618_001:0334a42	初請護(爾時)	初 請 護 爾 時 
X32n0618_001:0334a43	二說呪(即於)	二 說 呪 即 於 
X32n0618_001:0334a44	三結歎(世尊)	三 結 歎 世 尊 
X32n0618_001:0334a45	三毗沙呪護(三)	三 毗 沙 呪 護 三 
X32n0618_001:0334a46	初請護(爾時)	初 請 護 爾 時 
X32n0618_001:0334a47	二說呪(即說)	二 說 呪 即 說 
X32n0618_001:0334a48	三結歎(世尊)	三 結 歎 世 尊 
X32n0618_001:0334a49	四持國呪護(三)	四 持 國 呪 護 三 
X32n0618_001:0334a50	初請護(爾時)	初 請 護 爾 時 
X32n0618_001:0334a51	二說呪(即說)	二 說 呪 即 說 
X32n0618_001:0334a52	三結歎(世尊)	三 結 歎 世 尊 
X32n0618_001:0334a53	五羅剎呪護(五)	五 羅 剎 呪 護 五 
X32n0618_001:0334a54	初列名(爾時)	初 列 名 爾 時 
X32n0618_001:0334a55	二請說(同聲)	二 請 說 同 聲 
X32n0618_001:0334a56	三稱歎(寧上)	三 稱 歎 寧 上 
X32n0618_001:0334a57	四誓願(諸羅)	四 誓 願 諸 羅 
X32n0618_001:0334a58	五印善(佛告)	五 印 善 佛 告 
X32n0618_001:0334a59	三會中聞品得益(說是)	三 會 中 聞 品 得 益 說 是 
X32n0618_001:0334a60	六神呪護持已竟。	六 神 呪 護 持 已 竟 
X32n0618_001:0334a62	妙莊嚴王本事品	妙 莊 嚴 王 本 事 品 
X32n0618_001:0334a64	○七妙嚴轉邪(六)	 七 妙 嚴 轉 邪 六 
X32n0618_001:0335a01	初略明事本(爾時)	初 略 明 事 本 爾 時 
X32n0618_001:0335a02	二標能所化(彼佛)	二 標 能 所 化 彼 佛 
X32n0618_001:0335a03	三能化方便(八)	三 能 化 方 便 八 
X32n0618_001:0335a04	初彼佛說法(爾時)	初 彼 佛 說 法 爾 時 
X32n0618_001:0335a05	二二子願往(時淨)	二 二 子 願 往 時 淨 
X32n0618_001:0335a06	三母子論議(母告)	三 母 子 論 議 母 告 
X32n0618_001:0335a07	四二子現通(於是)	四 二 子 現 通 於 是 
X32n0618_001:0335a08	五信子伏師(時父)	五 信 子 伏 師 時 父 
X32n0618_001:0335a09	六子喜報母(於是)	六 子 喜 報 母 於 是 
X32n0618_001:0335a10	七願求出家(我等)	七 願 求 出 家 我 等 
X32n0618_001:0335a11	八觀親覲佛(於是)	八 觀 親 覲 佛 於 是 
X32n0618_001:0335a12	四所化得益(十一)	四 所 化 得 益 十 一 
X32n0618_001:0335a13	初敘宮眷德(彼時)	初 敘 宮 眷 德 彼 時 
X32n0618_001:0335a14	二合宮從化(於是)	二 合 宮 從 化 於 是 
X32n0618_001:0335a15	三佛為說法(爾時)	三 佛 為 說 法 爾 時 
X32n0618_001:0335a16	四捨愛回心(爾時)	四 捨 愛 回 心 爾 時 
X32n0618_001:0335a17	五佛力示現(於虗)	五 佛 力 示 現 於 虗 
X32n0618_001:0335a18	六邪心頓絕(爾時)	六 邪 心 頓 絕 爾 時 
X32n0618_001:0335a19	七佛與授記(時雲)	七 佛 與 授 記 時 雲 
X32n0618_001:0335a20	八出家修行(其王)	八 出 家 修 行 其 王 
X32n0618_001:0335a21	九感歎二子(即升)	九 感 歎 二 子 即 升 
X32n0618_001:0335a22	十佛述行高(爾時)	十 佛 述 行 高 爾 時 
X32n0618_001:0335a23	十一妙嚴讚謝(妙莊)	十 一 妙 嚴 讚 謝 妙 莊 
X32n0618_001:0335a24	五結會古今(二)	五 結 會 古 今 二 
X32n0618_001:0335a25	初結會(佛告)	初 結 會 佛 告 
X32n0618_001:0335a26	二結歎(是藥)	二 結 歎 是 藥 
X32n0618_001:0335a27	六聞品進道(佛說)	六 聞 品 進 道 佛 說 
X32n0618_001:0335a28	七妙嚴轉邪已竟。	七 妙 嚴 轉 邪 已 竟 
X32n0618_001:0335a30	勸發品	勸 發 品 
X32n0618_001:0335a32	○八普賢勸發(四)	 八 普 賢 勸 發 四 
X32n0618_001:0335a33	初經家敘儀(爾時)	初 經 家 敘 儀 爾 時 
X32n0618_001:0335a34	二普賢勸發(二)	二 普 賢 勸 發 二 
X32n0618_001:0335a35	初請問勸發(二)	初 請 問 勸 發 二 
X32n0618_001:0335a36	初問(白佛)	初 問 白 佛 
X32n0618_001:0335a37	二答(佛告)	二 答 佛 告 
X32n0618_001:0335a38	二誓願勸發(二)	二 誓 願 勸 發 二 
X32n0618_001:0335a39	初護人(六)	初 護 人 六 
X32n0618_001:0335a40	初攘其外難(爾時)	初 攘 其 外 難 爾 時 
X32n0618_001:0335a41	二教其內法(三)	二 教 其 內 法 三 
X32n0618_001:0335a42	初行立讀誦(是人)	初 行 立 讀 誦 是 人 
X32n0618_001:0335a43	二常坐思惟(是人)	二 常 坐 思 惟 是 人 
X32n0618_001:0335a44	三三七精進(世尊)	三 三 七 精 進 世 尊 
X32n0618_001:0335a45	三覆以神力(世尊)	三 覆 以 神 力 世 尊 
X32n0618_001:0335a46	四示以勝因(若有)	四 示 以 勝 因 若 有 
X32n0618_001:0335a47	五示以近果(若但)	五 示 以 近 果 若 但 
X32n0618_001:0335a48	六總結(是故)	六 總 結 是 故 
X32n0618_001:0335a49	二護法(世尊)	二 護 法 世 尊 
X32n0618_001:0335a50	三如來述發(二)	三 如 來 述 發 二 
X32n0618_001:0335a51	初先述護法(爾時)	初 先 述 護 法 爾 時 
X32n0618_001:0335a52	二述其護人(五)	二 述 其 護 人 五 
X32n0618_001:0335a53	初述示其身教(普賢)	初 述 示 其 身 教 普 賢 
X32n0618_001:0335a54	二述示以勝因(如是)	二 述 示 以 勝 因 如 是 
X32n0618_001:0335a55	三述示以近果(普賢)	三 述 示 以 近 果 普 賢 
X32n0618_001:0335a56	四述攘其外難(若有)	四 述 攘 其 外 難 若 有 
X32n0618_001:0335a57	五述信者功德(是故)	五 述 信 者 功 德 是 故 
X32n0618_001:0335a58	四聞品成行(二)	四 聞 品 成 行 二 
X32n0618_001:0335a59	初聞品利益(說是)	初 聞 品 利 益 說 是 
X32n0618_001:0335a60	二事畢云散(佛說)	二 事 畢 云 散 佛 說 
X32n0618_001:0335a61	三流通分已竟。	三 流 通 分 已 竟 
X32n0618_001:0335a63	法華大成科文畢	法 華 大 成 科 文 畢 
