T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0643c10	「如大梵王為一切世間之父，此經亦爾，為一	 如 大 梵 王 為 一切世間 之 父 此 經 亦 爾 為 一 
T34n1722_001:0643c11	切賢聖學無學人及發菩薩心者之父」。《普賢	切 賢 聖 學 無 學 人 及 發 菩 薩 心 者 之 父 普 賢 
T34n1722_001:0643c12	觀經》云「方等經是諸佛眼，諸佛因是得具五	觀 經 云 方 等 經 是 諸 佛 眼 諸 佛 因 是 得 具 五 
T34n1722_001:0643c13	眼，佛三種身從方等生，是大法印印涅槃海」。	眼 佛 三 種 身 從 方 等 生 是 大 法 印 印 涅 槃 海 
T34n1722_001:0643c14	所以方等生三種身者，由方等故了悟實相	所 以 方 等 生 三 種 身 者 由 方 等 故 了 悟 實 相 
T34n1722_001:0643c15	斷諸煩惱，斷諸煩惱故法身現，法身現故有	斷 諸 煩 惱 斷 諸 煩 惱 故 法 身 現 法 身 現 故 有 
T34n1722_001:0643c16	應身，有應身故有化身，有三身故說十二部	應 身 有 應 身 故 有 化 身 有 三 身 故 說 十 二 部 
T34n1722_001:0643c17	經，說十二部經故有法寶，有法寶故有僧	經 說 十二部經 故 有 法 寶 有 法 寶 故 有 僧 
T34n1722_001:0643c18	寶、故有三寶、故有世間三善道，故知《法華》	寶 故 有 三 寶 故 有 世 間 三 善 道 故 知 法 華 
T34n1722_001:0643c19	是世間出世間本也。問：《法華論》釋云何？答：《論》	是 世間出世間 本 也 問 法 華 論 釋 云 何 答 論 
T34n1722_001:0643c20	云「以佛乘出離二乘濁泥水故，喻如蓮華」，	云 以 佛 乘 出 離 二 乘 濁 泥 水 故 喻 如 蓮 華 
T34n1722_001:0643c21	又云「此花諸佛菩薩而坐其上，此經亦為令	又 云 此 花 諸佛菩薩 而 坐 其 上 此 經 亦 為 令 
T34n1722_001:0643c22	捨二乘鄙賤之人同得入一乘，與諸佛菩薩	捨 二 乘 鄙 賤 之 人 同 得 入 一 乘 與 諸佛菩薩 
T34n1722_001:0643c23	同坐妙法蓮華之坐，故借蓮華為喻」。猶是十	同 坐 妙法蓮華 之 坐 故 借 蓮 華 為 喻 猶 是 十 
T34n1722_001:0643c24	義中兩義耳。三遍喻者，《大集經》云「慈悲為莖，	義 中 兩 義 耳 三 遍 喻 者 大 集 經 云 慈 悲 為 莖 
T34n1722_001:0643c25	智慧為葉，三昧為鬚，解脫為敷，菩薩蜂王採	智 慧 為 葉 三 昧 為 鬚 解 脫 為 敷 菩 薩 蜂 王 採 
T34n1722_001:0643c26	甘露味，是故我禮《妙法蓮華》也」。	甘 露 味 是 故 我 禮 妙法蓮華 也 
T34n1722_001:0643c27	第四辨教意門，南方五時說、北土四宗論，	第 四 辨 教 意 門 南 方 五 時 說 北 土 四 宗 論 
T34n1722_001:0643c28	無文傷義，昔已詳之，今略而不述也。夫論	無 文 傷 義 昔 已 詳 之 今 略 而 不 述 也 夫 論 
T34n1722_001:0643c29	四生擾擾，為失虛懷，六趣紛紛，寔由封滯，	四 生 擾 擾 為 失 虛 懷 六 趣 紛 紛 寔 由 封 滯 
T34n1722_001:0644a01	故知迴流苦海以住著為源，超然彼岸用無	故 知 迴 流 苦 海 以 住 著 為 源 超 然 彼 岸 用 無 
T34n1722_001:0644a02	得為本，但累果非一故息倒多門，或始終俱	得 為 本 但 累 果 非 一 故 息 倒 多 門 或 始 終 俱 
T34n1722_001:0644a03	大，或初後並小，或始小終大，或始大終小，或	大 或 初 後 並 小 或 始 小 終 大 或 始 大 終 小 或 
T34n1722_001:0644a04	一時之內大小俱明，或無量時唯辨一法，或	一 時 之 內 大 小 俱 明 或 無 量 時 唯 辨 一 法 或 
T34n1722_001:0644a05	說異法而前後不同，或明同法而初後為異，	說 異 法 而 前 後 不 同 或 明 同 法 而 初 後 為 異 
T34n1722_001:0644a06	良由機悟不一故適化無方，不可局以五時、	良 由 機 悟 不 一 故 適 化 無 方 不 可 局 以 五 時 
T34n1722_001:0644a07	限於四教也。所言始終俱大者，如《涅槃》云「我	限 於 四 教 也 所 言 始 終 俱 大 者 如 涅 槃 云 我 
T34n1722_001:0644a08	初成道已有菩薩曾問是義，與汝所問等無	初 成 道 已 有 菩 薩 曾 問 是 義 與 汝 所 問 等 無 
T34n1722_001:0644a09	差別」，故知後辨涅槃、初亦辨斯教。初後俱小	差 別 故 知 後 辨 涅 槃 初 亦 辨 斯 教 初 後 俱 小 
T34n1722_001:0644a10	者，如《智度論》云「從初轉法輪至大涅槃集作	者 如 智 度 論 云 從 初轉法輪 至 大 涅 槃 集 作 
T34n1722_001:0644a11	四阿含」，即其事也。初小後大者，鹿園初說小	四 阿 含 即 其 事 也 初 小 後 大 者 鹿 園 初 說 小 
T34n1722_001:0644a12	乘，鷲山已去明於大法。初大後小者，菩提樹	乘 鷲 山 已 去 明 於 大 法 初 大 後 小 者 菩 提 樹 
T34n1722_001:0644a13	下初說《花嚴》，後趣鹿薗方明小教。一時之內	下 初 說 花 嚴 後 趣 鹿 薗 方 明 小 教 一 時 之 內 
T34n1722_001:0644a14	大小俱明者，如《智度論》云「顯示教門即波羅	大 小 俱 明 者 如 智 度 論 云 顯 示 教 門 即 波 羅 
T34n1722_001:0644a15	捺薗說大小，祕密之法則雙林明大小」。或無	捺 薗 說 大 小 祕 密 之 法 則 雙 林 明 大 小 或 無 
T34n1722_001:0644a16	量時明一法者，如《智度論》云「波若非一坐一	量 時 明 一 法 者 如 智 度 論 云 波 若 非 一 坐 一 
T34n1722_001:0644a17	時說也」。或說異法前後不同者，如《智度論》云	時 說 也 或 說 異 法 前 後 不 同 者 如 智 度 論 云 
T34n1722_001:0644a18	「須菩提聞《法花經》辨一切成佛，復聞《波若》明	 須 菩 提 聞 法 花 經 辨 一 切 成 佛 復 聞 波 若 明 
T34n1722_001:0644a19	菩薩有退，故今問此菩薩為畢定為不畢定？」	菩 薩 有 退 故 今 問 此 菩 薩 為 畢 定 為 不 畢 定 
T34n1722_001:0644a20	《法花》、《波若》名為異法，而《波若》或在《法華》之	 法 花 波 若 名 為 異 法 而 波 若 或 在 法 華 之 
T34n1722_001:0644a21	前或在《法華》之後，故前後不同。問：何以得知	前 或 在 法 華 之 後 故 前 後 不 同 問 何 以 得 知 
T34n1722_001:0644a22	在《法華》前說耶？答：《智度論》釋三百比丘脫衣	在 法 華 前 說 耶 答 智 度 論 釋 三 百 比 丘 脫 衣 
T34n1722_001:0644a23	上佛云「有人言，十二年未制戒」，即知《波若》	上 佛 云 有 人 言 十 二 年 未 制 戒 即 知 波 若 
T34n1722_001:0644a24	在十二年已前說之。《法華》，成道已來四十	在 十 二 年 已 前 說 之 法 華 成 道 已 來 四 十 
T34n1722_001:0644a25	餘年方乃演說。又〈信解品〉云「明付財竟後方	餘 年 方 乃 演 說 又 信 解 品 云 明 付 財 竟 後 方 
T34n1722_001:0644a26	會父子」，亦是《波若》在前《法華》居後。而向所引	會 父 子 亦 是 波 若 在 前 法 華 居 後 而 向 所 引 
T34n1722_001:0644a27	畢定品文，即《法花》在前《波若》居後。或明同法	畢 定 品 文 即 法 花 在 前 波 若 居 後 或 明 同 法 
T34n1722_001:0644a28	而前後為異者，如五時同是《波若》之法，而《仁	而 前 後 為 異 者 如 五 時 同 是 波 若 之 法 而 仁 
T34n1722_001:0644a29	王經》云「二十九年說四種波若，第三十年說	王 經 云 二 十 九 年 說 四 種 波 若 第 三 十 年 說 
T34n1722_001:0644b01	仁王波若」。如是等事不可具陳，略舉八	仁 王 波 若 如 是 等 事 不 可 具 陳 略 舉 八 
T34n1722_001:0644b02	條示聖教無方，不應限局五時及四宗之義	條 示 聖 教 無 方 不 應 限 局 五 時 及 四 宗 之 義 
T34n1722_001:0644b03	也。問：若爾者，則大小無分、淺深渾亂，何得論	也 問 若 爾 者 則 大 小 無 分 淺 深 渾 亂 何 得 論 
T34n1722_001:0644b04	明聲聞菩薩兩藏經開大小二種乘耶？答：佛	明 聲 聞 菩 薩 兩 藏 經 開 大 小 二 種 乘 耶 答 佛 
T34n1722_001:0644b05	教雖復塵沙，今以二義往收，則事無不盡：一	教 雖 復 塵 沙 今 以 二 義 往 收 則 事 無 不 盡 一 
T34n1722_001:0644b06	者、赴小機說名曰小乘，赴大機說稱為大乘	者 赴 小 機 說 名 曰 小 乘 赴 大 機 說 稱 為 大 乘 
T34n1722_001:0644b07	教。而佛滅度後集法藏人，攝佛一切時說	教 而 佛 滅 度 後 集 法 藏 人 攝 佛 一 切 時 說 
T34n1722_001:0644b08	小教名聲聞藏，一切時說大乘者名菩薩藏，	小 教 名 聲 聞 藏 一 切 時 說 大 乘 者 名 菩 薩 藏 
T34n1722_001:0644b09	則大小義分、淺深教別也。問：何以得知唯有	則 大 小 義 分 淺 深 教 別 也 問 何 以 得 知 唯 有 
T34n1722_001:0644b10	兩藏？答：《中論》云「前於聲聞法中說十二因緣，	兩 藏 答 中 論 云 前 於 聲 聞 法 中 說 十二因緣 
T34n1722_001:0644b11	後為已習行堪受深法者，以大乘法說因緣	後 為 已 習 行 堪 受 深 法 者 以 大 乘 法 說 因 緣 
T34n1722_001:0644b12	相故」。《智度論》云「阿難、迦葉結集三藏，彌勒、	相 故 智 度 論 云 阿 難 迦 葉 結 集 三 藏 彌 勒 
T34n1722_001:0644b13	阿難、文殊結集大乘藏」。《地持論》云「十二部經	阿 難 文 殊 結 集 大 乘 藏 地 持 論 云 十二部經 
T34n1722_001:0644b14	名聲聞藏，方等經名菩薩藏」，而《大品》、《思益》、《法	名 聲 聞 藏 方 等 經 名 菩 薩 藏 而 大 品 思 益 法 
T34n1722_001:0644b15	華》、《涅槃》此四經，皆對昔小秤讚今日大，則	華 涅 槃 此 四 經 皆 對 昔 小 秤 讚 今 日 大 則 
T34n1722_001:0644b16	知一化始終俱明大小二教也。問：此經云唯	知 一 化 始 終 俱 明 大 小 二 教 也 問 此 經 云 唯 
T34n1722_001:0644b17	有一佛乘，云何乃立大小二耶？答：如來赴大	有 一 佛 乘 云 何 乃 立 大 小 二 耶 答 如 來 赴 大 
T34n1722_001:0644b18	小二緣，故說大小二教也。雖說二教，終為顯	小 二 緣 故 說 大 小 二 教 也 雖 說 二 教 終 為 顯 
T34n1722_001:0644b19	一乘故。〈藥草喻品〉云「於一切法以智方便而	一 乘 故 藥 草 喻 品 云 於一切法 以 智 方 便 而 
T34n1722_001:0644b20	演說之，其所說法皆悉到於一切智地」，故知	演 說 之 其 所 說 法 皆 悉 到 於 一切智地 故 知 
T34n1722_001:0644b21	教無異表、緣無異悟。然對異故明不異，在異	教 無 異 表 緣 無 異 悟 然 對 異 故 明 不 異 在 異 
T34n1722_001:0644b22	既無則不異亦息，故云「是法不可示，言辭相	既 無 則 不 異 亦 息 故 云 是 法 不 可 示 言 辭 相 
T34n1722_001:0644b23	寂滅」。若守大小二藏及封執唯一乘者，此皆	寂 滅 若 守 大 小 二 藏 及 封 執 唯 一 乘 者 此 皆 
T34n1722_001:0644b24	成一異兩見，未悟本來寂滅，非學佛法人也。	成 一 異 兩 見 未 悟 本 來 寂 滅 非 學 佛 法 人 也 
T34n1722_001:0644b25	問：就《法華》始終有幾種教。答：或一教、二教、三	問 就 法 華 始 終 有 幾 種 教 答 或 一 教 二 教 三 
T34n1722_001:0644b26	教、四教乃至十教。言一教者，一切皆是一乘	教 四 教 乃 至 十 教 言 一 教 者 一 切 皆 是 一 乘 
T34n1722_001:0644b27	教，如〈藥草喻品〉云「於一切法以智方便而演	教 如 藥 草 喻 品 云 於一切法 以 智 方 便 而 演 
T34n1722_001:0644b28	說之，其所說法皆悉到於一切智地」，以所表	說 之 其 所 說 法 皆 悉 到 於 一切智地 以 所 表 
T34n1722_001:0644b29	理既無二，能表之教亦一也。言二教者，謂大	理 既 無 二 能 表 之 教 亦 一 也 言 二 教 者 謂 大 
T34n1722_001:0644c01	小乘二，如上說也。言三教者，謂根本法輪、	小 乘 二 如 上 說 也 言 三 教 者 謂 根 本 法 輪 
T34n1722_001:0644c02	枝末之教及攝末歸本，亦如前說也。言四教	枝 末 之 教 及 攝 末 歸 本 亦 如 前 說 也 言 四 教 
T34n1722_001:0644c03	者，〈方便品〉偈文明於四教，謂四調柔：一、以	者 方 便 品 偈 文 明 於 四 教 謂 四 調 柔 一 以 
T34n1722_001:0644c04	人天乘調柔，令離三塗；次、以二乘調柔，令離	人 天 乘 調 柔 令 離 三 塗 次 以 二 乘 調 柔 令 離 
T34n1722_001:0644c05	三界。此二調柔，令離界內惑也。三、以自教調	三 界 此 二 調 柔 令 離 界 內 惑 也 三 以 自 教 調 
T34n1722_001:0644c06	柔，令二乘人得口自說大法，以自知教調伏	柔 令 二 乘 人 得 口 自 說 大 法 以 自 知 教 調 伏 
T34n1722_001:0644c07	其心；四、以他教調柔，諸佛菩薩為其說大	其 心 四 以 他 教 調 柔 諸佛菩薩 為 其 說 大 
T34n1722_001:0644c08	法令小入大。此二教使其離三界外小乘惑	法 令 小 入 大 此 二 教 使 其 離 三 界 外 小 乘 惑 
T34n1722_001:0644c09	也。此四調柔二乘人令入一乘，為一乘之方	也 此 四 調 柔 二 乘 人 令 入 一 乘 為 一 乘 之 方 
T34n1722_001:0644c10	便也。故〈信解品〉云「如富長者以方便力柔伏	便 也 故 信 解 品 云 如 富 長 者 以 方 便 力 柔 伏 
T34n1722_001:0644c11	其心乃教大智」也。言十教者，一者頓教，謂初	其 心 乃 教 大 智 也 言 十 教 者 一 者 頓 教 謂 初 
T34n1722_001:0644c12	成道時即以大乘頓化窮子，但根性未堪，是	成 道 時 即 以 大 乘 頓 化 窮 子 但 根 性 未 堪 是 
T34n1722_001:0644c13	故息化也。二者漸教，從說人天乘乃至《法華》，	故 息 化 也 二 者 漸 教 從 說 人 天 乘 乃 至 法 華 
T34n1722_001:0644c14	皆是漸說大乘也。然頓教正化直往菩薩，漸	皆 是 漸 說 大 乘 也 然 頓 教 正 化 直 往 菩 薩 漸 
T34n1722_001:0644c15	教則化迴小入大人也。就漸教之中復開二	教 則 化 迴 小 入 大 人 也 就 漸 教 之 中 復 開 二 
T34n1722_001:0644c16	種：一、世間教，即人天乘，如冷水灑面譬也；	種 一 世 間 教 即 人 天 乘 如 冷 水 灑 面 譬 也 
T34n1722_001:0644c17	二、出世間教，從趣鹿薗說二乘教，終竟《法華》	二 出 世 間 教 從 趣 鹿 薗 說 二 乘 教 終 竟 法 華 
T34n1722_001:0644c18	也。就出世間教中復有二種：一、小乘教，二、大	也 就 出 世 間 教 中 復 有 二 種 一 小 乘 教 二 大 
T34n1722_001:0644c19	乘教。初趣鹿薗說小乘教，從《波若》已去謂大	乘 教 初 趣 鹿 薗 說 小 乘 教 從 波 若 已 去 謂 大 
T34n1722_001:0644c20	乘教也。就大乘教中復有二種：一者、自說大	乘 教 也 就 大 乘 教 中 復 有 二 種 一 者 自 說 大 
T34n1722_001:0644c21	乘，即《大品》付財命說之事；二者、他教，從《大品》	乘 即 大 品 付 財 命 說 之 事 二 者 他 教 從 大 品 
T34n1722_001:0644c22	已後諸方等教，佛與菩薩為小乘人而說大	已 後 諸 方 等 教 佛 與 菩 薩 為 小 乘 人 而 說 大 
T34n1722_001:0644c23	乘也。此二種教謂密說大乘，至於《法花》謂顯	乘 也 此 二 種 教 謂 密 說 大 乘 至 於 法 花 謂 顯 
T34n1722_001:0644c24	教小乘人大法也。此之五雙十教，並現〈信解	教 小 乘 人 大 法 也 此 之 五 雙 十 教 並 現 信 解 
T34n1722_001:0644c25	品〉文也。問：《大品》等但是漸說大乘，亦是頓耶？	品 文 也 問 大 品 等 但 是 漸 說 大 乘 亦 是 頓 耶 
T34n1722_001:0644c26	答：凡有四句：一、頓而非漸，則初成道為諸菩	答 凡 有 四 句 一 頓 而 非 漸 則 初 成 道 為 諸 菩 
T34n1722_001:0644c27	薩說花嚴教也；二、漸而非頓，謂人天及二乘	薩 說 花 嚴 教 也 二 漸 而 非 頓 謂 人 天 及 二 乘 
T34n1722_001:0644c28	教也；三、亦漸亦頓，即《大品》教也，為菩薩說《大	教 也 三 亦 漸 亦 頓 即 大 品 教 也 為 菩 薩 說 大 
T34n1722_001:0644c29	品》，《大品》於菩薩為頓，以《大品》中具足明一切	品 大 品 於 菩 薩 為 頓 以 大 品 中 具 足 明 一 切 
T34n1722_001:0645a01	大乘法故。〈信解品〉云「佛勅我等說最上道，修	大 乘 法 故 信 解 品 云 佛 勅 我 等 說 最 上 道 修 
T34n1722_001:0645a02	習此者當得成佛」，故名為頓。而命小人說於	習 此 者 當 得 成 佛 故 名 為 頓 而 命 小 人 說 於 
T34n1722_001:0645a03	大法，為入一乘方便故，於小乘人名為漸也。	大 法 為 入 一 乘 方 便 故 於 小 乘 人 名 為 漸 也 
T34n1722_001:0645a04	四者、非漸非頓者，上之三句並是教門，因此	四 者 非 漸 非 頓 者 上 之 三 句 並 是 教 門 因 此 
T34n1722_001:0645a05	教門欲顯無言之道，不可論其漸頓也。	教 門 欲 顯 無 言 之 道 不 可 論 其 漸 頓 也 
T34n1722_001:0645a06	第五、明顯密門，又開四別：一、通就諸經論明	第 五 明 顯 密 門 又 開 四 別 一 通 就 諸 經 論 明 
T34n1722_001:0645a07	顯密，二、別舉《大品》對《法花》論顯密，三、就《法花》	顯 密 二 別 舉 大 品 對 法 花 論 顯 密 三 就 法 花 
T34n1722_001:0645a08	內自論顯密，四、料簡之。總明經論顯密者，大	內 自 論 顯 密 四 料 簡 之 總 明 經 論 顯 密 者 大 
T34n1722_001:0645a09	明一化凡有四門：一、顯教菩薩不蜜化聲聞，	明 一 化 凡 有 四 門 一 顯 教 菩 薩 不 蜜 化 聲 聞 
T34n1722_001:0645a10	即花嚴教也。大機已熟故顯教之，小器未	即 花 嚴 教 也 大 機 已 熟 故 顯 教 之 小 器 未 
T34n1722_001:0645a11	堪不宜密化，故羅烈珍玩正為宗親，窮子躃	堪 不 宜 密 化 故 羅 烈 珍 玩 正 為 宗 親 窮 子 躃 
T34n1722_001:0645a12	地未堪授珍寶故。二、顯教聲聞不蜜化菩薩，	地 未 堪 授 珍 寶 故 二 顯 教 聲 聞 不 蜜 化 菩 薩 
T34n1722_001:0645a13	即三藏教也。誘引將順正為二乘，更遣餘	即 三 藏 教 也 誘 引 將 順 正 為 二 乘 更 遣 餘 
