X54n0873_001:0330a03	 肇論序	 肇 論 序 
X54n0873_004:0350b07	照既同一源。則知定慧本同一體。豈同外別稱定慧之名耶)若稱生同內。有稱非	照 既 同 一 源 則 知 定 慧 本 同 一 體 豈 同 外 別 稱 定 慧 之 名 耶 若 稱 生 同 內 有 稱 非 
X54n0873_004:0350b08	同。(謂若定慧之名。生於同內。則凡涉名言。則非真體)若稱生同外。稱非我也。	同 謂 若 定 慧 之 名 生 於 同 內 則 凡 涉 名 言 則 非 真 體 若 稱 生 同 外 稱 非 我 也 
X54n0873_004:0350b09	(謂於同外強稱定慧之名。則是迷者妄執在我。般若體中本無定慧二名○上答定慧不二。下答權應不息)	 謂 於 同 外 強 稱 定 慧 之 名 則 是 迷 者 妄 執 在 我 般 若 體 中 本 無 定 慧 二 名 上 答 定 慧 不 二 下 答 權 應 不 息 
X54n0873_004:0350b10	又聖心虗微。妙絕常境。(妙盡冥符。此言實智無為。次言權應不息)感無不	又 聖 心 虗 微 妙 絕 常 境 妙 盡 冥 符 此 言 實 智 無 為 次 言 權 應 不 息 感 無 不 
X54n0873_004:0350b11	應。會無不通。冥機(妙智)潛運。其用不勤。(權智妙應。而無不為如此)羣	應 會 無 不 通 冥 機 妙 智 潛 運 其 用 不 勤 權 智 妙 應 而 無 不 為 如 此 羣 
X54n0873_004:0350b12	數之應。亦何為而息耶。(上明實智無為。權應不息。下答二智體殊。正答心異。兼通	數 之 應 亦 何 為 而 息 耶 上 明 實 智 無 為 權 應 不 息 下 答 二 智 體 殊 正 答 心 異 兼 通 
X54n0873_004:0350b13	有知。先標妄)且夫心之有也。(凡夫妄心之有)以(因也)其有有。(有待緣而後有)	有 知 先 標 妄 且 夫 心 之 有 也 凡 夫 妄 心 之 有 以 因 也 其 有 有 有 待 緣 而 後 有 
X54n0873_004:0350b14	有不自有。(以待緣而有。故不能自有)故聖心不有有。(此顯真也。以聖心離緣。故	有 不 自 有 以 待 緣 而 有 故 不 能 自 有 故 聖 心 不 有 有 此 顯 真 也 以 聖 心 離 緣 故 
X54n0873_004:0350b15	不有有)不有有。故有無有。(以不借緣生。故雖有而非有)有無有故。(牒上)	不 有 有 不 有 有 故 有 無 有 以 不 借 緣 生 故 雖 有 而 非 有 有 無 有 故 牒 上 
X54n0873_004:0350b16	則無無。(既已非有。則亦非無)無無故。(牒上)聖人不有不無。(雙絕有無。冥心	則 無 無 既 已 非 有 則 亦 非 無 無 無 故 牒 上 聖 人 不 有 不 無 雙 絕 有 無 冥 心 
X54n0873_004:0350b17	一際)不有不無。其神乃虗。(以有無雙絕。則虗靈獨照。妙契中道)何者。(徵起。下即	一 際 不 有 不 無 其 神 乃 虗 以 有 無 雙 絕 則 虗 靈 獨 照 妙 契 中 道 何 者 徵 起 下 即 
X54n0873_004:0350b18	難就通。正答心異以明雙非。夫有下至廢用耶。通為一唱。二百零一字)夫有也無也。心	難 就 通 正 答 心 異 以 明 雙 非 夫 有 下 至 廢 用 耶 通 為 一 唱 二 百 零 一 字 夫 有 也 無 也 心 
X54n0873_004:0350b19	之影響也。(影譬象。響譬言)言也象也。影響之所攀緣也。(分別影響	之 影 響 也 影 譬 象 響 譬 言 言 也 象 也 影 響 之 所 攀 緣 也 分 別 影 響 
X54n0873_004:0350b20	本無實法。下正示雙非)有無既廢。(絕也)則心無影響。影響既淪。(喪也)	本 無 實 法 下 正 示 雙 非 有 無 既 廢 絕 也 則 心 無 影 響 影 響 既 淪 喪 也 
X54n0873_004:0350b21	則言象莫測。(心絕緣影。則言象不及)言象莫測。則道絕羣方。(則心	則 言 象 莫 測 心 絕 緣 影 則 言 象 不 及 言 象 莫 測 則 道 絕 羣 方 則 心 
X54n0873_004:0350b22	體離量)道絕羣方。故能窮靈極數。(窮虗則理極。極數則妄盡)窮靈極	體 離 量 道 絕 羣 方 故 能 窮 靈 極 數 窮 虗 則 理 極 極 數 則 妄 盡 窮 靈 極 
X54n0873_004:0350b23	數。乃曰妙盡。(真妄雙亡。是非齊泯)妙盡之道。本乎無寄。(靈靈絕待。故曰	數 乃 曰 妙 盡 真 妄 雙 亡 是 非 齊 泯 妙 盡 之 道 本 乎 無 寄 靈 靈 絕 待 故 曰 
X54n0873_004:0350b24	無寄)夫無寄在(因也)乎冥寂。(權實一心。寂照一體)冥絕故虗以通之。	無 寄 夫 無 寄 在 因 也 乎 冥 寂 權 實 一 心 寂 照 一 體 冥 絕 故 虗 以 通 之 
X54n0873_004:0350c01	(通者道達之意。謂冥寂之體。至絕離相。若不假一虗字通之。則人何以了悟)妙盡存(亦因也)	 通 者 道 達 之 意 謂 冥 寂 之 體 至 絕 離 相 若 不 假 一 虗 字 通 之 則 人 何 以 了 悟 妙 盡 存 亦 因 也 
X54n0873_004:0350c02	乎極數。(真不窮則妄不盡。妄不盡則真不極)極數故數以應之。(會萬物而為己。	乎 極 數 真 不 窮 則 妄 不 盡 妄 不 盡 則 真 不 極 極 數 故 數 以 應 之 會 萬 物 而 為 己 
X54n0873_004:0350c03	故曰極數。分身萬象。法身普應。故數以應之)數以應之。故動與事會。(權智應物。	故 曰 極 數 分 身 萬 象 法 身 普 應 故 數 以 應 之 數 以 應 之 故 動 與 事 會 權 智 應 物 
X54n0873_004:0350c04	感而遂通。故云動與事會)虗以通之。故道超名外。(實智證理。離名絕相。故云道超	感 而 遂 通 故 云 動 與 事 會 虗 以 通 之 故 道 超 名 外 實 智 證 理 離 名 絕 相 故 云 道 超 
X54n0873_004:0350c05	名外。下兼通有知)道超名外。因謂之無。(但離名相。不是斷滅)動與事會。	名 外 下 兼 通 有 知 道 超 名 外 因 謂 之 無 但 離 名 相 不 是 斷 滅 動 與 事 會 
X54n0873_004:0350c06	因謂之有。(感應在機。隨緣而現。故有非實有)因謂之有者。應夫(作非字)	因 謂 之 有 感 應 在 機 隨 緣 而 現 故 有 非 實 有 因 謂 之 有 者 應 夫 作 非 字 
X54n0873_004:0350c07	真(實也)有。強謂之然耳。彼(指中道一心)何然哉。(待機緣而有者。應非實有。	真 實 也 有 強 謂 之 然 耳 彼 指 中 道 一 心 何 然 哉 待 機 緣 而 有 者 應 非 實 有 
X54n0873_004:0350c08	但強謂之耳。彼寂滅一心。何嘗動而為有哉)故經云。(引證無知)聖智無知而無	但 強 謂 之 耳 彼 寂 滅 一 心 何 嘗 動 而 為 有 哉 故 經 云 引 證 無 知 聖 智 無 知 而 無 
X54n0873_004:0350c09	所不知。無為而無所不為。(此義引般若諸文。以證聖心權實不異。有知無知本	所 不 知 無 為 而 無 所 不 為 此 義 引 般 若 諸 文 以 證 聖 心 權 實 不 異 有 知 無 知 本 
X54n0873_004:0350c10	一致也)此無言無相寂滅之道。豈曰有而為有。無而為	一 致 也 此 無 言 無 相 寂 滅 之 道 豈 曰 有 而 為 有 無 而 為 
X54n0873_004:0350c11	無。動而乖靜。靜而廢用耶。(此據理責迷。以結上義也)而今談者。(此下	無 動 而 乖 靜 靜 而 廢 用 耶 此 據 理 責 迷 以 結 上 義 也 而 今 談 者 此 下 
X54n0873_004:0350c12	正答有知。潛答心異)多即言以定旨。(責迷不能忘言會理)尋大方而徵(求也)	正 答 有 知 潛 答 心 異 多 即 言 以 定 旨 責 迷 不 能 忘 言 會 理 尋 大 方 而 徵 求 也 
X54n0873_004:0350c13	隅。(老子云大方無隅。謂寂漠沖虗之般若。而以有知無知求之。正猶尋大方而求隅也)懷前識	隅 老 子 云 大 方 無 隅 謂 寂 漠 沖 虗 之 般 若 而 以 有 知 無 知 求 之 正 猶 尋 大 方 而 求 隅 也 懷 前 識 
X54n0873_004:0350c14	以標玄。(前識者。老子云前識者道之華而愚之始也。謂分別惑取之知)存(執也)所存之	以 標 玄 前 識 者 老 子 云 前 識 者 道 之 華 而 愚 之 始 也 謂 分 別 惑 取 之 知 存 執 也 所 存 之 
X54n0873_004:0350c15	必當。(以妄執為必當)是以聞聖有知。謂之有心。聞聖無知謂	必 當 以 妄 執 為 必 當 是 以 聞 聖 有 知 謂 之 有 心 聞 聖 無 知 謂 
X54n0873_004:0350c16	等(同也)大虗。(即謂冥然無知)有無之境。邊見(有無斷常二邊)所存。豈是	等 同 也 大 虗 即 謂 冥 然 無 知 有 無 之 境 邊 見 有 無 斷 常 二 邊 所 存 豈 是 
X54n0873_004:0350c17	處中莫二之道乎。(上責偏見以明不異。下示中道)何者。(徵明空假以顯中道。先空。	處 中 莫 二 之 道 乎 上 責 偏 見 以 明 不 異 下 示 中 道 何 者 徵 明 空 假 以 顯 中 道 先 空 
X54n0873_004:0350c18	次假)萬物雖殊。然性本常一。(以性空故常一)不可而物。(以緣生無性。不	次 假 萬 物 雖 殊 然 性 本 常 一 以 性 空 故 常 一 不 可 而 物 以 緣 生 無 性 不 
X54n0873_004:0350c19	可名物。此示空義)然非不物。(以無性緣生。此示假義)可物於物。(上物能取之心。	可 名 物 此 示 空 義 然 非 不 物 以 無 性 緣 生 此 示 假 義 可 物 於 物 上 物 能 取 之 心 
X54n0873_004:0350c20	下物所取之境)則名相異陳。(迷則能所未忘)不物於物。(能所兩忘)則物而	下 物 所 取 之 境 則 名 相 異 陳 迷 則 能 所 未 忘 不 物 於 物 能 所 兩 忘 則 物 而 
X54n0873_004:0350c21	即真。(不取無非幻。故即物即真○下正示中道)是以聖人不物於物。(不取)不	即 真 不 取 無 非 幻 故 即 物 即 真 下 正 示 中 道 是 以 聖 人 不 物 於 物 不 取 不 
X54n0873_004:0350c22	非物於物。(不捨)不物於物。物非有也。(一心不生。萬法自寂)不非物	非 物 於 物 不 捨 不 物 於 物 物 非 有 也 一 心 不 生 萬 法 自 寂 不 非 物 
X54n0873_004:0350c23	於物。物非無也。(森羅頓現。萬境全彰。以空有兩忘。二邊自泯。此約一心以顯中道。下約境	於 物 物 非 無 也 森 羅 頓 現 萬 境 全 彰 以 空 有 兩 忘 二 邊 自 泯 此 約 一 心 以 顯 中 道 下 約 境 
X54n0873_004:0350c24	以顯中道)非有所以不取。(以萬法本空。無可取者)非無所以不捨。(以法	以 顯 中 道 非 有 所 以 不 取 以 萬 法 本 空 無 可 取 者 非 無 所 以 不 捨 以 法 
X54n0873_004:0351a01	法即真。故不捨一法)不捨故妙存即真。(由不捨一法。故法法即真)不取故名	法 即 真 故 不 捨 一 法 不 捨 故 妙 存 即 真 由 不 捨 一 法 故 法 法 即 真 不 取 故 名 
X54n0873_004:0351a02	相靡因。(心不附物。則名相自空)名相靡因。非有知也。(無境可知)妙存	相 靡 因 心 不 附 物 則 名 相 自 空 名 相 靡 因 非 有 知 也 無 境 可 知 妙 存 
X54n0873_004:0351a03	即真。非無知也。(萬法唯心。真照獨立。故非無知)故經云。(引證)般若於諸	即 真 非 無 知 也 萬 法 唯 心 真 照 獨 立 故 非 無 知 故 經 云 引 證 般 若 於 諸 
X54n0873_004:0351a04	法。無取無捨。無知無不知。(證明般若能所兩忘。以顯中道)此攀緣之	法 無 取 無 捨 無 知 無 不 知 證 明 般 若 能 所 兩 忘 以 顯 中 道 此 攀 緣 之 
X54n0873_004:0351a05	外。(超妄想境)絕心之域。(離心意識)而欲以有無詰者。不亦遠乎。	外 超 妄 想 境 絕 心 之 域 離 心 意 識 而 欲 以 有 無 詰 者 不 亦 遠 乎 
X54n0873_004:0351a06	(總責執迷)請詰夫(雙結有無)陳有無者。夫智之生也。極於相內。	 總 責 執 迷 請 詰 夫 雙 結 有 無 陳 有 無 者 夫 智 之 生 也 極 於 相 內 
X54n0873_004:0351a07	(智乃六麤智相之智。謂分別見也。言分別知見。因名相起)法本無相。聖智何知。(以萬	 智 乃 六 麤 智 相 之 智 謂 分 別 見 也 言 分 別 知 見 因 名 相 起 法 本 無 相 聖 智 何 知 以 萬 
X54n0873_004:0351a08	法性空無相。聖人無境當心。又何所知)世稱無知者。謂等木石太虗無	法 性 空 無 相 聖 人 無 境 當 心 又 何 所 知 世 稱 無 知 者 謂 等 木 石 太 虗 無 
X54n0873_004:0351a09	情之流。(世人謂無知將同無情)靈鑒幽燭。形於未兆。道無隱機。	情 之 流 世 人 謂 無 知 將 同 無 情 靈 鑒 幽 燭 形 於 未 兆 道 無 隱 機 
X54n0873_004:0351a10	(般若真智。靈明鑒照。無幽不燭。一念未生已前。十方三世圓明了了。徹見萬法。故道無隱機)寧曰	 般 若 真 智 靈 明 鑒 照 無 幽 不 燭 一 念 未 生 已 前 十 方 三 世 圓 明 了 了 徹 見 萬 法 故 道 無 隱 機 寧 曰 
X54n0873_004:0351a11	無知。(如此靈明為正徧知。豈曰無知。下為解偏滯)且無知生(起也)於無知。(下無	無 知 如 此 靈 明 為 正 徧 知 豈 曰 無 知 下 為 解 偏 滯 且 無 知 生 起 也 於 無 知 下 無 
X54n0873_004:0351a12	字誤。應云無知生於有知。謂無知之見起於有知。二者相待。其實有無俱無)無無知也。無	字 誤 應 云 無 知 生 於 有 知 謂 無 知 之 見 起 於 有 知 二 者 相 待 其 實 有 無 俱 無 無 無 知 也 無 
X54n0873_004:0351a13	有知也。(雙拂二見。有無不立。下顯雙非)無有知也。謂之非有。(是為寂體)無	有 知 也 雙 拂 二 見 有 無 不 立 下 顯 雙 非 無 有 知 也 謂 之 非 有 是 為 寂 體 無 
X54n0873_004:0351a14	無知也。謂之非無。(是為照用)所以虗不失照。(寂而常照)照不失	無 知 也 謂 之 非 無 是 為 照 用 所 以 虗 不 失 照 寂 而 常 照 照 不 失 
X54n0873_004:0351a15	虗。(照而常寂)怕然永寂。(湛然常住)靡執靡拘。(不墮有無。如此中道。妙絕常情)孰	虗 照 而 常 寂 怕 然 永 寂 湛 然 常 住 靡 執 靡 拘 不 墮 有 無 如 此 中 道 妙 絕 常 情 孰 
X54n0873_004:0351a16	能動之令有。靜之使無耶。(動不著有。靜不著無)故經云真般若	能 動 之 令 有 靜 之 使 無 耶 動 不 著 有 靜 不 著 無 故 經 云 真 般 若 
X54n0873_004:0351a17	者。非有非無。無起無滅。不可說示於人。(一切皆非。故不可說示)	者 非有非無 無 起 無 滅 不 可 說 示 於 人 一 切 皆 非 故 不 可 說 示 
X54n0873_004:0351a18	何則。(徵釋經義)言其非有者。言其非是有。(凡佛言非者。乃遮遣破執之辭。	何 則 徵 釋 經 義 言 其 非 有 者 言 其 非 是 有 凡 佛 言 非 者 乃 遮 遣 破 執 之 辭 
X54n0873_004:0351a19	非實法也。且言非有者。乃是遮執有者。遮其不是實有耳)非謂是非有。(不是說絕無也)言	非 實 法 也 且 言 非 有 者 乃 是 遮 執 有 者 遮 其 不 是 實 有 耳 非 謂 是 非 有 不 是 說 絕 無 也 言 
X54n0873_004:0351a20	其非無者。言其非是無。(言其不是絕無)非謂是非無。(不是說實有也)	其 非 無 者 言 其 非 是 無 言 其 不 是 絕 無 非 謂 是 非 無 不 是 說 實 有 也 
X54n0873_004:0351a21	非有(說非有)非非有。(也不是非有)非無(說非無)非非無。(也不是絕無。四	非 有 說 非 有 非 非 有 也 不 是 非 有 非 無 說 非 無 非 非 無 也 不 是 絕 無 四 
X54n0873_004:0351a22	句既離。百非自遣)是以須菩提終日說般若。而云無所說。此	句 既 離 百 非 自 遣 是 以 須 菩 提 終 日 說 般 若 而 云 無 所 說 此 
X54n0873_004:0351a23	絕言之道。知何以傳。(絕言之道。非知見之境。又何以傳)庶參玄君子。	絕 言 之 道 知 何 以 傳 絕 言 之 道 非 知 見 之 境 又 何 以 傳 庶 參 玄 君 子 
X54n0873_004:0351a24	有以會之耳。(惟忘言者可以心會耳。上雙通權實竟。寂照有無二疑皆通。下別答不取。先廣	有 以 會 之 耳 惟 忘 言 者 可 以 心 會 耳 上 雙 通 權 實 竟 寂 照 有 無 二 疑 皆 通 下 別 答 不 取 先 廣 
X54n0873_004:0351b01	答心異)又云。宜先定聖心所以應會之道。為當唯照無	答 心 異 又 云 宜 先 定 聖 心 所 以 應 會 之 道 為 當 唯 照 無 
X54n0873_004:0351b02	相耶。為當咸覩其變耶。(此敘來難。前難意云。權智有取。為是唯照萬法性空無相	相 耶 為 當 咸 覩 其 變 耶 此 敘 來 難 前 難 意 云 權 智 有 取 為 是 唯 照 萬 法 性 空 無 相 
X54n0873_004:0351b03	耶。為是權智應物覩其萬化皆有相耶。來難二意。一難有取。二難心異。今先答心異。後答不取○下出難意)	耶 為 是 權 智 應 物 覩 其 萬 化 皆 有 相 耶 來 難 二 意 一 難 有 取 二 難 心 異 今 先 答 心 異 後 答 不 取 下 出 難 意 
X54n0873_004:0351b04	談者似謂無相與變。其旨不一。覩變則異乎無相。照	談 者 似 謂 無 相 與 變 其 旨 不 一 覩 變 則 異 乎 無 相 照 
X54n0873_004:0351b05	無相則失於撫會。(下責滯)然則即真之義。或有滯也。(出其	無 相 則 失 於 撫 會 下 責 滯 然 則 即 真 之 義 或 有 滯 也 出 其 
X54n0873_004:0351b06	難意。謂二智不一。然覩變則是有相。異於無相矣。照無相則不能應機。異於有相矣。是則空有不能雙照。故責	難 意 謂 二 智 不 一 然 覩 變 則 是 有 相 異 於 無 相 矣 照 無 相 則 不 能 應 機 異 於 有 相 矣 是 則 空 有 不 能 雙 照 故 責 
X54n0873_004:0351b07	以不能即真。故云滯也)經云。色不異空。空不異色。色即是空。空	以 不 能 即 真 故 云 滯 也 經 云 色不異空 空不異色 色 即 是 空 空 
X54n0873_004:0351b08	即是色。(此下正答。先引經定理。以色空相即立意。下反質之)若如(似也)來旨。觀色	即 是 色 此 下 正 答 先 引 經 定 理 以 色 空 相 即 立 意 下 反 質 之 若 如 似 也 來 旨 觀 色 
X54n0873_004:0351b09	空時。應一心見色。一心見空。(此出迷滯下出違)若一心見色。	空 時 應 一 心 見 色 一 心 見 空 此 出 迷 滯 下 出 違 若 一 心 見 色 
X54n0873_004:0351b10	則唯色非空。若一心見空。則唯空非色。然則空色兩	則 唯 色 非 空 若 一 心 見 空 則 唯 空 非 色 然 則 空 色 兩 
X54n0873_004:0351b11	陳。莫定其本(莫定經中立言本意)也。(下釋經意)是以經云非色者。誠	陳 莫 定 其 本 莫 定 經 中 立 言 本 意 也 下 釋 經 意 是 以 經 云 非 色 者 誠 
