X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_004:0648b19	阿難誤認六塵緣影。為自心性。故云若無明暗。見	阿 難 誤 認 六 塵 緣 影 為 自 心 性 故 云 若 無 明 暗 見 
X14n0295_004:0648b20	畢竟空。如無前塵。念自性滅。進退循環。微細推求。	畢 竟 空 如 無 前 塵 念 自 性 滅 進 退 循 環 微 細 推 求 
X14n0295_004:0648b21	本無我心及我心所。將誰立因。求無上覺。於是佛	本 無 我 心 及 我 心 所 將 誰 立 因 求 無 上 覺 於 是 佛 
X14n0295_004:0648b22	為辨迷。先使羅睺擊鐘。使之驗根。問。汝聞不眾。對	為 辨 迷 先 使 羅 睺 擊 鐘 使 之 驗 根 問 汝 聞 不 眾 對 
X14n0295_004:0648b23	曰。聞鐘歇無聲。問。汝今聞不眾曰。不聞復擊一聲。	曰 聞 鐘 歇 無 聲 問 汝 今 聞 不 眾 曰 不 聞 復 擊 一 聲 
X14n0295_004:0648b24	問。汝聞不。又言俱聞。是知因聲而起聞。故聲歇而	問 汝 聞 不 又 言 俱 聞 是 知 因 聲 而 起 聞 故 聲 歇 而 
X14n0295_004:0648c01	聞歇耳。又勅羅睺擊鐘。問。今聲不俱。言有聲少選	聞 歇 耳 又 勅 羅 睺 擊 鐘 問 今 聲 不 俱 言 有 聲 少 選 
X14n0295_004:0648c02	聲銷。問。今聲不眾。言無聲。再擊一聲。眾言有聲。是	聲 銷 問 今 聲 不 眾 言 無 聲 再 擊 一 聲 眾 言 有 聲 是 
X14n0295_004:0648c03	知聲有生滅。聞性常在。故能隨感隨應。迷情不了。	知 聲 有 生 滅 聞 性 常 在 故 能 隨 感 隨 應 迷 情 不 了 
X14n0295_004:0648c04	以聞同聲。是以常為斷也。佛告阿難。聲銷無響。汝	以 聞 同 聲 是 以 常 為 斷 也 佛 告 阿 難 聲 銷 無 響 汝 
X14n0295_004:0648c05	說無聲。若實無聞。聞性已滅。同於枯木。鐘聲更擊。	說 無 聲 若 實 無 聞 聞 性 已 滅 同 於 枯 木 鐘 聲 更 擊 
X14n0295_004:0648c06	汝云何知。知有知無。自是聲塵或有或無。豈彼聞	汝 云 何 知 知 有 知 無 自 是 聲 塵 或 有 或 無 豈 彼 聞 
X14n0295_004:0648c07	性為汝有無哉。聲有亦非生聲。無亦非滅此。即不	性 為 汝 有 無 哉 聲 有 亦 非 生 聲 無 亦 非 滅 此 即 不 
X14n0295_004:0648c08	生不滅真常性也。聞實云無。復有誰知無者。蓋知	生 不 滅 真 常 性 也 聞 實 云 無 復 有 誰 知 無 者 蓋 知 
X14n0295_004:0648c09	無者。即汝聞性也。是故當知。聲於聞中。自有生滅。	無 者 即 汝 聞 性 也 是故當知 聲 於 聞 中 自 有 生 滅 
X14n0295_004:0648c10	非為汝聞聲生聲滅。令汝聞性。為有為無也。汝尚	非 為 汝 聞 聲 生 聲 滅 令 汝 聞 性 為 有 為 無 也 汝 尚 
X14n0295_004:0648c11	顛倒。惑聲為聞。何怪昏迷。以常為斷乎。終不應言。	顛 倒 惑 聲 為 聞 何 怪 昏 迷 以 常 為 斷 乎 終 不 應 言 
X14n0295_004:0648c12	離動靜通塞。說聞無性。如重睡人熟眠。牀枕夢中。	離 動 靜 通 塞 說 聞 無 性 如 重 睡 人 熟 眠 牀 枕 夢 中 
X14n0295_004:0648c13	聞舂杵聲。是人夢中豈憶靜搖。開閉通塞。其形雖	聞 舂 杵 聲 是 人 夢 中 豈 憶 靜 搖 開 閉 通 塞 其 形 雖 
X14n0295_004:0648c14	寐。聞性不昏。縱汝形銷。命光遷謝。此性云何。為汝	寐 聞 性 不 昏 縱 汝 形 銷 命 光 遷 謝 此 性 云 何 為 汝 
X14n0295_004:0648c15	銷滅。以諸眾生。從無始來。循諸色聲。逐念流轉。既	銷 滅 以 諸 眾 生 從無始來 循 諸 色 聲 逐 念 流 轉 既 
X14n0295_004:0648c16	不開悟。性淨妙常。逐諸生滅。由是生生雜染流轉。	不 開 悟 性 淨 妙 常 逐 諸 生 滅 由 是 生 生 雜 染 流 轉 
X14n0295_004:0648c17	若棄生滅。守於真常。常光現前。根塵識心。應時銷	若 棄 生 滅 守 於 真 常 常 光 現 前 根 塵 識 心 應 時 銷 
X14n0295_004:0648c18	落。想相為塵。識心為垢。二俱遠離。應時清明。云何	落 想 相 為 塵 識 心 為 垢 二 俱 遠 離 應 時 清 明 云 何 
X14n0295_004:0648c19	不成無上知覺。以此為因。則七常住果。於是可獲。	不 成 無 上 知 覺 以 此 為 因 則 七 常 住 果 於 是 可 獲 
X14n0295_005:0649a04	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X14n0295_005:0649a05	卷第五	卷 第 五 
X14n0295_005:0649a06	淮海參佛弟子蘊空居士陸西星述旨	淮 海 參 佛 弟 子 蘊 空 居 士 陸 西 星 述 旨 
X14n0295_005:0649a07	廣陵後學　孟應麟　校定	廣 陵 後 學 孟 應 麟 校 定 
X14n0295_005:0649a08	△見結知解第十七	 見 結 知 解 第 十 七 
X14n0295_005:0649a09	阿難白佛言世尊如來(至)云何是中更容他物。	阿 難 白 佛 言 世 尊 如 來 至 云 何 是 中 更 容 他 物 
X14n0295_005:0649a10	言此根塵識三。譬如交蘆。互相依倚。其體全空。既	言 此 根 塵 識 三 譬 如 交 蘆 互 相 依 倚 其 體 全 空 既 
X14n0295_005:0649a11	無自性。則隨緣轉變。故於知見立知識之心。則結	無 自 性 則 隨緣轉變 故 於 知 見 立 知 識 之 心 則 結 
X14n0295_005:0649a12	而為無明之本。知見無知識之妄。則解而入涅槃	而 為 無 明 之 本 知 見 無 知 識 之 妄 則 解 而 入 涅 槃 
X14n0295_005:0649a13	真淨之門。既曰真淨。豈容立知。總示妄結。依根塵	真 淨 之 門 既 曰 真 淨 豈 容 立 知 總 示 妄 結 依 根 塵 
X14n0295_005:0649a14	識起。但妄識不立。則妄結自解。	識 起 但 妄 識 不 立 則 妄 結 自 解 
X14n0295_005:0649a15	爾時世尊重宣此義而說偈言。	爾 時 世 尊 重 宣 此 義 而 說 偈 言 
X14n0295_005:0649a16	△宣義說偈第十八	 宣 義 說 偈 第 十 八 
X14n0295_005:0649a17	真性有為空緣生故如幻無為無起滅不實如空華。	真 性 有 為 空 緣 生 故 如 幻 無 為 無 起 滅 不 實 如 空 華 
X14n0295_005:0649a18	言真性之中。有為之法皆空。則根塵本空。而緣生	言 真 性 之 中 有 為 之 法 皆 空 則 根 塵 本 空 而 緣 生 
X14n0295_005:0649a19	之法。皆如幻矣。緣生之法如幻。則起滅之法亦無	之 法 皆 如 幻 矣 緣 生 之 法 如 幻 則 起 滅 之 法 亦 無 
X14n0295_005:0649a20	起滅之法。既無可見。妄識元無。故識性虗妄。猶如	起 滅 之 法 既 無 可 見 妄 識 元 無 故 識 性 虗 妄 猶 如 
X14n0295_005:0649a21	空華。亂起亂滅。實無自性。	空 華 亂 起 亂 滅 實 無 自 性 
X14n0295_005:0649a22	言妄顯諸真妄真同二妄。	言 妄 顯 諸 真 妄 真 同 二 妄 
X14n0295_005:0649a23	妄法既無。真亦不立。若言妄顯真。真還同妄。	妄 法 既 無 真 亦 不 立 若 言 妄 顯 真 真 還 同 妄 
X14n0295_005:0649a24	猶非真非真云何見所見中間無實性是故若交蘆。	猶 非 真 非 真 云 何 見 所 見 中 間 無 實 性 是 故 若 交 蘆 
X14n0295_005:0649b01	以真同妄。是以真為非真也。真尚非之為非。云何	以 真 同 妄 是 以 真 為 非 真 也 真 尚 非 之 為 非 云 何 
X14n0295_005:0649b02	見中復存所見乎。當知俱無實體。若交蘆然。	見 中 復 存 所 見 乎 當 知 俱 無 實 體 若 交 蘆 然 
X14n0295_005:0649b03	結解同所因聖凡無二略(至)發明更解脫。	結 解 同 所 因 聖 凡 無 二 略 至 發 明 更 解 脫 
X14n0295_005:0649b04	結解二句牒。同是六根。更非他物。汝觀下牒。根塵	結 解 二 句 牒 同 是 六 根 更 非 他 物 汝 觀 下 牒 根 塵 
X14n0295_005:0649b05	無體。但因妄結。迷晦下頌知見立知四句。	無 體 但 因 妄 結 迷 晦 下 頌 知 見 立 知 四 句 
X14n0295_005:0649b06	解結因次第六解一亦亡根選擇圓通入流成正覺。	解 結 因 次 第 六 解 一 亦 亡 根 選 擇 圓 通 入 流 成 正 覺 
X14n0295_005:0649b07	六解則根拔。一亡則湛圓。選得圓根。則入聖流成	六 解 則 根 拔 一 亡 則 湛 圓 選 得 圓 根 則 入 聖 流 成 
X14n0295_005:0649b08	正覺矣。	正 覺 矣 
X14n0295_005:0649b09	陀羅微細識習氣成暴流真非真恐迷我常不開演。	陀 羅 微 細 識 習 氣 成 暴 流 真 非 真 恐 迷 我 常 不 開 演 
X14n0295_005:0649b10	阿陀羅此云執持。謂執持種子。發起現行。即第八	阿 陀 羅 此 云 執 持 謂 執 持 種 子 發 起 現 行 即 第 八 
X14n0295_005:0649b11	梨耶初起之相。故曰微細。含藏種子為習氣。積生	梨 耶 初 起 之 相 故 曰 微 細 含 藏 種 子 為 習 氣 積 生 
X14n0295_005:0649b12	識浪為瀑流。湛由是分。結由是起。此識依真如合	識 浪 為 瀑 流 湛 由 是 分 結 由 是 起 此 識 依 真 如 合 
X14n0295_005:0649b13	生滅。雜乎真妄之間。故曰真非真。若以為真。恐迷	生 滅 雜 乎 真 妄 之 間 故 曰 真 非 真 若 以 為 真 恐 迷 
X14n0295_005:0649b14	妄習而自認。以為非真。恐迷自性而外求。故權小	妄 習 而 自 認 以 為 非 真 恐 迷 自 性 而 外 求 故 權 小 
X14n0295_005:0649b15	教中。常不開演。	教 中 常 不 開 演 
X14n0295_005:0649b16	自心取自心非幻成幻法(至)幻法云何立。	自 心 取 自 心 非 幻 成 幻 法 至 幻 法 云 何 立 
X14n0295_005:0649b17	一切諸法。惟心所現。而於中取着。妄成根結。是自	一切諸法 惟 心 所 現 而 於 中 取 着 妄 成 根 結 是 自 
X14n0295_005:0649b18	心取自心。非幻成幻法也。由妄取故。有幻非幻。若	心 取 自 心 非 幻 成 幻 法 也 由 妄 取 故 有 幻 非 幻 若 
X14n0295_005:0649b19	不妄取。非幻亦無。非幻尚無。幻法何有。幻法不立。	不 妄 取 非 幻 亦 無 非 幻 尚 無 幻 法 何 有 幻 法 不 立 
X14n0295_005:0649b20	則根塵頓淨。圓通現前矣。	則 根 塵 頓 淨 圓 通 現 前 矣 
X14n0295_005:0649b21	是名妙蓮華金剛王寶覺(至)一路涅槃門。	是 名 妙 蓮 華 金 剛 王 寶 覺 至 一 路 涅 槃 門 
X14n0295_005:0649b22	此之法門。于淨不着。于染不汙。名妙蓮華。根境結	此 之 法 門 于 淨 不 着 于 染 不 汙 名 妙 蓮 華 根 境 結 
X14n0295_005:0649b23	惑。擬之即銷。故名金剛王寶覺。即為無為。忘情絕	惑 擬 之 即 銷 故 名 金 剛 王 寶 覺 即 為 無 為 忘 情 絕 
X14n0295_005:0649b24	解。名如幻三昧。依此進修。一彈指間。可超無學。而	解 名 如幻三昧 依 此 進 修 一 彈 指 間 可 超 無 學 而 
X14n0295_005:0649c01	入圓位。阿毗達磨此云無比法。十方如來逈出生	入 圓 位 阿 毗 達 磨 此 云 無 比 法 十 方 如 來 逈 出 生 
X14n0295_005:0649c02	死。速證寂常。莫不由斯。故曰十方薄伽梵一路涅	死 速 證 寂 常 莫 不 由 斯 故 曰 十 方 薄 伽 梵 一 路 涅 
X14n0295_005:0649c03	槃門薄伽梵佛尊號。	槃 門 薄 伽 梵 佛 尊 號 
X14n0295_005:0649c04	△綰巾示結第十九	 綰 巾 示 結 第 十 九 
X14n0295_005:0649c05	於是阿難及諸大眾(至)若欲除結當于結心。	於 是 阿 難 及 諸 大 眾 至 若 欲 除 結 當 于 結 心 
X14n0295_005:0649c06	巾體本同。因結有異。譬汝六根。同一妙明。真性因	巾 體 本 同 因 結 有 異 譬 汝 六 根 同 一 妙 明 真 性 因 
X14n0295_005:0649c07	逐妄隨緣。遂成六結。隔閡不通。無復成一。若能隨	逐 妄 隨 緣 遂 成 六 結 隔 閡 不 通 無 復 成 一 若 能 隨 
X14n0295_005:0649c08	根。脫粘內伏。六既融一。一亦斯亡。然欲解此結。左	根 脫 粘 內 伏 六 既 融 一 一 亦 斯 亡 然 欲 解 此 結 左 
X14n0295_005:0649c09	右偏掣。終不能解。左右偏掣。喻二邊皆不能破無	右 偏 掣 終 不 能 解 左 右 偏 掣 喻 二 邊 皆 不 能 破 無 
X14n0295_005:0649c10	明根本。如凡夫外道。以斷常為二邊。二乘菩提以	明 根 本 如 凡 夫 外 道 以 斷 常 為 二 邊 二 乘 菩 提 以 
X14n0295_005:0649c11	空有為二邊。雖云斷伏。猶存中結。故解結者。當于	空 有 為 二 邊 雖 云 斷 伏 猶 存 中 結 故 解 結 者 當 于 
X14n0295_005:0649c12	結心。解即分散。於結心者。知見立知。即無明本。觀	結 心 解 即 分 散 於 結 心 者 知 見 立 知 即 無 明 本 觀 
X14n0295_005:0649c13	於中。道是謂結心。	於 中 道 是 謂 結 心 
X14n0295_005:0649c14	△選擇圓通第二十	 選 擇 圓 通 第 二 十 
X14n0295_005:0649c15	隨汝心中。選擇六根。一結若除。塵相自滅。諸幻	隨 汝 心 中 選 擇 六 根 一 結 若 除 塵 相 自 滅 諸 幻 
X14n0295_005:0649c16	銷亡。不真何待。	銷 亡 不 真 何 待 
X14n0295_005:0649c17	阿難我說佛法從因緣生(至)退藏密機冀佛冥授。	阿 難 我 說 佛 法 從因緣生 至 退 藏 密 機 冀 佛 冥 授 
X14n0295_005:0649c18	我說佛法。從因緣生。所謂因緣非取世間。六度等	我 說 佛 法 從因緣生 所 謂 因 緣 非 取 世 間 六 度 等 
X14n0295_005:0649c19	事。和合粗相也。如來發明世出世法。世謂六凡。出	事 和 合 粗 相 也 如 來 發 明 世 出 世 法 世 謂 六 凡 出 
X14n0295_005:0649c20	世法謂四聖。知其本因。從所緣出。知此十界。皆由	世 法 謂 四 聖 知 其 本 因 從 所 緣 出 知 此 十 界 皆 由 
X14n0295_005:0649c21	於心。隨無明之染緣。則生九界。隨教行之淨緣。則	於 心 隨 無 明 之 染 緣 則 生 九 界 隨 教 行 之 淨 緣 則 
X14n0295_005:0649c22	出佛界。是故隨汝心中。選擇六根。根結若除。塵相	出 佛 界 是 故 隨 汝 心 中 選 擇 六 根 根 結 若 除 塵 相 
X14n0295_005:0649c23	自滅。諸妄銷亡。不真何待。此根初解先得人空者。	自 滅 諸 妄 銷 亡 不 真 何 待 此 根 初 解 先 得 人 空 者 
X14n0295_005:0649c24	了煩惱結。皆由着我。於我無障。離煩惱障。是得人	了 煩 惱 結 皆 由 着 我 於 我 無 障 離 煩 惱 障 是 得 人 
X14n0295_005:0650a01	空也。空性圓明。成法解脫者。了所知結。皆由着法。	空 也 空 性 圓 明 成 法 解 脫 者 了 所 知 結 皆 由 着 法 
X14n0295_005:0650a02	於法無着。離所知障。是得法空也。名法解脫。人法	於 法 無 着 離 所 知 障 是 得 法 空 也 名 法 解 脫 人 法 
X14n0295_005:0650a03	雙忘。是名俱空。而俱空亦泯。心無所起。是從正受。	雙 忘 是 名 俱 空 而 俱 空 亦 泯 心 無 所 起 是 從 正 受 
X14n0295_005:0650a04	得無生忍。吳興曰。人空是見惑。法空是思惑。所得	得無生忍 吳 興 曰 人 空 是 見 惑 法 空 是 思 惑 所 得 
X14n0295_005:0650a05	密言。還同本悟。即前心猶未達六解一亡義也。言	密 言 還 同 本 悟 即 前 心 猶 未 達 六 解 一 亡 義 也 言 
X14n0295_005:0650a06	本悟若此。而未能徹悟。則與未聞何異。故願如來	本 悟 若 此 而 未 能 徹 悟 則 與 未 聞 何 異 故 願 如 來 
X14n0295_005:0650a07	成就。最後開示。	成 就 最 後 開 示 
X14n0295_005:0650a08	爾時世尊普告眾中(至)從何方便入三摩地。	爾 時 世 尊 普 告 眾 中 至 從 何 方 便 入 三 摩 地 
X14n0295_005:0650a09	十八界即是六根開合。七大統攝。於此前文。使汝	十 八 界 即 是 六 根 開 合 七 大 統 攝 於 此 前 文 使 汝 
X14n0295_005:0650a10	生死輪轉。安樂妙常。同是六根。更非他物。以後二	生 死 輪 轉 安 樂 妙 常 同 是 六 根 更 非 他 物 以 後 二 
X14n0295_005:0650a11	十五菩薩。各舉所證。	十 五 菩 薩 各 舉 所 證 
X14n0295_005:0650a12	憍陳那五比丘即從座起(至)如我所證音聲為上。	憍 陳 那 五 比 丘 即 從 座 起 至 如 我 所 證 音 聲 為 上 
X14n0295_005:0650a13	此阿陳等以聲塵悟入者。四諦謂苦寂滅道。	此 阿 陳 等 以 聲 塵 悟 入 者 四 諦 謂 苦 寂 滅 道 
X14n0295_005:0650a14	優波尼沙陀即從座起(至)如我所證色因為上。	優 波 尼 沙 陀 即 從 座 起 至 如 我 所 證 色 因 為 上 
X14n0295_005:0650a15	此以色塵悟入者。	此 以 色 塵 悟 入 者 
X14n0295_005:0650a16	香嚴童子即從座起(至)如我所證香嚴為上。	香 嚴 童 子 即 從 座 起 至 如 我 所 證 香 嚴 為 上 
X14n0295_005:0650a17	此以香塵悟入者。	此 以 香 塵 悟 入 者 
X14n0295_005:0650a18	藥王藥上二法王子(至)如我所證味因為上。	藥 王 藥 上 二 法 王 子 至 如 我 所 證 味 因 為 上 
X14n0295_005:0650a19	此以味塵悟入者。	此 以 味 塵 悟 入 者 
X14n0295_005:0650a20	跋陀婆羅并其同伴(至)如我所證觸因為上。	跋 陀 婆 羅 并 其 同 伴 至 如 我 所 證 觸 因 為 上 
X14n0295_005:0650a21	此以觸塵悟入者。	此 以 觸 塵 悟 入 者 
X14n0295_005:0650a22	摩訶迦葉及紫金光比丘尼(至)如我所證法因為上。	摩 訶 迦 葉 及 紫 金 光 比 丘 尼 至 如 我 所 證 法 因 為 上 
X14n0295_005:0650a23	此以法塵悟入者。	此 以 法 塵 悟 入 者 
X14n0295_005:0650a24	阿那律陀即從座起(至)旋見循元斯為第一。	阿 那 律 陀 即 從 座 起 至 旋 見 循 元 斯 為 第 一 
X14n0295_005:0650b01	此以眼根悟入者。	此 以 眼 根 悟 入 者 
X14n0295_005:0650b02	周利槃特迦即從座起(至)反息循空斯為第一。	周 利 槃 特 迦 即 從 座 起 至 反 息 循 空 斯 為 第 一 
X14n0295_005:0650b03	此以鼻根悟入者。	此 以 鼻 根 悟 入 者 
X14n0295_005:0650b04	憍梵鉢提即從座起(至)還味旋知斯為第一。	憍 梵 鉢 提 即 從 座 起 至 還 味 旋 知 斯 為 第 一 
X14n0295_005:0650b05	此以舌根悟入者。	此 以 舌 根 悟 入 者 
X14n0295_005:0650b06	畢陵伽婆蹉即從座起(至)純覺遺身斯為第一。	畢 陵 伽 婆 蹉 即 從 座 起 至 純 覺 遺 身 斯 為 第 一 
